X	Y
824.000	472.000
825.264	470.373
826.924	468.822
828.957	467.340
831.340	465.924
834.052	464.567
837.071	463.265
840.374	462.013
843.940	460.806
847.745	459.639
851.769	458.506
855.988	457.403
860.381	456.324
864.926	455.265
869.599	454.220
874.380	453.184
879.247	452.153
884.176	451.121
889.145	450.083
894.134	449.035
899.118	447.970
904.078	446.884
908.989	445.773
913.838	444.632
918.629	443.462
923.365	442.265
928.054	441.042
932.699	439.794
937.307	438.522
941.884	437.228
946.433	435.913
950.962	434.577
955.474	433.223
959.976	431.852
964.473	430.464
968.971	429.061
973.474	427.645
977.988	426.216
982.519	424.775
987.072	423.325
991.652	421.865
996.265	420.398
1000.916	418.925
1005.611	417.447
1010.355	415.965
1015.153	414.480
1020.011	412.993
1024.933	411.507
1029.927	410.022
1034.994	408.538
1040.128	407.057
1045.320	405.576
1050.560	404.097
1055.840	402.618
1061.149	401.139
1066.480	399.659
1071.822	398.179
1077.166	396.696
1082.504	395.212
1087.825	393.725
1093.122	392.236
1098.383	390.742
1103.601	389.245
1108.767	387.743
1113.870	386.236
1118.901	384.724
1123.852	383.206
1128.714	381.682
1133.476	380.151
1138.130	378.612
1142.666	377.065
1147.076	375.510
1151.350	373.947
1155.479	372.374
1159.453	370.791
1163.264	369.198
1166.902	367.594
1170.367	365.980
1173.674	364.362
1176.842	362.742
1179.888	361.126
1182.830	359.518
1185.686	357.923
1188.473	356.345
1191.210	354.789
1193.914	353.260
1196.603	351.761
1199.295	350.298
1202.008	348.875
1204.759	347.497
1207.566	346.168
1210.447	344.893
1213.420	343.676
1216.503	342.521
1219.713	341.434
1223.055	340.416
1226.524	339.464
1230.115	338.578
1233.823	337.755
1237.642	336.995
1241.567	336.295
1245.591	335.653
1249.710	335.069
1253.917	334.540
1258.209	334.064
1262.578	333.641
1267.020	333.268
1271.529	332.944
1276.099	332.667
1280.726	332.435
1285.403	332.247
1290.125	332.102
1294.887	331.996
1299.683	331.930
1304.508	331.901
1309.356	331.907
