X	Y
818.000	528.000
819.952	526.444
822.233	525.169
824.822	524.159
827.701	523.397
830.848	522.867
834.245	522.552
837.872	522.436
841.709	522.502
845.736	522.735
849.933	523.116
854.282	523.631
858.761	524.262
863.351	524.993
868.033	525.808
872.787	526.689
877.592	527.621
882.430	528.588
887.281	529.572
892.124	530.557
896.940	531.526
901.709	532.464
906.411	533.354
911.028	534.179
915.546	534.928
919.971	535.602
924.309	536.202
928.566	536.731
932.750	537.191
936.865	537.582
940.920	537.908
944.921	538.169
948.874	538.368
952.786	538.506
956.663	538.586
960.511	538.610
964.339	538.578
968.151	538.494
971.954	538.358
975.756	538.173
979.562	537.940
983.379	537.662
987.214	537.340
991.073	536.977
994.962	536.573
998.889	536.131
1002.859	535.653
1006.874	535.142
1010.930	534.602
1015.027	534.038
1019.163	533.454
1023.335	532.854
1027.542	532.242
1031.781	531.622
1036.051	530.999
1040.350	530.377
1044.676	529.759
1049.027	529.151
1053.401	528.556
1057.797	527.979
1062.211	527.423
1066.643	526.893
1071.090	526.393
1075.551	525.928
1080.023	525.501
1084.504	525.117
1088.994	524.779
1093.489	524.493
1097.988	524.262
1102.489	524.090
1106.990	523.982
1111.490	523.940
1115.988	523.962
1120.483	524.048
1124.976	524.194
1129.465	524.399
1133.952	524.662
1138.434	524.979
1142.913	525.350
1147.387	525.773
1151.857	526.245
1156.321	526.765
1160.780	527.331
1165.233	527.941
1169.680	528.594
1174.120	529.286
1178.553	530.018
1182.980	530.785
1187.398	531.588
1191.809	532.423
1196.211	533.289
1200.605	534.185
1204.990	535.107
1209.365	536.055
1213.730	537.027
1218.086	538.020
1222.431	539.033
1226.763	540.064
1231.082	541.112
1235.384	542.176
1239.669	543.253
1243.935	544.343
1248.179	545.443
1252.399	546.553
1256.595	547.671
1260.764	548.796
1264.905	549.925
1269.015	551.058
1273.093	552.193
1277.137	553.328
1281.145	554.462
1285.115	555.594
1289.047	556.722
1292.936	557.845
1296.783	558.960
1300.585	560.068
1304.340	561.165
1308.046	562.252
1311.702	563.325
1315.306	564.384
1318.850	565.433
1322.320	566.484
1325.698	567.549
1328.969	568.642
1332.118	569.773
1335.128	570.957
1337.984	572.205
1340.669	573.530
1343.167	574.944
1345.464	576.461
1347.542	578.092
1349.385	579.850
1350.979	581.748
1352.307	583.798
1353.353	586.012
1354.101	588.404
1354.543	590.978
1354.688	593.719
1354.547	596.610
1354.133	599.634
1353.458	602.773
1352.533	606.011
1351.371	609.329
1349.984	612.710
1348.382	616.138
1346.580	619.594
1344.587	623.062
1342.417	626.524
1340.081	629.962
1337.591	633.360
1334.960	636.700
1332.198	639.964
1329.319	643.136
1326.334	646.198
1323.254	649.132
1320.093	651.921
1316.860	654.553
1313.559	657.028
1310.192	659.356
1306.762	661.542
1303.270	663.595
1299.719	665.521
1296.111	667.328
1292.447	669.023
1288.730	670.613
1284.962	672.106
1281.146	673.509
1277.282	674.828
1273.374	676.072
1269.423	677.247
1265.431	678.361
1261.401	679.421
1257.334	680.435
1253.234	681.408
1249.101	682.350
1244.938	683.267
1240.746	684.166
1236.529	685.055
1232.288	685.940
1228.026	686.828
1223.740	687.719
1219.433	688.609
1215.102	689.498
1210.748	690.383
1206.369	691.260
1201.966	692.129
1197.538	692.987
1193.085	693.832
1188.605	694.660
1184.099	695.471
1179.566	696.262
1175.005	697.031
1170.416	697.774
1165.799	698.491
1161.152	699.179
1156.476	699.835
1151.770	700.457
1147.034	701.044
1142.266	701.592
1137.467	702.100
1132.636	702.565
1127.772	702.985
1122.875	703.358
1117.945	703.681
1112.980	703.953
1107.982	704.171
1102.951	704.334
1097.890	704.442
1092.804	704.496
1087.694	704.496
1082.563	704.440
1077.416	704.330
1072.253	704.165
1067.079	703.945
1061.897	703.670
1056.709	703.339
1051.518	702.954
1046.327	702.514
1041.140	702.018
1035.959	701.468
1030.787	700.862
1025.627	700.200
1020.482	699.483
1015.355	698.711
1010.249	697.883
1005.168	696.999
1000.113	696.060
995.087	695.065
990.095	694.015
985.139	692.908
980.221	691.746
975.345	690.528
970.513	689.253
965.729	687.923
960.996	686.537
956.315	685.095
951.688	683.600
947.116	682.053
942.603	680.453
938.148	678.804
933.755	677.104
929.425	675.357
925.160	673.562
920.961	671.721
916.831	669.835
912.770	667.905
908.782	665.933
904.867	663.919
901.028	661.864
897.266	659.770
893.583	657.637
889.980	655.467
886.461	653.262
883.026	651.021
879.677	648.746
876.416	646.438
873.244	644.099
870.164	641.729
867.178	639.329
864.286	636.903
861.488	634.455
858.785	631.992
856.175	629.519
853.660	627.043
851.239	624.569
848.911	622.102
846.677	619.649
844.536	617.216
842.489	614.808
840.535	612.432
838.674	610.092
836.906	607.795
835.230	605.547
833.647	603.353
832.157	601.220
830.759	599.152
829.454	597.157
828.236	595.227
827.098	593.344
826.032	591.488
825.028	589.639
824.078	587.777
823.174	585.881
822.306	583.933
821.467	581.911
820.647	579.797
819.838	577.570
819.031	575.210
818.218	572.697
817.393	570.014
816.567	567.176
815.765	564.212
815.008	561.152
814.322	558.027
813.728	554.868
813.250	551.703
812.911	548.564
812.735	545.481
812.744	542.484
812.962	539.603
813.413	536.868
814.119	534.311
815.103	531.960
816.389	529.846
818.000	528.000
