X	Y
337.000	153.000
337.572	152.257
338.310	151.517
339.208	150.778
340.260	150.041
341.460	149.303
342.800	148.565
344.275	147.825
345.878	147.082
347.602	146.336
349.442	145.585
351.391	144.830
353.443	144.068
355.590	143.299
357.828	142.523
360.148	141.738
362.546	140.943
365.014	140.139
367.546	139.323
370.136	138.494
372.778	137.653
375.464	136.798
378.189	135.929
380.946	135.044
383.728	134.142
386.530	133.224
389.345	132.287
392.167	131.331
394.988	130.355
397.804	129.359
400.611	128.342
403.408	127.305
406.194	126.249
408.970	125.174
411.734	124.081
414.486	122.970
417.225	121.843
419.950	120.699
422.661	119.540
425.357	118.366
428.037	117.178
430.701	115.976
433.348	114.762
435.977	113.535
438.588	112.296
441.180	111.046
443.752	109.785
446.305	108.515
448.836	107.236
451.345	105.948
453.832	104.652
456.297	103.349
458.737	102.040
461.154	100.724
463.545	99.403
465.911	98.077
468.251	96.747
470.563	95.414
472.848	94.078
475.105	92.740
477.333	91.400
479.531	90.059
481.699	88.718
483.836	87.377
485.941	86.038
488.015	84.700
490.058	83.363
492.074	82.029
494.065	80.696
496.034	79.366
497.982	78.037
499.913	76.711
501.828	75.387
503.730	74.065
505.622	72.746
507.505	71.429
509.384	70.115
511.259	68.803
513.133	67.494
515.009	66.188
516.889	64.885
518.775	63.585
520.671	62.288
522.578	60.994
524.499	59.704
526.436	58.417
528.392	57.133
530.368	55.853
532.369	54.577
534.396	53.304
536.451	52.035
538.536	50.770
540.655	49.508
542.810	48.251
545.003	46.998
547.236	45.750
549.505	44.509
551.805	43.278
554.133	42.061
556.484	40.860
558.854	39.678
561.239	38.520
563.633	37.387
566.033	36.282
568.435	35.210
570.833	34.172
573.224	33.172
575.604	32.213
577.967	31.299
580.309	30.431
582.627	29.614
584.916	28.849
587.171	28.141
589.388	27.493
591.563	26.906
593.691	26.386
595.768	25.934
597.790	25.553
599.752	25.247
601.650	25.019
603.479	24.872
605.236	24.808
606.916	24.832
608.513	24.945
610.026	25.151
611.450	25.451
612.787	25.841
614.036	26.322
615.197	26.892
616.269	27.549
617.252	28.291
618.146	29.118
618.951	30.028
619.666	31.019
620.291	32.090
620.826	33.240
621.271	34.467
621.624	35.769
621.887	37.145
622.058	38.594
622.141	40.113
622.140	41.697
622.062	43.341
621.912	45.042
621.697	46.793
621.421	48.590
621.092	50.429
620.715	52.305
620.295	54.213
619.839	56.148
619.353	58.107
618.842	60.083
618.312	62.072
617.769	64.069
617.218	66.071
616.667	68.071
616.120	70.066
615.584	72.051
615.064	74.020
614.566	75.969
614.096	77.894
613.660	79.790
613.263	81.651
612.913	83.474
612.609	85.255
612.344	86.991
612.110	88.681
611.898	90.324
611.701	91.917
611.509	93.460
611.314	94.950
611.107	96.387
610.881	97.768
610.627	99.091
610.336	100.356
610.000	101.560
609.611	102.702
609.160	103.781
608.638	104.794
608.038	105.740
607.350	106.617
606.567	107.425
605.688	108.163
604.718	108.835
603.661	109.444
602.525	109.992
601.313	110.483
600.032	110.919
598.687	111.304
597.283	111.641
595.826	111.932
594.321	112.181
592.773	112.391
591.189	112.564
589.573	112.704
587.931	112.813
586.268	112.895
584.590	112.952
582.901	112.988
581.209	113.006
579.514	113.008
577.818	112.997
576.119	112.976
574.418	112.947
572.714	112.914
571.008	112.877
569.298	112.842
567.585	112.809
565.868	112.782
564.148	112.763
562.423	112.755
560.694	112.760
558.961	112.782
557.222	112.823
555.479	112.885
553.730	112.972
551.976	113.085
550.217	113.228
548.451	113.403
546.679	113.613
544.900	113.860
543.115	114.147
541.323	114.475
539.523	114.841
537.714	115.245
535.895	115.683
534.067	116.153
532.228	116.656
530.377	117.187
528.513	117.745
526.637	118.329
524.747	118.937
522.842	119.566
520.922	120.215
518.986	120.882
517.033	121.565
515.063	122.262
513.074	122.971
511.067	123.690
509.039	124.418
506.992	125.153
504.923	125.892
502.832	126.634
500.718	127.377
498.581	128.119
496.420	128.858
494.234	129.592
492.022	130.320
489.785	131.040
487.523	131.754
485.237	132.461
482.929	133.163
480.600	133.859
478.249	134.551
475.879	135.240
473.491	135.925
471.085	136.607
468.662	137.287
466.224	137.966
463.771	138.644
461.304	139.322
458.825	140.000
456.334	140.679
453.833	141.360
451.322	142.042
448.802	142.728
446.275	143.416
443.742	144.109
441.202	144.806
438.658	145.508
436.111	146.216
433.561	146.930
431.009	147.651
428.456	148.380
425.904	149.117
423.354	149.862
420.806	150.616
418.261	151.381
415.721	152.156
413.186	152.942
410.657	153.739
408.137	154.547
405.627	155.363
403.129	156.185
400.645	157.013
398.177	157.844
395.727	158.677
393.296	159.509
390.887	160.340
388.501	161.167
386.141	161.989
383.808	162.804
381.505	163.611
379.232	164.407
376.993	165.191
374.788	165.961
372.620	166.716
370.492	167.454
368.403	168.173
366.358	168.872
364.356	169.548
362.402	170.200
360.495	170.827
358.639	171.426
356.834	171.996
355.084	172.536
353.390	173.043
351.753	173.515
350.177	173.952
348.662	174.351
347.213	174.707
345.835	175.013
344.533	175.263
343.310	175.451
342.173	175.571
341.125	175.617
340.172	175.582
339.318	175.460
338.568	175.245
337.926	174.930
337.398	174.510
336.987	173.979
336.696	173.333
336.510	172.582
336.415	171.742
336.395	170.824
336.433	169.843
336.514	168.811
336.622	167.743
336.741	166.651
336.855	165.549
336.949	164.450
337.006	163.368
337.011	162.317
336.951	161.308
336.833	160.343
336.681	159.420
336.518	158.533
336.367	157.678
336.251	156.852
336.193	156.050
336.216	155.268
336.343	154.501
336.596	153.747
337.000	153.000
