X	Y
326.000	256.000
327.162	255.416
328.592	255.001
330.269	254.738
332.174	254.610
334.288	254.603
336.590	254.699
339.060	254.882
341.678	255.138
344.425	255.448
347.281	255.797
350.226	256.170
353.241	256.549
356.304	256.919
359.398	257.266
362.516	257.587
365.656	257.888
368.817	258.173
371.996	258.447
375.193	258.714
378.405	258.981
381.630	259.250
384.869	259.528
388.117	259.819
391.375	260.127
394.640	260.458
397.911	260.816
401.186	261.207
404.463	261.634
407.741	262.102
411.018	262.617
414.293	263.183
417.563	263.804
420.827	264.481
424.078	265.205
427.313	265.970
430.526	266.770
433.713	267.596
436.868	268.442
439.989	269.300
443.068	270.165
446.102	271.028
449.087	271.883
452.016	272.722
454.886	273.539
457.692	274.326
460.429	275.077
463.092	275.785
465.676	276.442
468.177	277.041
470.592	277.581
472.923	278.076
475.176	278.544
477.354	279.004
479.461	279.474
481.502	279.972
483.481	280.515
485.401	281.123
487.268	281.813
489.085	282.603
490.857	283.512
492.588	284.557
494.277	285.749
495.913	287.070
497.479	288.497
498.960	290.005
500.339	291.571
501.601	293.173
502.730	294.785
503.710	296.384
504.525	297.948
505.159	299.452
505.598	300.872
505.830	302.199
505.858	303.444
505.686	304.623
505.316	305.750
504.752	306.842
503.996	307.913
503.054	308.979
501.937	310.047
500.672	311.121
499.285	312.203
497.800	313.294
496.245	314.396
494.645	315.512
493.026	316.644
491.414	317.792
489.835	318.960
488.314	320.150
486.870	321.359
485.496	322.580
484.183	323.802
482.920	325.014
481.699	326.206
480.509	327.367
479.340	328.488
478.184	329.556
477.029	330.563
475.868	331.499
474.704	332.372
473.556	333.210
472.439	334.037
471.373	334.881
470.374	335.768
469.460	336.724
468.648	337.776
467.951	338.946
467.345	340.222
466.788	341.576
466.241	342.981
465.661	344.408
465.008	345.831
464.241	347.222
463.320	348.554
462.203	349.799
460.871	350.941
459.344	351.987
457.647	352.947
455.806	353.831
453.847	354.649
451.795	355.409
449.675	356.122
447.512	356.798
445.333	357.446
443.162	358.076
441.024	358.697
438.945	359.319
436.932	359.942
434.974	360.560
433.061	361.165
431.184	361.748
429.330	362.302
427.491	362.820
425.654	363.293
423.811	363.714
421.950	364.076
420.061	364.369
418.133	364.588
416.168	364.731
414.179	364.808
412.178	364.826
410.180	364.794
408.197	364.721
406.245	364.615
404.335	364.486
402.483	364.342
400.701	364.192
399.002	364.044
397.400	363.907
395.885	363.797
394.439	363.734
393.041	363.736
391.672	363.823
390.312	364.015
388.940	364.330
387.538	364.787
386.087	365.405
384.579	366.174
383.017	367.066
381.403	368.051
379.740	369.102
378.029	370.190
376.274	371.285
374.476	372.360
372.638	373.385
370.763	374.332
368.852	375.172
366.908	375.877
364.943	376.430
362.975	376.824
361.024	377.052
359.108	377.109
357.246	376.986
355.457	376.677
353.760	376.176
352.174	375.476
350.717	374.569
349.408	373.451
348.249	372.129
347.224	370.627
346.316	368.972
345.509	367.188
344.786	365.300
344.130	363.335
343.524	361.317
342.952	359.271
342.397	357.224
341.842	355.200
341.271	353.223
340.675	351.305
340.059	349.434
339.427	347.599
338.782	345.788
338.130	343.990
337.474	342.193
336.820	340.385
336.170	338.555
335.529	336.692
334.902	334.783
334.293	332.817
333.705	330.789
333.140	328.704
332.599	326.566
332.085	324.380
331.599	322.153
331.142	319.889
330.717	317.594
330.324	315.272
329.967	312.929
329.645	310.571
329.362	308.201
329.118	305.826
328.916	303.451
328.749	301.084
328.606	298.738
328.473	296.423
328.338	294.154
328.186	291.941
328.006	289.798
327.783	287.735
327.506	285.766
327.160	283.903
326.733	282.158
326.211	280.542
325.585	279.067
324.877	277.722
324.132	276.479
323.398	275.312
322.719	274.195
322.144	273.100
321.717	272.002
321.485	270.873
321.472	269.701
321.634	268.510
321.916	267.333
322.264	266.202
322.622	265.150
322.936	264.209
323.158	263.404
323.295	262.697
323.385	262.019
323.464	261.302
323.571	260.480
323.745	259.558
324.031	258.592
324.473	257.639
325.115	256.756
326.000	256.000
