X	Y
661.000	232.000
661.606	230.893
662.355	229.795
663.240	228.705
664.258	227.622
665.401	226.546
666.666	225.477
668.046	224.414
669.537	223.357
671.132	222.306
672.827	221.261
674.617	220.220
676.496	219.184
678.458	218.152
680.498	217.125
682.612	216.100
684.793	215.079
687.036	214.061
689.337	213.046
691.689	212.032
694.088	211.021
696.527	210.010
699.002	209.001
701.508	207.993
704.038	206.985
706.589	205.977
709.159	204.969
711.746	203.959
714.349	202.949
716.968	201.937
719.601	200.924
722.248	199.908
724.907	198.889
727.577	197.867
730.257	196.841
732.946	195.812
735.643	194.778
738.346	193.740
741.056	192.696
743.770	191.647
746.487	190.592
749.208	189.531
751.929	188.463
754.652	187.389
757.373	186.306
760.093	185.216
762.809	184.117
765.522	183.010
768.230	181.894
770.932	180.768
773.627	179.633
776.313	178.487
778.990	177.331
781.657	176.164
784.312	174.985
786.955	173.794
789.585	172.592
792.199	171.376
794.798	170.148
797.382	168.907
799.952	167.653
802.510	166.388
805.056	165.111
807.592	163.823
810.120	162.525
812.641	161.216
815.155	159.898
817.665	158.570
820.171	157.233
822.675	155.888
825.178	154.536
827.682	153.175
830.188	151.808
832.696	150.433
835.209	149.053
837.728	147.667
840.254	146.275
842.789	144.879
845.332	143.478
847.887	142.074
850.454	140.665
853.035	139.254
855.630	137.840
858.242	136.423
860.871	135.005
863.519	133.585
866.187	132.165
868.876	130.744
871.589	129.323
874.325	127.902
877.086	126.482
879.874	125.064
882.689	123.647
885.532	122.232
888.400	120.821
891.292	119.412
894.208	118.007
897.145	116.607
900.104	115.211
903.081	113.821
906.078	112.436
909.091	111.058
912.121	109.687
915.165	108.323
918.223	106.967
921.293	105.619
924.374	104.280
927.466	102.951
930.566	101.632
933.673	100.323
936.787	99.026
939.906	97.739
943.029	96.465
946.155	95.204
949.282	93.955
952.409	92.720
955.536	91.499
958.660	90.293
961.782	89.102
964.898	87.927
968.009	86.767
971.113	85.625
974.209	84.499
977.296	83.392
980.372	82.302
983.436	81.231
986.487	80.180
989.525	79.148
992.546	78.137
995.552	77.146
998.539	76.177
1001.510	75.230
1004.463	74.305
1007.401	73.402
1010.322	72.522
1013.229	71.666
1016.121	70.834
1019.000	70.026
1021.866	69.243
1024.719	68.486
1027.560	67.754
1030.390	67.048
1033.210	66.368
1036.019	65.716
1038.819	65.090
1041.610	64.493
1044.393	63.924
1047.169	63.383
1049.938	62.872
1052.700	62.390
1055.457	61.938
1058.208	61.517
1060.955	61.126
1063.698	60.767
1066.438	60.439
1069.176	60.143
1071.911	59.880
1074.646	59.650
1077.379	59.453
1080.112	59.290
1082.846	59.162
1085.581	59.068
1088.317	59.009
1091.056	58.986
1093.794	58.999
1096.528	59.048
1099.253	59.135
1101.966	59.259
1104.662	59.421
1107.339	59.623
1109.991	59.863
1112.615	60.143
1115.206	60.464
1117.762	60.825
1120.277	61.228
1122.749	61.672
1125.172	62.159
1127.543	62.689
1129.859	63.263
1132.115	63.880
1134.306	64.542
1136.430	65.249
1138.482	66.002
1140.458	66.801
1142.355	67.647
1144.168	68.539
1145.893	69.480
1147.527	70.469
1149.065	71.506
1150.504	72.593
1151.839	73.730
1153.070	74.916
1154.197	76.148
1155.220	77.424
1156.141	78.744
1156.960	80.103
1157.677	81.502
1158.293	82.936
1158.809	84.405
1159.226	85.906
1159.543	87.438
1159.762	88.997
1159.883	90.583
1159.907	92.193
1159.834	93.824
1159.665	95.476
1159.400	97.145
1159.041	98.830
1158.588	100.529
1158.044	102.241
1157.412	103.965
1156.695	105.702
1155.897	107.450
1155.021	109.208
1154.071	110.977
1153.049	112.756
1151.959	114.544
1150.805	116.340
1149.589	118.145
1148.315	119.957
1146.986	121.777
1145.606	123.603
1144.177	125.434
1142.704	127.272
1141.189	129.114
1139.636	130.960
1138.048	132.810
1136.428	134.664
1134.780	136.520
1133.107	138.378
1131.412	140.238
1129.699	142.099
1127.970	143.961
1126.230	145.822
1124.480	147.683
1122.719	149.540
1120.946	151.394
1119.162	153.242
1117.365	155.082
1115.556	156.914
1113.733	158.735
1111.896	160.544
1110.045	162.339
1108.178	164.119
1106.297	165.882
1104.399	167.627
1102.484	169.351
1100.552	171.054
1098.603	172.734
1096.635	174.388
1094.649	176.017
1092.643	177.617
1090.618	179.188
1088.572	180.728
1086.505	182.235
1084.416	183.708
1082.306	185.145
1080.173	186.544
1078.017	187.904
1075.837	189.224
1073.634	190.501
1071.405	191.734
1069.151	192.922
1066.872	194.064
1064.566	195.159
1062.233	196.211
1059.873	197.220
1057.484	198.188
1055.067	199.116
1052.620	200.006
1050.143	200.860
1047.636	201.678
1045.097	202.464
1042.526	203.217
1039.923	203.939
1037.287	204.633
1034.617	205.300
1031.913	205.940
1029.174	206.557
1026.399	207.150
1023.588	207.722
1020.740	208.275
1017.855	208.809
1014.932	209.326
1011.970	209.829
1008.969	210.317
1005.928	210.794
1002.847	211.260
999.725	211.717
996.561	212.166
993.355	212.609
990.106	213.048
986.813	213.484
983.476	213.918
980.095	214.353
976.668	214.789
973.195	215.228
969.677	215.671
966.116	216.118
962.514	216.570
958.873	217.025
955.196	217.485
951.483	217.949
947.738	218.418
943.962	218.892
940.158	219.370
936.327	219.853
932.472	220.342
928.594	220.835
924.697	221.333
920.781	221.837
916.849	222.347
912.904	222.861
908.946	223.382
904.979	223.908
901.004	224.440
897.023	224.978
893.039	225.522
889.053	226.073
885.068	226.629
881.086	227.192
877.108	227.761
873.138	228.337
869.176	228.920
865.225	229.510
861.288	230.106
857.365	230.710
853.460	231.320
849.575	231.938
845.710	232.563
841.869	233.196
838.054	233.836
834.267	234.484
830.509	235.140
826.783	235.803
823.091	236.475
819.435	237.154
815.818	237.842
812.240	238.538
808.704	239.243
805.213	239.956
801.768	240.677
798.368	241.407
795.012	242.143
791.697	242.885
788.422	243.632
785.187	244.383
781.988	245.138
778.825	245.895
775.695	246.653
772.598	247.411
769.532	248.169
766.495	248.926
763.485	249.680
760.501	250.432
757.541	251.179
754.605	251.921
751.689	252.657
748.793	253.386
745.915	254.107
743.053	254.819
740.206	255.522
737.372	256.215
734.550	256.896
731.737	257.564
728.933	258.219
726.136	258.860
723.344	259.486
720.556	260.096
717.769	260.689
714.983	261.263
712.196	261.820
709.406	262.356
706.612	262.872
703.811	263.366
701.003	263.837
698.187	264.286
695.367	264.709
692.554	265.104
689.758	265.469
686.989	265.802
684.257	266.100
681.572	266.360
678.945	266.581
676.385	266.760
673.902	266.894
671.506	266.981
669.208	267.019
667.018	267.005
664.946	266.937
663.001	266.813
661.194	266.629
659.536	266.384
658.035	266.076
656.702	265.701
655.548	265.257
654.582	264.743
653.814	264.155
653.254	263.492
652.913	262.750
652.788	261.931
652.853	261.041
653.084	260.086
653.455	259.073
653.940	258.008
654.515	256.899
655.152	255.751
655.826	254.572
656.513	253.367
657.185	252.143
657.818	250.907
658.385	249.666
658.862	248.425
659.224	247.191
659.474	245.967
659.632	244.753
659.718	243.548
659.752	242.352
659.753	241.166
659.742	239.989
659.739	238.821
659.763	237.662
659.835	236.512
659.975	235.371
660.202	234.239
660.537	233.115
661.000	232.000
