X	Y
660.000	257.000
661.314	255.821
662.826	254.719
664.526	253.691
666.408	252.734
668.462	251.844
670.681	251.017
673.057	250.250
675.581	249.539
678.245	248.881
681.041	248.271
683.961	247.707
686.997	247.185
690.141	246.700
693.383	246.250
696.718	245.831
700.135	245.439
703.627	245.071
707.187	244.723
710.804	244.392
714.473	244.073
718.184	243.764
721.929	243.460
725.700	243.158
729.489	242.855
733.287	242.547
737.088	242.230
740.881	241.900
744.661	241.554
748.417	241.189
752.142	240.801
755.828	240.386
759.467	239.941
763.052	239.463
766.587	238.953
770.072	238.415
773.510	237.849
776.905	237.259
780.257	236.645
783.571	236.010
786.848	235.356
790.091	234.686
793.303	234.000
796.485	233.302
799.641	232.593
802.772	231.875
805.882	231.151
808.973	230.421
812.047	229.690
815.107	228.957
818.156	228.226
821.195	227.499
824.228	226.777
827.257	226.063
830.284	225.358
833.312	224.666
836.343	223.987
839.381	223.323
842.426	222.678
845.483	222.052
848.553	221.449
851.639	220.869
854.743	220.315
857.868	219.790
861.016	219.294
864.191	218.831
867.391	218.400
870.616	218.001
873.864	217.633
877.131	217.294
880.417	216.984
883.718	216.700
887.032	216.443
890.358	216.210
893.693	216.001
897.036	215.815
900.382	215.649
903.732	215.504
907.082	215.377
910.430	215.268
913.774	215.176
917.112	215.099
920.441	215.036
923.760	214.987
927.067	214.949
930.359	214.921
933.633	214.904
936.888	214.894
940.122	214.892
943.332	214.895
946.516	214.904
949.673	214.916
952.799	214.930
955.893	214.946
958.952	214.962
961.975	214.976
964.958	214.989
967.901	214.998
970.800	215.002
973.657	215.003
976.472	215.002
979.249	215.000
981.989	215.001
984.693	215.005
987.365	215.016
990.005	215.034
992.616	215.061
995.200	215.101
997.758	215.154
1000.294	215.222
1002.807	215.307
1005.302	215.412
1007.779	215.538
1010.240	215.688
1012.688	215.862
1015.124	216.063
1017.551	216.294
1019.970	216.555
1022.383	216.849
1024.792	217.178
1027.200	217.543
1029.608	217.947
1032.018	218.392
1034.432	218.879
1036.851	219.410
1039.273	219.987
1041.694	220.608
1044.109	221.275
1046.514	221.986
1048.903	222.744
1051.274	223.547
1053.620	224.395
1055.938	225.290
1058.222	226.230
1060.470	227.216
1062.675	228.249
1064.834	229.328
1066.942	230.453
1068.995	231.625
1070.988	232.844
1072.917	234.110
1074.776	235.422
1076.562	236.782
1078.271	238.189
1079.897	239.643
1081.436	241.144
1082.884	242.693
1084.236	244.290
1085.487	245.934
1086.634	247.619
1087.670	249.342
1088.592	251.096
1089.395	252.878
1090.073	254.681
1090.623	256.502
1091.039	258.336
1091.316	260.176
1091.451	262.019
1091.438	263.859
1091.272	265.692
1090.949	267.512
1090.464	269.315
1089.812	271.095
1088.989	272.849
1087.990	274.569
1086.809	276.253
1085.446	277.896
1083.909	279.499
1082.207	281.065
1080.349	282.595
1078.345	284.091
1076.204	285.554
1073.934	286.987
1071.547	288.391
1069.049	289.768
1066.452	291.120
1063.764	292.448
1060.995	293.754
1058.153	295.040
1055.249	296.308
1052.290	297.560
1049.288	298.797
1046.251	300.021
1043.188	301.233
1040.108	302.437
1037.021	303.632
1033.937	304.822
1030.864	306.008
1027.811	307.191
1024.789	308.373
1021.806	309.557
1018.871	310.744
1015.995	311.935
1013.185	313.133
1010.452	314.339
1007.805	315.556
1005.245	316.782
1002.770	318.020
1000.373	319.267
998.050	320.524
995.797	321.791
993.609	323.066
991.480	324.351
989.406	325.643
987.382	326.944
985.403	328.252
983.465	329.568
981.562	330.890
979.691	332.220
977.845	333.555
976.021	334.896
974.212	336.243
972.416	337.596
970.626	338.953
968.838	340.314
967.048	341.680
965.249	343.050
963.439	344.423
961.610	345.799
959.760	347.178
957.884	348.559
955.981	349.942
954.051	351.324
952.092	352.706
950.105	354.086
948.088	355.463
946.042	356.835
943.966	358.203
941.858	359.564
939.719	360.918
937.549	362.263
935.345	363.599
933.109	364.924
930.839	366.238
928.534	367.539
926.195	368.826
923.821	370.098
921.410	371.355
918.963	372.594
916.479	373.815
913.958	375.017
911.398	376.198
908.799	377.359
906.161	378.496
903.484	379.611
900.766	380.701
898.007	381.765
895.208	382.803
892.370	383.814
889.496	384.798
886.587	385.755
883.645	386.685
880.670	387.586
877.665	388.459
874.632	389.304
871.571	390.119
868.485	390.905
865.375	391.661
862.244	392.387
859.091	393.082
855.920	393.746
852.731	394.380
849.526	394.981
846.308	395.551
843.077	396.088
839.835	396.593
836.583	397.065
833.325	397.503
830.060	397.907
826.790	398.278
823.518	398.614
820.245	398.915
816.972	399.181
813.702	399.412
810.435	399.606
807.173	399.764
803.918	399.886
800.672	399.971
797.436	400.018
794.211	400.028
790.998	400.001
787.798	399.937
784.610	399.836
781.436	399.699
778.276	399.525
775.131	399.316
772.001	399.070
768.886	398.789
765.789	398.472
762.708	398.121
759.644	397.734
756.599	397.313
753.572	396.857
750.565	396.367
747.577	395.843
744.610	395.285
741.663	394.693
738.739	394.068
735.836	393.410
732.956	392.719
730.099	391.995
727.265	391.239
724.456	390.451
721.672	389.630
718.914	388.778
716.181	387.894
713.475	386.979
710.797	386.032
708.146	385.055
705.523	384.047
702.932	383.006
700.375	381.933
697.856	380.825
695.377	379.681
692.942	378.500
690.554	377.280
688.216	376.020
685.930	374.719
683.701	373.376
681.530	371.988
679.422	370.556
677.380	369.077
675.406	367.549
673.503	365.973
671.675	364.346
669.924	362.667
668.255	360.935
666.669	359.149
665.171	357.306
663.762	355.406
662.447	353.448
661.228	351.430
660.109	349.351
659.092	347.209
658.180	345.004
657.369	342.742
656.655	340.431
656.032	338.079
655.496	335.693
655.041	333.280
654.664	330.849
654.358	328.407
654.119	325.962
653.942	323.522
653.822	321.095
653.754	318.687
653.733	316.307
653.754	313.963
653.813	311.662
653.903	309.413
654.021	307.221
654.162	305.097
654.320	303.046
654.491	301.077
654.669	299.198
654.850	297.416
655.028	295.739
655.200	294.170
655.363	292.696
655.516	291.304
655.655	289.982
655.780	288.714
655.888	287.489
655.977	286.292
656.044	285.110
656.089	283.929
656.109	282.736
656.101	281.518
656.065	280.260
655.997	278.950
655.899	277.579
655.785	276.151
655.670	274.678
655.570	273.170
655.500	271.635
655.478	270.084
655.518	268.526
655.637	266.972
655.850	265.430
656.174	263.911
656.623	262.425
657.215	260.981
657.964	259.589
658.887	258.259
660.000	257.000
