X	Y
6.138	3.369
6.148	3.354
6.159	3.338
6.171	3.324
6.186	3.310
6.202	3.296
6.220	3.283
6.239	3.270
6.260	3.257
6.282	3.245
6.305	3.233
6.330	3.222
6.356	3.210
6.383	3.199
6.411	3.189
6.440	3.178
6.470	3.168
6.501	3.157
6.533	3.147
6.566	3.137
6.599	3.127
6.633	3.118
6.668	3.108
6.703	3.098
6.739	3.088
6.775	3.078
6.812	3.068
6.849	3.058
6.886	3.048
6.924	3.037
6.961	3.027
6.999	3.016
7.037	3.006
7.075	2.995
7.113	2.984
7.151	2.973
7.190	2.961
7.228	2.950
7.267	2.938
7.305	2.927
7.344	2.915
7.382	2.903
7.420	2.891
7.459	2.879
7.497	2.867
7.535	2.855
7.573	2.842
7.611	2.830
7.649	2.817
7.687	2.805
7.724	2.792
7.761	2.779
7.799	2.766
7.835	2.753
7.872	2.741
7.908	2.727
7.944	2.714
7.980	2.701
8.016	2.688
8.051	2.675
8.085	2.662
8.120	2.648
8.154	2.635
8.187	2.621
8.221	2.608
8.253	2.594
8.286	2.581
8.317	2.567
8.349	2.554
8.380	2.540
8.410	2.527
8.440	2.513
8.470	2.500
8.500	2.487
8.529	2.473
8.559	2.460
8.588	2.447
8.616	2.434
8.645	2.421
8.674	2.408
8.702	2.396
8.731	2.383
8.759	2.371
8.788	2.359
8.817	2.347
8.845	2.335
8.874	2.323
8.903	2.312
8.932	2.301
8.962	2.290
8.991	2.279
9.021	2.269
9.052	2.259
9.082	2.249
9.113	2.240
9.144	2.230
9.176	2.222
9.208	2.213
9.241	2.205
9.274	2.197
9.308	2.190
9.342	2.183
9.377	2.176
9.411	2.170
9.447	2.164
9.482	2.158
9.518	2.152
9.554	2.147
9.590	2.142
9.627	2.137
9.663	2.133
9.700	2.129
9.737	2.125
9.775	2.121
9.812	2.118
9.850	2.115
9.887	2.112
9.925	2.109
9.962	2.107
10.000	2.105
10.037	2.103
10.075	2.101
10.112	2.099
10.150	2.098
10.187	2.097
10.224	2.096
10.261	2.095
10.298	2.094
10.334	2.093
10.371	2.093
10.407	2.093
10.443	2.092
10.478	2.092
10.514	2.092
10.548	2.093
10.583	2.093
10.617	2.094
10.651	2.095
10.684	2.096
10.717	2.097
10.749	2.099
10.780	2.101
10.812	2.104
10.842	2.107
10.872	2.111
10.901	2.115
10.930	2.119
10.958	2.124
10.985	2.130
11.011	2.137
11.037	2.144
11.061	2.152
11.085	2.160
11.108	2.169
11.131	2.179
11.152	2.190
11.172	2.202
11.191	2.215
11.210	2.228
11.227	2.243
11.243	2.258
11.258	2.274
11.272	2.292
11.285	2.310
11.297	2.329
11.309	2.349
11.319	2.370
11.328	2.391
11.336	2.414
11.344	2.436
11.351	2.460
11.356	2.484
11.361	2.509
11.365	2.534
11.369	2.560
11.372	2.586
11.373	2.612
11.375	2.639
11.375	2.667
11.375	2.694
11.374	2.722
11.373	2.751
11.371	2.779
11.368	2.808
11.365	2.836
11.362	2.865
11.357	2.894
11.353	2.923
11.347	2.952
11.342	2.981
11.335	3.009
11.328	3.038
11.321	3.066
11.313	3.094
11.304	3.122
11.295	3.149
11.285	3.176
11.275	3.203
11.264	3.229
11.253	3.255
11.241	3.280
11.229	3.304
11.216	3.328
11.203	3.351
11.189	3.373
11.174	3.395
11.159	3.416
11.144	3.436
11.128	3.455
11.111	3.473
11.095	3.490
11.077	3.506
11.059	3.521
11.041	3.536
11.021	3.549
11.002	3.562
10.982	3.574
10.961	3.585
10.940	3.596
10.918	3.606
10.896	3.615
10.873	3.624
10.850	3.633
10.826	3.640
10.802	3.648
10.777	3.655
10.751	3.662
10.725	3.668
10.698	3.675
10.671	3.681
10.643	3.687
10.615	3.693
10.586	3.698
10.556	3.704
10.526	3.710
10.496	3.716
10.464	3.722
10.432	3.728
10.400	3.734
10.367	3.740
10.334	3.746
10.300	3.752
10.266	3.758
10.231	3.764
10.196	3.770
10.161	3.776
10.126	3.782
10.090	3.789
10.053	3.795
10.017	3.801
9.980	3.807
9.943	3.814
9.906	3.820
9.869	3.826
9.832	3.832
9.794	3.839
9.756	3.845
9.719	3.851
9.681	3.857
9.643	3.863
9.605	3.870
9.568	3.876
9.530	3.882
9.492	3.888
9.455	3.894
9.417	3.900
9.380	3.906
9.343	3.912
9.306	3.918
9.269	3.924
9.232	3.930
9.196	3.936
9.160	3.942
9.124	3.948
9.088	3.953
9.052	3.959
9.017	3.965
8.982	3.970
8.947	3.975
8.912	3.981
8.877	3.986
8.842	3.991
8.808	3.996
8.774	4.001
8.739	4.005
8.705	4.010
8.672	4.014
8.638	4.019
8.604	4.023
8.570	4.027
8.537	4.031
8.504	4.034
8.470	4.038
8.437	4.041
8.404	4.044
8.371	4.047
8.338	4.050
8.305	4.052
8.272	4.055
8.239	4.057
8.207	4.058
8.174	4.060
8.141	4.061
8.108	4.063
8.076	4.063
8.043	4.064
8.010	4.065
7.978	4.065
7.945	4.065
7.912	4.065
7.879	4.064
7.846	4.064
7.813	4.063
7.780	4.062
7.747	4.061
7.714	4.059
7.680	4.058
7.647	4.056
7.613	4.054
7.579	4.052
7.545	4.050
7.511	4.047
7.476	4.045
7.441	4.042
7.406	4.040
7.371	4.037
7.336	4.034
7.300	4.031
7.264	4.027
7.228	4.024
7.192	4.021
7.155	4.017
7.118	4.013
7.080	4.010
7.042	4.006
7.004	4.002
6.966	3.998
6.927	3.994
6.888	3.990
6.848	3.986
6.809	3.982
6.770	3.977
6.731	3.973
6.692	3.968
6.654	3.963
6.616	3.958
6.579	3.953
6.542	3.948
6.506	3.943
6.471	3.937
6.437	3.931
6.404	3.925
6.372	3.919
6.341	3.913
6.312	3.906
6.284	3.899
6.258	3.892
6.233	3.885
6.210	3.877
6.189	3.869
6.170	3.861
6.153	3.852
6.138	3.843
6.126	3.834
6.115	3.825
6.107	3.815
6.102	3.805
6.099	3.794
6.097	3.783
6.098	3.772
6.099	3.760
6.102	3.748
6.105	3.735
6.109	3.722
6.113	3.708
6.117	3.694
6.120	3.680
6.123	3.664
6.124	3.648
6.125	3.632
6.125	3.615
6.124	3.598
6.123	3.581
6.121	3.563
6.120	3.545
6.118	3.527
6.117	3.508
6.116	3.490
6.116	3.472
6.117	3.454
6.118	3.437
6.121	3.419
6.125	3.402
6.131	3.385
6.138	3.369
