X	Y
6.154	3.785
6.165	3.776
6.179	3.770
6.195	3.766
6.213	3.764
6.233	3.763
6.256	3.764
6.279	3.766
6.305	3.769
6.332	3.774
6.361	3.780
6.390	3.786
6.421	3.794
6.453	3.802
6.486	3.811
6.520	3.821
6.555	3.830
6.590	3.840
6.625	3.850
6.661	3.860
6.698	3.870
6.734	3.880
6.770	3.889
6.807	3.898
6.843	3.907
6.880	3.915
6.917	3.924
6.953	3.932
6.990	3.939
7.027	3.947
7.064	3.954
7.101	3.961
7.139	3.968
7.176	3.975
7.213	3.982
7.251	3.988
7.289	3.994
7.327	4.001
7.365	4.007
7.403	4.013
7.442	4.019
7.481	4.025
7.520	4.031
7.559	4.037
7.598	4.043
7.638	4.049
7.677	4.056
7.717	4.062
7.758	4.068
7.798	4.074
7.839	4.081
7.880	4.087
7.921	4.094
7.963	4.101
8.004	4.107
8.046	4.115
8.088	4.122
8.130	4.129
8.173	4.136
8.215	4.144
8.258	4.152
8.300	4.160
8.343	4.168
8.386	4.176
8.428	4.185
8.471	4.194
8.514	4.203
8.556	4.212
8.599	4.221
8.642	4.231
8.684	4.240
8.726	4.250
8.769	4.261
8.811	4.271
8.853	4.282
8.895	4.293
8.936	4.304
8.978	4.316
9.019	4.328
9.060	4.340
9.100	4.352
9.141	4.365
9.181	4.378
9.220	4.391
9.260	4.405
9.299	4.419
9.338	4.433
9.376	4.447
9.413	4.462
9.451	4.477
9.487	4.493
9.523	4.508
9.559	4.524
9.594	4.540
9.628	4.556
9.662	4.573
9.694	4.590
9.727	4.607
9.758	4.624
9.788	4.641
9.818	4.659
9.847	4.677
9.875	4.695
9.902	4.714
9.928	4.732
9.954	4.751
9.978	4.770
10.001	4.789
10.023	4.808
10.044	4.828
10.064	4.847
10.083	4.867
10.100	4.887
10.117	4.908
10.133	4.928
10.148	4.948
10.161	4.969
10.174	4.990
10.186	5.010
10.196	5.031
10.206	5.052
10.215	5.074
10.223	5.095
10.230	5.116
10.236	5.138
10.241	5.159
10.245	5.181
10.249	5.202
10.252	5.224
10.253	5.245
10.254	5.267
10.254	5.288
10.253	5.309
10.252	5.330
10.249	5.351
10.245	5.372
10.241	5.392
10.235	5.412
10.229	5.431
10.221	5.450
10.213	5.468
10.204	5.486
10.194	5.503
10.182	5.519
10.170	5.535
10.157	5.550
10.143	5.565
10.127	5.579
10.111	5.592
10.093	5.605
10.074	5.617
10.055	5.628
10.034	5.639
10.012	5.649
9.988	5.659
9.964	5.668
9.938	5.676
9.911	5.684
9.883	5.691
9.853	5.698
9.822	5.704
9.790	5.709
9.757	5.714
9.723	5.718
9.688	5.722
9.653	5.726
9.616	5.728
9.579	5.731
9.542	5.733
9.503	5.735
9.465	5.736
9.426	5.737
9.387	5.738
9.348	5.738
9.308	5.738
9.269	5.737
9.229	5.737
9.190	5.736
9.151	5.735
9.113	5.734
9.075	5.733
9.037	5.731
9.000	5.729
8.963	5.728
8.928	5.726
8.893	5.724
8.859	5.722
8.825	5.720
8.793	5.718
8.761	5.716
8.731	5.713
8.700	5.711
8.671	5.708
8.641	5.706
8.612	5.703
8.584	5.699
8.556	5.696
8.528	5.692
8.500	5.688
8.472	5.684
8.445	5.679
8.417	5.674
8.389	5.668
8.361	5.663
8.332	5.656
8.304	5.650
8.275	5.642
8.245	5.635
8.215	5.626
8.184	5.618
8.153	5.609
8.122	5.599
8.090	5.589
8.058	5.578
8.025	5.568
7.992	5.556
7.959	5.545
7.925	5.534
7.892	5.522
7.858	5.510
7.824	5.498
7.790	5.485
7.756	5.473
7.722	5.461
7.688	5.448
7.654	5.436
7.621	5.423
7.587	5.411
7.554	5.399
7.521	5.387
7.489	5.375
7.456	5.364
7.425	5.352
7.393	5.341
7.362	5.331
7.331	5.320
7.301	5.310
7.272	5.300
7.242	5.290
7.213	5.280
7.185	5.270
7.157	5.261
7.129	5.251
7.101	5.240
7.074	5.230
7.046	5.219
7.020	5.208
6.993	5.197
6.966	5.185
6.940	5.173
6.914	5.160
6.888	5.147
6.862	5.133
6.836	5.118
6.810	5.103
6.784	5.086
6.758	5.069
6.732	5.051
6.706	5.032
6.680	5.013
6.655	4.992
6.629	4.971
6.604	4.950
6.579	4.928
6.554	4.905
6.530	4.882
6.506	4.859
6.483	4.835
6.459	4.812
6.437	4.788
6.415	4.764
6.393	4.740
6.372	4.716
6.352	4.692
6.332	4.668
6.314	4.645
6.295	4.621
6.278	4.599
6.262	4.576
6.246	4.554
6.232	4.532
6.218	4.511
6.205	4.491
6.193	4.470
6.182	4.451
6.172	4.431
6.163	4.412
6.155	4.393
6.148	4.375
6.142	4.356
6.136	4.338
6.132	4.320
6.128	4.303
6.125	4.285
6.124	4.268
6.123	4.250
6.122	4.233
6.123	4.216
6.124	4.198
6.126	4.181
6.128	4.163
6.130	4.145
6.132	4.127
6.134	4.109
6.136	4.091
6.137	4.072
6.138	4.053
6.139	4.033
6.138	4.013
6.137	3.993
6.136	3.972
6.134	3.951
6.132	3.931
6.130	3.910
6.129	3.891
6.128	3.872
6.129	3.854
6.130	3.837
6.133	3.821
6.138	3.807
6.145	3.795
6.154	3.785
