X	Y
28.290	18.034
28.347	17.955
28.426	17.887
28.520	17.823
28.625	17.761
28.735	17.696
28.846	17.624
28.952	17.540
29.048	17.442
29.135	17.329
29.214	17.202
29.288	17.063
29.357	16.913
29.424	16.755
29.491	16.589
29.559	16.417
29.630	16.241
29.706	16.063
29.789	15.883
29.880	15.702
29.979	15.521
30.085	15.339
30.199	15.156
30.321	14.972
30.451	14.787
30.589	14.601
30.735	14.413
30.889	14.225
31.052	14.035
31.222	13.843
31.401	13.650
31.588	13.455
31.783	13.258
31.987	13.059
32.199	12.859
32.418	12.658
32.645	12.455
32.878	12.252
33.119	12.048
33.366	11.843
33.619	11.639
33.878	11.434
34.143	11.230
34.413	11.026
34.688	10.822
34.968	10.620
35.252	10.419
35.540	10.219
35.832	10.020
36.127	9.824
36.426	9.629
36.728	9.437
37.032	9.248
37.339	9.060
37.647	8.876
37.957	8.694
38.268	8.515
38.580	8.339
38.892	8.165
39.203	7.994
39.514	7.826
39.825	7.661
40.133	7.498
40.440	7.339
40.745	7.182
41.048	7.028
41.347	6.877
41.642	6.729
41.934	6.584
42.222	6.442
42.505	6.303
42.783	6.167
43.056	6.034
43.323	5.904
43.583	5.777
43.839	5.654
44.090	5.535
44.337	5.421
44.580	5.310
44.820	5.205
45.056	5.105
45.291	5.010
45.523	4.922
45.755	4.840
45.985	4.764
46.215	4.695
46.445	4.633
46.676	4.579
46.908	4.532
47.141	4.494
47.375	4.464
47.610	4.441
47.844	4.426
48.078	4.418
48.310	4.416
48.541	4.422
48.768	4.434
48.993	4.452
49.214	4.476
49.430	4.506
49.642	4.541
49.848	4.582
50.048	4.627
50.240	4.677
50.423	4.732
50.593	4.791
50.748	4.854
50.885	4.922
51.001	4.994
51.094	5.069
51.162	5.149
51.201	5.233
51.212	5.320
51.199	5.413
51.169	5.512
51.129	5.618
51.083	5.732
51.037	5.855
50.999	5.989
50.970	6.130
50.952	6.275
50.947	6.419
50.957	6.558
50.983	6.687
51.027	6.804
51.091	6.902
51.175	6.980
51.274	7.039
51.380	7.086
51.486	7.128
51.584	7.171
51.664	7.221
51.720	7.284
51.749	7.364
51.756	7.456
51.748	7.554
51.731	7.654
51.712	7.750
51.699	7.837
51.696	7.916
51.708	7.989
51.740	8.057
51.797	8.124
51.883	8.190
51.992	8.257
52.117	8.324
52.253	8.393
52.393	8.463
52.531	8.535
52.660	8.608
52.775	8.684
52.868	8.762
52.939	8.843
52.992	8.926
53.029	9.013
53.054	9.103
53.071	9.197
53.082	9.294
53.086	9.394
53.082	9.491
53.066	9.585
53.036	9.670
52.988	9.745
52.921	9.807
52.835	9.855
52.733	9.890
52.617	9.913
52.489	9.924
52.351	9.924
52.205	9.913
52.055	9.893
51.905	9.869
51.761	9.847
51.630	9.835
51.517	9.836
51.428	9.858
51.370	9.907
51.346	9.986
51.348	10.090
51.365	10.208
51.385	10.331
51.396	10.448
51.385	10.551
51.342	10.628
51.264	10.677
51.158	10.703
51.032	10.711
50.893	10.708
50.751	10.699
50.613	10.688
50.487	10.683
50.377	10.686
50.279	10.699
50.188	10.722
50.100	10.756
50.008	10.801
49.908	10.857
49.796	10.925
49.679	11.003
49.562	11.088
49.453	11.180
49.359	11.277
49.285	11.376
49.240	11.476
49.229	11.575
49.253	11.672
49.299	11.768
49.358	11.862
49.416	11.956
49.463	12.050
49.486	12.144
49.478	12.238
49.443	12.332
49.384	12.425
49.307	12.516
49.217	12.603
49.119	12.686
49.019	12.764
48.920	12.837
48.824	12.907
48.731	12.976
48.645	13.047
48.565	13.121
48.494	13.201
48.433	13.289
48.382	13.385
48.339	13.490
48.303	13.602
48.273	13.721
48.247	13.846
48.224	13.978
48.201	14.115
48.180	14.256
48.161	14.398
48.150	14.538
48.151	14.672
48.165	14.797
48.198	14.908
48.253	15.003
48.333	15.078
48.435	15.134
48.551	15.179
48.670	15.217
48.783	15.257
48.882	15.303
48.956	15.362
48.997	15.440
49.006	15.536
48.989	15.644
48.953	15.758
48.904	15.872
48.849	15.982
48.794	16.080
48.745	16.165
48.703	16.241
48.670	16.315
48.645	16.392
48.632	16.480
48.630	16.583
48.639	16.700
48.658	16.828
48.687	16.963
48.724	17.101
48.768	17.239
48.819	17.373
48.876	17.499
48.938	17.615
49.006	17.721
49.079	17.819
49.159	17.912
49.246	18.002
49.342	18.092
49.446	18.184
49.559	18.280
49.682	18.383
