X	Y
29.486	20.512
29.607	20.407
29.762	20.317
29.948	20.240
30.163	20.176
30.405	20.124
30.671	20.084
30.958	20.055
31.264	20.035
31.586	20.024
31.922	20.022
32.268	20.027
32.623	20.039
32.984	20.057
33.348	20.080
33.713	20.107
34.078	20.139
34.442	20.176
34.805	20.217
35.167	20.263
35.527	20.314
35.884	20.370
36.239	20.431
36.591	20.497
36.939	20.569
37.283	20.646
37.623	20.730
37.958	20.819
38.288	20.914
38.612	21.015
38.930	21.122
39.242	21.236
39.547	21.357
39.844	21.484
40.134	21.616
40.415	21.752
40.688	21.891
40.952	22.030
41.207	22.170
41.452	22.307
41.687	22.441
41.911	22.571
42.124	22.694
42.326	22.809
42.516	22.916
42.694	23.012
42.859	23.096
43.011	23.169
43.149	23.236
43.272	23.304
43.380	23.379
43.470	23.466
43.543	23.572
43.598	23.703
43.634	23.862
43.657	24.044
43.671	24.245
43.681	24.460
43.690	24.683
43.705	24.910
43.728	25.136
43.766	25.356
43.822	25.565
43.902	25.758
44.008	25.931
44.141	26.083
44.294	26.218
44.463	26.339
44.644	26.449
44.831	26.552
45.020	26.649
45.206	26.745
45.383	26.842
45.548	26.943
45.696	27.052
45.824	27.170
45.933	27.295
46.023	27.425
46.098	27.561
46.156	27.699
46.200	27.840
46.230	27.980
46.247	28.120
46.250	28.254
46.237	28.378
46.204	28.486
46.148	28.572
46.067	28.631
45.959	28.660
45.830	28.665
45.684	28.654
45.530	28.636
45.372	28.620
45.218	28.613
45.073	28.625
44.943	28.663
44.835	28.725
44.754	28.807
44.704	28.902
44.690	29.005
44.718	29.110
44.781	29.214
44.863	29.314
44.945	29.407
45.010	29.491
45.041	29.564
45.023	29.624
44.962	29.671
44.871	29.707
44.760	29.732
44.643	29.750
44.526	29.760
44.409	29.764
44.293	29.763
44.178	29.757
44.064	29.747
43.951	29.735
43.840	29.725
43.730	29.723
43.623	29.735
43.517	29.769
43.414	29.830
43.315	29.924
43.221	30.045
43.137	30.189
43.066	30.348
43.013	30.517
42.980	30.690
42.971	30.860
42.989	31.022
43.037	31.170
43.104	31.304
43.179	31.423
43.250	31.527
43.304	31.616
43.331	31.691
43.319	31.752
43.275	31.802
43.212	31.846
43.145	31.890
43.083	31.937
43.026	31.995
42.973	32.071
42.924	32.170
42.878	32.299
42.836	32.457
42.798	32.638
42.768	32.835
42.745	33.043
42.733	33.255
42.733	33.465
42.746	33.666
42.774	33.852
42.819	34.017
42.882	34.156
42.960	34.274
43.051	34.377
43.151	34.470
43.257	34.561
43.367	34.655
43.477	34.759
43.585	34.878
43.689	35.012
43.788	35.160
43.881	35.319
43.969	35.488
44.050	35.664
44.123	35.845
44.188	36.029
44.243	36.214
44.289	36.398
44.325	36.579
44.350	36.755
44.363	36.923
44.364	37.082
44.353	37.229
44.329	37.362
44.291	37.479
44.239	37.577
44.174	37.659
44.097	37.727
44.010	37.783
43.914	37.832
43.810	37.876
43.701	37.914
43.587	37.941
43.470	37.952
43.351	37.940
43.230	37.900
43.110	37.826
42.990	37.717
42.871	37.582
42.751	37.427
42.630	37.260
42.507	37.089
42.383	36.921
42.256	36.764
42.125	36.625
41.991	36.513
41.853	36.433
41.713	36.385
41.574	36.366
41.439	36.372
41.311	36.400
41.193	36.447
41.089	36.508
41.000	36.581
40.925	36.661
40.862	36.746
40.811	36.832
40.770	36.916
40.737	36.994
40.704	37.065
40.661	37.126
40.599	37.177
40.511	37.215
40.404	37.239
40.285	37.247
40.165	37.236
40.053	37.205
39.959	37.151
39.882	37.078
39.815	36.994
39.748	36.907
39.674	36.825
39.582	36.756
39.466	36.710
39.329	36.685
39.179	36.683
39.023	36.703
38.868	36.743
38.721	36.805
38.590	36.886
38.480	36.987
38.394	37.105
38.329	37.235
38.280	37.373
38.246	37.516
38.224	37.657
38.209	37.795
38.200	37.923
38.194	38.043
38.191	38.158
38.192	38.274
38.194	38.393
38.199	38.522
38.205	38.665
38.212	38.822
38.216	38.988
38.213	39.156
38.200	39.320
38.172	39.471
38.127	39.604
38.061	39.713
37.970	39.789
37.856	39.835
37.727	39.853
37.587	39.848
37.444	39.825
37.302	39.787
37.170	39.739
37.050	39.684
36.942	39.623
36.843	39.556
36.752	39.483
36.667	39.404
36.584	39.319
36.502	39.230
36.419	39.137
36.333	39.047
36.240	38.962
36.139	38.886
36.028	38.822
35.904	38.775
35.772	38.748
35.640	38.741
35.514	38.756
35.405	38.796
35.319	38.862
35.263	38.954
35.232	39.065
35.214	39.181
35.193	39.287
35.158	39.369
35.095	39.415
35.003	39.424
34.893	39.412
34.780	39.395
34.674	39.389
34.589	39.412
34.530	39.470
34.492	39.558
34.469	39.668
34.454	39.793
34.442	39.925
34.426	40.057
34.404	40.186
34.372	40.308
34.327	40.419
34.267	40.516
34.188	40.596
34.088	40.655
33.972	40.693
33.842	40.710
33.704	40.705
33.561	40.680
33.417	40.635
33.278	40.568
33.146	40.482
33.021	40.375
32.905	40.249
32.796	40.104
32.697	39.940
32.607	39.757
32.528	39.557
32.459	39.340
32.402	39.105
32.355	38.854
32.319	38.590
32.290	38.316
32.266	38.037
32.244	37.757
32.222	37.480
32.198	37.209
32.169	36.950
32.132	36.705
32.085	36.479
32.025	36.276
31.951	36.100
31.859	35.954
31.748	35.841
31.623	35.753
31.486	35.683
31.340	35.625
31.189	35.571
31.037	35.515
30.886	35.449
30.741	35.366
30.603	35.261
30.474	35.137
30.353	34.993
30.240	34.832
30.136	34.656
30.040	34.466
29.953	34.264
29.875	34.052
29.806	33.832
29.746	33.604
29.695	33.372
29.653	33.134
29.618	32.892
29.589	32.647
29.566	32.398
29.549	32.146
29.535	31.891
29.524	31.634
29.515	31.375
