X	Y
19.779	12.099
19.805	12.056
19.841	12.015
19.886	11.973
19.939	11.932
20.000	11.891
20.066	11.848
20.137	11.803
20.212	11.756
20.290	11.705
20.370	11.650
20.450	11.591
20.532	11.527
20.614	11.460
20.698	11.389
20.782	11.315
20.868	11.238
20.955	11.158
21.044	11.076
21.134	10.992
21.225	10.906
21.318	10.819
21.413	10.731
21.509	10.642
21.607	10.553
21.707	10.464
21.809	10.375
21.913	10.286
22.019	10.198
22.127	10.111
22.237	10.023
22.349	9.936
22.462	9.849
22.577	9.762
22.693	9.675
22.811	9.589
22.931	9.502
23.052	9.415
23.174	9.327
23.298	9.239
23.422	9.151
23.548	9.063
23.675	8.974
23.804	8.884
23.933	8.794
24.063	8.703
24.194	8.611
24.325	8.519
24.458	8.426
24.591	8.332
24.724	8.239
24.858	8.145
24.992	8.052
25.125	7.959
25.259	7.867
25.393	7.776
25.526	7.685
25.659	7.596
25.791	7.509
25.923	7.423
26.054	7.339
26.184	7.257
26.313	7.177
26.440	7.100
26.567	7.025
26.692	6.954
26.815	6.885
26.937	6.820
27.058	6.757
27.176	6.699
27.294	6.643
27.410	6.590
27.526	6.540
27.640	6.493
27.754	6.449
27.867	6.407
27.980	6.368
28.093	6.332
28.205	6.297
28.318	6.265
28.431	6.235
28.544	6.207
28.658	6.181
28.773	6.157
28.888	6.134
29.005	6.114
29.121	6.095
29.237	6.078
29.353	6.063
29.469	6.050
29.583	6.039
29.697	6.029
29.809	6.022
29.920	6.017
30.028	6.014
30.135	6.013
30.238	6.014
30.340	6.018
30.438	6.024
30.532	6.032
30.624	6.042
30.712	6.056
30.797	6.072
30.878	6.091
30.956	6.114
31.030	6.140
31.101	6.171
31.167	6.205
31.231	6.243
31.290	6.285
31.345	6.332
31.397	6.384
31.444	6.440
31.488	6.501
31.527	6.566
31.562	6.637
31.593	6.712
31.619	6.792
31.641	6.876
31.658	6.966
31.671	7.060
31.679	7.159
31.684	7.262
31.684	7.367
31.680	7.475
31.672	7.584
31.661	7.694
31.646	7.805
31.628	7.916
31.607	8.026
31.583	8.134
31.556	8.240
31.527	8.343
31.495	8.443
31.461	8.539
31.425	8.631
31.387	8.719
31.348	8.805
31.308	8.887
31.268	8.967
31.226	9.045
31.185	9.121
31.144	9.196
31.103	9.269
31.064	9.342
31.025	9.414
30.988	9.486
30.952	9.558
30.916	9.630
30.881	9.701
30.846	9.773
30.809	9.844
30.772	9.916
30.733	9.987
30.692	10.058
30.649	10.129
30.603	10.200
30.554	10.271
30.502	10.341
30.446	10.411
30.388	10.480
30.328	10.547
30.265	10.612
30.199	10.676
30.132	10.737
30.063	10.795
29.992	10.850
29.919	10.902
29.845	10.950
29.769	10.994
29.692	11.035
29.613	11.073
29.531	11.109
29.447	11.142
29.360	11.174
29.270	11.205
29.177	11.235
29.080	11.264
28.978	11.294
28.873	11.324
28.763	11.356
28.648	11.389
28.528	11.423
28.403	11.460
28.273	11.498
28.139	11.537
28.001	11.578
27.858	11.621
27.712	11.665
27.562	11.710
27.408	11.756
27.251	11.803
27.091	11.851
26.928	11.900
26.762	11.950
26.594	12.001
26.423	12.052
26.251	12.104
26.076	12.157
25.899	12.210
25.721	12.263
25.542	12.316
25.361	12.370
25.180	12.424
24.997	12.477
24.814	12.531
24.632	12.584
24.449	12.637
24.268	12.689
24.087	12.740
23.908	12.789
23.731	12.838
23.556	12.885
23.383	12.931
23.213	12.975
23.047	13.017
22.884	13.056
22.725	13.094
22.570	13.129
22.421	13.161
22.276	13.191
22.136	13.217
22.002	13.240
21.875	13.260
21.754	13.276
21.639	13.289
21.532	13.298
21.431	13.303
21.336	13.305
21.246	13.304
21.161	13.300
21.079	13.294
21.000	13.286
20.924	13.275
20.850	13.263
20.778	13.250
20.706	13.235
20.634	13.220
20.562	13.203
20.490	13.186
20.420	13.169
20.350	13.151
20.282	13.133
20.215	13.114
20.151	13.096
20.089	13.077
20.030	13.058
19.974	13.039
19.923	13.019
19.877	12.996
19.837	12.971
19.805	12.941
19.781	12.905
19.767	12.864
19.760	12.819
19.759	12.770
19.763	12.719
19.769	12.669
19.776	12.620
19.782	12.574
19.786	12.532
19.787	12.492
19.787	12.453
19.784	12.414
19.779	12.373
19.771	12.329
19.764	12.284
19.759	12.237
19.758	12.191
19.764	12.144
19.779	12.099
