X	Y
19.807	13.149
19.860	13.112
19.924	13.083
19.998	13.061
20.082	13.045
20.176	13.034
20.278	13.028
20.389	13.026
20.508	13.026
20.634	13.029
20.768	13.033
20.909	13.037
21.056	13.042
21.209	13.045
21.368	13.046
21.532	13.045
21.701	13.040
21.874	13.032
22.051	13.018
22.231	13.001
22.415	12.981
22.601	12.957
22.791	12.929
22.982	12.899
23.175	12.866
23.369	12.830
23.564	12.793
23.760	12.753
23.956	12.712
24.152	12.669
24.348	12.625
24.543	12.580
24.736	12.535
24.928	12.489
25.118	12.443
25.306	12.397
25.491	12.351
25.673	12.306
25.851	12.262
26.026	12.219
26.197	12.177
26.363	12.137
26.524	12.098
26.680	12.062
26.831	12.028
26.977	11.996
27.119	11.967
27.256	11.940
27.389	11.916
27.519	11.894
27.644	11.875
27.766	11.860
27.885	11.847
28.001	11.837
28.113	11.831
28.224	11.828
28.331	11.828
28.437	11.832
28.541	11.839
28.643	11.850
28.743	11.865
28.841	11.884
28.936	11.908
29.028	11.935
29.116	11.967
29.199	12.004
29.277	12.045
29.349	12.092
29.414	12.143
29.472	12.201
29.522	12.263
29.564	12.331
29.596	12.405
29.621	12.484
29.637	12.567
29.646	12.654
29.648	12.744
29.645	12.836
29.636	12.930
29.622	13.025
29.604	13.121
29.582	13.216
29.557	13.310
29.529	13.402
29.499	13.492
29.468	13.580
29.434	13.666
29.398	13.751
29.360	13.834
29.319	13.916
29.275	13.997
29.229	14.077
29.181	14.157
29.129	14.236
29.075	14.316
29.017	14.395
28.957	14.475
28.893	14.555
28.827	14.635
28.758	14.715
28.688	14.795
28.615	14.874
28.541	14.952
28.466	15.029
28.391	15.104
28.315	15.178
28.238	15.250
28.162	15.319
28.087	15.386
28.013	15.450
27.939	15.511
27.867	15.568
27.796	15.623
27.725	15.676
27.653	15.726
27.581	15.774
27.506	15.820
27.429	15.866
27.349	15.910
27.265	15.953
27.177	15.997
27.083	16.040
26.985	16.083
26.880	16.127
26.768	16.172
26.651	16.217
26.529	16.263
26.403	16.309
26.272	16.355
26.137	16.400
25.999	16.446
25.859	16.491
25.717	16.536
25.573	16.579
25.428	16.622
25.283	16.664
25.138	16.705
24.994	16.744
24.851	16.782
24.709	16.818
24.570	16.852
24.433	16.884
24.300	16.914
24.170	16.942
24.043	16.968
23.919	16.991
23.798	17.012
23.678	17.031
23.560	17.048
23.443	17.063
23.327	17.075
23.211	17.086
23.095	17.094
22.978	17.100
22.861	17.104
22.742	17.106
22.621	17.106
22.499	17.104
22.374	17.101
22.246	17.095
22.116	17.087
21.984	17.076
21.851	17.064
21.718	17.050
21.586	17.034
21.454	17.015
21.325	16.994
21.198	16.971
21.074	16.946
20.955	16.918
20.840	16.888
20.731	16.855
20.628	16.820
20.532	16.782
20.443	16.742
20.363	16.699
20.292	16.654
20.229	16.606
20.174	16.554
20.126	16.499
20.085	16.440
20.050	16.377
20.022	16.310
19.999	16.238
19.982	16.161
19.969	16.080
19.960	15.993
19.955	15.902
19.953	15.807
19.952	15.710
19.952	15.611
19.953	15.511
19.954	15.411
19.954	15.312
19.951	15.214
19.947	15.118
19.938	15.026
19.926	14.937
19.909	14.853
19.887	14.774
19.862	14.700
19.834	14.629
19.805	14.560
19.775	14.494
19.746	14.429
19.720	14.365
19.696	14.300
19.677	14.235
19.663	14.169
19.655	14.102
19.651	14.034
19.651	13.967
19.653	13.903
19.657	13.842
19.662	13.786
19.666	13.736
19.669	13.693
19.670	13.656
19.669	13.624
19.669	13.592
19.668	13.557
19.669	13.515
19.672	13.467
19.678	13.413
19.690	13.357
19.707	13.300
19.731	13.245
19.764	13.194
19.807	13.149
