X	Y
8.354	5.933
8.359	5.925
8.365	5.917
8.373	5.909
8.382	5.901
8.393	5.892
8.405	5.883
8.418	5.874
8.432	5.864
8.448	5.854
8.465	5.844
8.482	5.834
8.501	5.823
8.521	5.812
8.541	5.801
8.563	5.790
8.585	5.778
8.608	5.767
8.631	5.755
8.655	5.743
8.680	5.731
8.705	5.719
8.731	5.707
8.757	5.694
8.783	5.681
8.810	5.669
8.836	5.656
8.863	5.643
8.891	5.630
8.918	5.617
8.945	5.604
8.972	5.591
9.000	5.578
9.027	5.565
9.055	5.551
9.082	5.538
9.110	5.525
9.137	5.511
9.165	5.498
9.193	5.485
9.221	5.471
9.249	5.458
9.277	5.444
9.305	5.431
9.334	5.417
9.362	5.404
9.391	5.390
9.420	5.376
9.449	5.363
9.479	5.349
9.508	5.336
9.538	5.322
9.568	5.309
9.598	5.295
9.628	5.282
9.659	5.268
9.689	5.255
9.721	5.241
9.752	5.228
9.783	5.215
9.815	5.201
9.848	5.188
9.880	5.175
9.913	5.162
9.946	5.148
9.979	5.135
10.013	5.122
10.047	5.109
10.082	5.096
10.116	5.083
10.152	5.070
10.187	5.058
10.223	5.045
10.259	5.032
10.296	5.020
10.333	5.007
10.371	4.995
10.408	4.983
10.446	4.970
10.485	4.958
10.523	4.946
10.562	4.934
10.601	4.922
10.641	4.910
10.680	4.898
10.720	4.887
10.760	4.875
10.800	4.863
10.841	4.852
10.881	4.841
10.922	4.829
10.962	4.818
11.003	4.807
11.044	4.796
11.085	4.785
11.126	4.774
11.167	4.763
11.208	4.752
11.249	4.742
11.290	4.731
11.331	4.720
11.372	4.710
11.412	4.700
11.453	4.689
11.494	4.679
11.534	4.669
11.574	4.659
11.615	4.649
11.655	4.639
11.694	4.630
11.734	4.620
11.773	4.611
11.812	4.601
11.851	4.592
11.890	4.582
11.928	4.573
11.966	4.564
12.004	4.555
12.041	4.546
12.078	4.537
12.115	4.529
12.151	4.520
12.187	4.511
12.223	4.503
12.258	4.495
12.292	4.486
12.327	4.478
12.360	4.470
12.393	4.462
12.426	4.454
12.459	4.447
12.491	4.439
12.523	4.432
12.554	4.424
12.585	4.417
12.616	4.410
12.646	4.403
12.676	4.396
12.706	4.389
12.736	4.383
12.765	4.376
12.795	4.370
12.824	4.364
12.852	4.358
12.881	4.352
12.910	4.347
12.938	4.341
12.966	4.336
12.995	4.331
13.023	4.326
13.051	4.321
13.079	4.317
13.107	4.312
13.135	4.308
13.163	4.304
13.190	4.301
13.218	4.297
13.246	4.294
13.275	4.291
13.303	4.288
13.331	4.285
13.359	4.283
13.388	4.281
13.417	4.279
13.445	4.277
13.474	4.276
13.504	4.275
13.533	4.274
13.562	4.273
13.591	4.273
13.621	4.273
13.650	4.273
13.679	4.273
13.708	4.274
13.737	4.275
13.766	4.276
13.794	4.278
13.822	4.280
13.850	4.282
13.878	4.285
13.905	4.288
13.932	4.291
13.958	4.295
13.983	4.299
14.009	4.303
14.033	4.308
14.057	4.313
14.081	4.318
14.103	4.324
14.125	4.330
14.146	4.337
14.167	4.344
14.186	4.351
14.205	4.359
14.222	4.367
14.239	4.375
14.255	4.384
14.269	4.394
14.283	4.403
14.296	4.414
14.307	4.424
14.318	4.435
14.327	4.447
14.336	4.459
14.344	4.472
14.350	4.485
14.356	4.498
14.361	4.512
14.364	4.527
14.367	4.542
14.370	4.557
14.371	4.573
14.371	4.590
14.371	4.607
14.369	4.625
14.367	4.643
14.364	4.662
14.361	4.682
14.356	4.701
14.351	4.722
14.345	4.743
14.339	4.764
14.331	4.786
14.324	4.808
14.315	4.831
14.306	4.854
14.297	4.877
14.286	4.900
14.276	4.924
14.265	4.947
14.253	4.971
14.241	4.995
14.228	5.019
14.215	5.043
14.202	5.066
14.188	5.090
14.174	5.114
14.160	5.137
14.146	5.160
14.131	5.184
14.116	5.206
14.100	5.229
14.085	5.251
14.069	5.273
14.054	5.294
14.038	5.315
14.022	5.335
14.006	5.355
13.990	5.375
13.974	5.393
13.958	5.412
13.941	5.429
13.925	5.446
13.909	5.462
13.893	5.478
13.876	5.493
13.860	5.508
13.843	5.522
13.826	5.536
13.809	5.549
13.792	5.562
13.775	5.575
13.757	5.587
13.739	5.598
13.721	5.610
13.702	5.621
13.683	5.632
13.664	5.642
13.645	5.652
13.624	5.662
13.604	5.672
13.583	5.682
13.562	5.691
13.540	5.700
13.517	5.710
13.494	5.719
13.471	5.728
13.447	5.736
13.422	5.745
13.397	5.754
13.371	5.763
13.344	5.772
13.317	5.781
13.289	5.790
13.261	5.798
13.232	5.807
13.203	5.816
13.174	5.824
13.144	5.833
13.113	5.842
13.082	5.850
13.051	5.859
13.020	5.867
12.988	5.875
12.956	5.884
12.923	5.892
12.891	5.900
12.858	5.908
12.825	5.916
12.792	5.924
12.759	5.931
12.726	5.939
12.692	5.947
12.659	5.954
12.626	5.961
12.592	5.968
12.559	5.975
12.526	5.982
12.492	5.989
12.459	5.995
12.426	6.001
12.394	6.008
12.361	6.014
12.328	6.019
12.296	6.025
12.264	6.031
12.233	6.036
12.202	6.041
12.171	6.046
12.140	6.051
12.110	6.055
12.080	6.059
12.051	6.063
12.022	6.067
11.993	6.071
11.965	6.074
11.937	6.078
11.910	6.081
11.883	6.084
11.856	6.087
11.829	6.090
11.803	6.092
11.778	6.095
11.752	6.097
11.727	6.100
11.702	6.102
11.677	6.105
11.653	6.107
11.629	6.110
11.605	6.112
11.581	6.114
11.557	6.117
11.534	6.119
11.510	6.122
11.487	6.124
11.464	6.127
11.442	6.130
11.419	6.132
11.396	6.135
11.374	6.138
11.352	6.142
11.329	6.145
11.307	6.149
11.285	6.152
11.263	6.156
11.241	6.160
11.218	6.165
11.196	6.169
11.174	6.174
11.152	6.178
11.130	6.183
11.108	6.188
11.086	6.194
11.064	6.199
11.042	6.204
11.020	6.210
10.998	6.216
10.976	6.221
10.953	6.227
10.931	6.233
10.909	6.239
10.886	6.245
10.864	6.252
10.841	6.258
10.819	6.264
10.796	6.271
10.773	6.277
10.750	6.284
10.727	6.290
10.704	6.297
10.681	6.303
10.657	6.310
10.634	6.316
10.610	6.323
10.587	6.329
10.563	6.336
10.539	6.342
10.514	6.349
10.490	6.355
10.466	6.362
10.441	6.368
10.417	6.375
10.392	6.381
10.367	6.387
10.343	6.394
10.318	6.400
10.293	6.406
10.268	6.412
10.243	6.418
10.218	6.424
10.193	6.430
10.168	6.436
10.143	6.442
10.118	6.448
10.093	6.454
10.068	6.459
10.043	6.465
10.018	6.470
9.993	6.476
9.968	6.481
9.943	6.486
9.919	6.491
9.894	6.496
9.870	6.501
9.845	6.506
9.821	6.510
9.797	6.515
9.772	6.520
9.748	6.524
9.725	6.528
9.701	6.532
9.677	6.536
9.654	6.540
9.630	6.543
9.607	6.547
9.584	6.550
9.561	6.553
9.538	6.556
9.516	6.558
9.493	6.560
9.471	6.563
9.448	6.564
9.426	6.566
9.404	6.567
9.382	6.568
9.361	6.569
9.339	6.569
9.318	6.569
9.297	6.568
9.275	6.568
9.255	6.567
9.234	6.565
9.213	6.563
9.193	6.561
9.172	6.559
9.152	6.555
9.132	6.552
9.113	6.548
9.093	6.544
9.074	6.539
9.054	6.534
9.035	6.529
9.016	6.523
8.997	6.517
8.979	6.511
8.960	6.505
8.942	6.498
8.924	6.491
8.906	6.484
8.888	6.477
8.870	6.470
8.852	6.462
8.835	6.455
8.818	6.447
8.801	6.439
8.784	6.432
8.767	6.424
8.750	6.416
8.734	6.409
8.717	6.401
8.701	6.393
8.685	6.386
8.669	6.378
8.653	6.371
8.637	6.364
8.622	6.357
8.607	6.349
8.592	6.342
8.578	6.335
8.563	6.328
8.549	6.321
8.536	6.314
8.522	6.307
8.509	6.300
8.497	6.293
8.485	6.286
8.473	6.278
8.462	6.271
8.451	6.264
8.441	6.256
8.431	6.249
8.422	6.241
8.413	6.234
8.405	6.226
8.397	6.218
8.390	6.210
8.383	6.202
8.377	6.193
8.372	6.185
8.367	6.176
8.363	6.167
8.360	6.158
8.357	6.148
8.355	6.138
8.353	6.128
8.352	6.118
8.351	6.107
8.351	6.097
8.351	6.086
8.352	6.075
8.352	6.065
8.353	6.054
8.354	6.044
8.354	6.034
8.354	6.024
8.354	6.014
8.354	6.005
8.353	5.997
8.352	5.989
8.351	5.981
8.349	5.974
8.348	5.967
8.347	5.961
8.347	5.954
8.348	5.947
8.350	5.940
8.354	5.933
