X	Y
8.449	6.229
8.460	6.222
8.472	6.215
8.485	6.208
8.499	6.202
8.515	6.196
8.531	6.190
8.548	6.184
8.566	6.179
8.584	6.174
8.604	6.170
8.625	6.165
8.646	6.161
8.668	6.158
8.691	6.154
8.714	6.151
8.739	6.148
8.764	6.145
8.789	6.143
8.815	6.140
8.842	6.138
8.870	6.137
8.898	6.135
8.926	6.134
8.955	6.132
8.984	6.131
9.014	6.131
9.044	6.130
9.075	6.130
9.106	6.129
9.137	6.129
9.169	6.129
9.201	6.129
9.233	6.130
9.265	6.130
9.297	6.131
9.330	6.132
9.363	6.132
9.396	6.133
9.429	6.134
9.462	6.136
9.495	6.137
9.528	6.138
9.561	6.140
9.594	6.141
9.628	6.143
9.661	6.144
9.694	6.146
9.728	6.148
9.761	6.150
9.795	6.152
9.828	6.154
9.862	6.156
9.895	6.159
9.929	6.161
9.962	6.164
9.996	6.166
10.029	6.169
10.063	6.171
10.096	6.174
10.129	6.177
10.163	6.180
10.196	6.183
10.229	6.186
10.263	6.189
10.296	6.192
10.329	6.195
10.362	6.198
10.395	6.201
10.428	6.205
10.461	6.208
10.494	6.211
10.527	6.215
10.559	6.218
10.592	6.222
10.624	6.225
10.657	6.229
10.689	6.233
10.721	6.236
10.753	6.240
10.785	6.244
10.817	6.248
10.848	6.252
10.880	6.255
10.911	6.259
10.943	6.263
10.974	6.267
11.005	6.271
11.035	6.275
11.066	6.279
11.097	6.283
11.127	6.287
11.157	6.291
11.187	6.295
11.217	6.299
11.247	6.303
11.276	6.307
11.306	6.312
11.335	6.316
11.364	6.320
11.393	6.324
11.422	6.328
11.451	6.333
11.480	6.337
11.508	6.341
11.537	6.345
11.565	6.350
11.594	6.354
11.622	6.358
11.650	6.363
11.678	6.367
11.706	6.371
11.734	6.376
11.762	6.380
11.790	6.384
11.818	6.389
11.846	6.393
11.873	6.398
11.901	6.402
11.929	6.407
11.956	6.411
11.984	6.416
12.011	6.420
12.039	6.425
12.066	6.430
12.094	6.434
12.121	6.439
12.148	6.443
12.176	6.448
12.203	6.453
12.231	6.457
12.258	6.462
12.286	6.467
12.313	6.472
12.341	6.476
12.368	6.481
12.396	6.486
12.423	6.491
12.450	6.496
12.478	6.501
12.505	6.506
12.532	6.511
12.559	6.516
12.586	6.522
12.613	6.527
12.640	6.533
12.666	6.539
12.692	6.545
12.718	6.551
12.744	6.558
12.770	6.565
12.795	6.571
12.821	6.579
12.845	6.586
12.870	6.594
12.894	6.601
12.918	6.610
12.942	6.618
12.965	6.627
