X	Y
33.699	27.466
33.731	27.354
33.773	27.241
33.822	27.125
33.879	27.009
33.943	26.891
34.013	26.772
34.089	26.653
34.169	26.533
34.255	26.414
34.344	26.296
34.436	26.178
34.531	26.061
34.628	25.946
34.726	25.833
34.826	25.723
34.925	25.614
35.025	25.508
35.126	25.405
35.227	25.303
35.328	25.202
35.430	25.103
35.533	25.004
35.636	24.907
35.740	24.810
35.846	24.713
35.952	24.616
36.059	24.518
36.167	24.420
36.277	24.321
36.388	24.221
36.500	24.119
36.613	24.016
36.728	23.911
36.845	23.805
36.963	23.697
37.083	23.588
37.204	23.478
37.327	23.366
37.451	23.254
37.577	23.140
37.705	23.026
37.835	22.911
37.967	22.795
38.100	22.678
38.236	22.561
38.373	22.443
38.512	22.324
38.654	22.206
38.797	22.087
38.942	21.967
39.090	21.848
39.239	21.729
39.390	21.610
39.543	21.491
39.698	21.373
39.853	21.255
40.010	21.138
40.169	21.022
40.328	20.907
40.488	20.793
40.649	20.681
40.811	20.570
40.973	20.460
41.136	20.352
41.299	20.247
41.463	20.143
41.626	20.041
41.789	19.941
41.952	19.844
42.115	19.750
42.278	19.658
42.440	19.569
42.601	19.483
42.760	19.400
42.918	19.320
43.075	19.243
43.228	19.169
43.380	19.098
43.528	19.030
43.674	18.966
43.816	18.905
43.954	18.847
44.088	18.793
44.217	18.742
44.342	18.695
44.462	18.651
44.577	18.612
44.685	18.576
44.789	18.544
44.887	18.517
44.981	18.496
45.070	18.481
45.156	18.473
45.239	18.472
45.319	18.480
45.397	18.498
45.473	18.525
45.548	18.562
45.622	18.610
45.695	18.666
45.767	18.732
45.838	18.805
45.908	18.886
45.978	18.973
46.048	19.067
46.117	19.166
46.186	19.270
46.255	19.377
46.324	19.489
46.393	19.603
46.462	19.720
46.530	19.840
46.597	19.962
46.664	20.086
46.729	20.213
46.793	20.341
46.855	20.472
46.916	20.604
46.974	20.738
47.029	20.873
47.082	21.009
47.132	21.147
47.179	21.285
47.222	21.424
47.261	21.564
47.297	21.704
47.330	21.844
47.360	21.983
47.386	22.122
47.410	22.259
47.432	22.395
47.451	22.528
47.468	22.660
47.483	22.788
47.497	22.913
47.509	23.035
47.520	23.153
47.530	23.267
47.539	23.376
47.547	23.481
47.554	23.582
47.561	23.682
47.566	23.780
47.571	23.879
47.574	23.979
47.576	24.080
47.576	24.186
47.575	24.295
47.572	24.410
47.568	24.532
47.562	24.660
47.554	24.796
47.546	24.937
47.535	25.082
47.524	25.232
47.513	25.384
47.500	25.539
47.488	25.694
47.475	25.850
47.462	26.005
47.449	26.158
47.437	26.309
47.425	26.457
47.414	26.600
47.405	26.738
47.396	26.870
47.389	26.996
47.382	27.115
47.375	27.229
47.369	27.337
47.361	27.442
47.352	27.544
47.341	27.642
47.328	27.738
47.311	27.833
47.292	27.927
47.268	28.021
47.240	28.115
47.207	28.210
47.170	28.304
47.129	28.398
47.084	28.491
47.036	28.582
46.985	28.671
46.931	28.757
46.875	28.840
46.817	28.920
46.756	28.996
46.694	29.067
46.629	29.133
46.562	29.196
46.490	29.254
46.414	29.308
46.333	29.358
46.245	29.404
46.150	29.447
46.048	29.487
45.937	29.523
45.817	29.556
45.687	29.586
45.548	29.613
45.400	29.638
45.244	29.660
45.082	29.680
44.913	29.697
44.740	29.713
44.561	29.726
44.379	29.738
44.193	29.748
44.005	29.757
43.816	29.765
43.626	29.771
43.436	29.777
43.247	29.781
43.059	29.785
42.874	29.789
42.692	29.792
42.513	29.795
42.340	29.798
42.170	29.801
42.003	29.803
41.840	29.806
41.680	29.808
41.521	29.810
41.365	29.811
41.209	29.812
41.054	29.813
40.900	29.813
40.745	29.813
40.589	29.812
40.433	29.810
40.274	29.808
40.114	29.805
39.951	29.801
39.785	29.796
39.615	29.791
39.442	29.784
39.265	29.777
39.086	29.770
38.905	29.761
38.721	29.753
38.536	29.744
38.349	29.735
38.161	29.726
37.973	29.717
37.785	29.708
37.596	29.700
37.408	29.692
37.221	29.685
37.034	29.678
36.850	29.672
36.667	29.667
36.486	29.663
36.308	29.660
36.132	29.658
35.960	29.657
35.792	29.658
35.628	29.660
35.467	29.663
35.312	29.667
35.161	29.671
35.015	29.676
34.875	29.682
34.741	29.688
34.613	29.695
34.492	29.701
34.377	29.708
34.270	29.714
34.170	29.720
34.078	29.726
33.994	29.731
33.919	29.733
33.853	29.731
33.796	29.722
33.749	29.704
33.712	29.676
33.686	29.634
33.671	29.580
33.663	29.515
33.662	29.442
33.667	29.362
33.675	29.279
33.685	29.195
33.695	29.111
33.703	29.030
33.710	28.952
33.714	28.877
33.716	28.803
33.716	28.730
33.714	28.657
33.710	28.583
33.704	28.507
33.695	28.428
33.685	28.346
33.674	28.260
33.664	28.171
33.656	28.079
33.650	27.984
33.648	27.886
33.650	27.785
33.659	27.681
33.675	27.575
33.699	27.466
