X	Y
33.596	29.658
33.627	29.585
33.667	29.511
33.717	29.435
33.777	29.360
33.845	29.285
33.923	29.212
34.009	29.142
34.104	29.074
34.208	29.011
34.320	28.953
34.440	28.900
34.568	28.854
34.704	28.815
34.847	28.782
34.998	28.755
35.154	28.735
35.316	28.720
35.485	28.710
35.658	28.705
35.835	28.704
36.017	28.708
36.203	28.715
36.392	28.726
36.584	28.739
36.779	28.756
36.975	28.774
37.173	28.795
37.372	28.817
37.572	28.841
37.772	28.865
37.971	28.890
38.170	28.915
38.368	28.941
38.565	28.966
38.761	28.992
38.955	29.019
39.147	29.046
39.337	29.074
39.525	29.104
39.711	29.135
39.894	29.167
40.074	29.201
40.252	29.237
40.426	29.275
40.597	29.316
40.765	29.358
40.929	29.404
41.089	29.452
41.245	29.503
41.397	29.557
41.544	29.615
41.686	29.676
41.824	29.741
41.958	29.809
42.087	29.881
42.212	29.955
42.334	30.032
42.453	30.112
42.568	30.194
42.680	30.279
42.790	30.365
42.898	30.453
43.004	30.543
43.108	30.634
43.210	30.727
43.311	30.820
43.412	30.914
43.511	31.009
43.610	31.104
43.708	31.200
43.805	31.297
43.900	31.395
43.993	31.494
44.084	31.594
44.173	31.695
44.259	31.798
44.342	31.903
44.422	32.009
44.498	32.118
44.571	32.228
44.639	32.340
44.703	32.455
44.762	32.572
44.816	32.692
44.866	32.814
44.910	32.938
44.950	33.065
44.985	33.193
45.014	33.324
45.039	33.456
45.059	33.591
45.074	33.727
45.084	33.865
45.089	34.005
45.089	34.146
45.084	34.288
45.074	34.432
45.058	34.578
45.038	34.724
45.013	34.872
44.984	35.020
44.950	35.169
44.912	35.318
44.870	35.468
44.825	35.618
44.776	35.767
44.724	35.916
44.669	36.065
44.611	36.213
44.551	36.360
44.488	36.506
44.423	36.651
44.357	36.794
44.288	36.936
44.219	37.076
44.148	37.214
44.076	37.350
44.003	37.484
43.931	37.617
43.858	37.748
43.785	37.877
43.713	38.004
43.641	38.130
43.571	38.254
43.501	38.377
43.434	38.499
43.368	38.619
43.304	38.738
43.243	38.855
43.185	38.971
43.129	39.086
43.077	39.200
43.027	39.313
42.979	39.426
42.934	39.539
42.890	39.651
42.847	39.765
42.805	39.878
42.764	39.993
42.723	40.109
42.682	40.227
42.641	40.346
42.598	40.468
42.555	40.592
42.510	40.719
42.463	40.848
42.414	40.978
42.362	41.109
42.308	41.239
42.249	41.367
42.187	41.493
42.120	41.615
42.049	41.732
41.973	41.844
41.891	41.948
41.803	42.046
41.708	42.134
41.607	42.212
41.499	42.280
41.383	42.337
41.260	42.381
41.132	42.415
40.999	42.439
40.862	42.452
40.723	42.457
40.582	42.453
40.442	42.441
40.302	42.422
40.163	42.396
40.028	42.363
39.897	42.326
39.772	42.283
39.652	42.236
39.540	42.185
39.436	42.130
39.338	42.073
39.247	42.013
39.161	41.949
39.079	41.884
39.000	41.816
38.922	41.746
38.846	41.673
38.769	41.599
38.690	41.523
38.609	41.446
38.525	41.368
38.436	41.288
38.343	41.207
38.247	41.124
38.147	41.040
38.044	40.955
37.939	40.867
37.831	40.779
37.722	40.688
37.612	40.595
37.501	40.501
37.389	40.404
37.277	40.305
37.166	40.203
37.055	40.100
36.946	39.993
36.838	39.885
36.731	39.773
36.627	39.660
36.525	39.544
36.424	39.426
36.325	39.306
36.228	39.185
36.133	39.062
36.039	38.938
35.948	38.813
35.858	38.687
35.770	38.560
35.684	38.433
35.600	38.306
35.517	38.179
35.437	38.051
35.358	37.924
35.281	37.798
35.206	37.672
35.133	37.546
35.062	37.421
34.993	37.295
34.926	37.169
34.862	37.043
34.799	36.916
34.738	36.787
34.680	36.658
34.623	36.528
34.569	36.395
34.518	36.261
34.468	36.125
34.422	35.987
34.377	35.847
34.335	35.703
34.295	35.557
34.258	35.409
34.223	35.258
34.189	35.106
34.157	34.951
34.127	34.795
34.098	34.638
34.071	34.479
34.044	34.320
34.018	34.160
33.993	34.000
33.968	33.839
33.944	33.678
33.919	33.518
33.895	33.358
33.870	33.198
33.845	33.040
33.820	32.882
33.794	32.727
33.767	32.573
33.741	32.422
33.715	32.275
33.689	32.131
33.664	31.992
33.641	31.859
33.618	31.731
33.597	31.609
33.578	31.495
33.562	31.387
33.547	31.289
33.535	31.198
33.526	31.118
33.520	31.046
33.517	30.982
33.516	30.923
33.517	30.867
33.520	30.811
33.524	30.755
33.530	30.695
33.536	30.630
33.542	30.563
33.548	30.492
33.554	30.420
33.558	30.346
33.561	30.273
33.562	30.201
33.561	30.131
33.557	30.063
33.554	29.996
33.553	29.930
33.555	29.863
33.561	29.796
33.575	29.728
33.596	29.658
