X	Y
17.886	8.354
17.883	8.306
17.882	8.257
17.882	8.208
17.883	8.159
17.887	8.110
17.893	8.060
17.902	8.010
17.913	7.959
17.927	7.909
17.945	7.857
17.966	7.806
17.990	7.754
18.019	7.702
18.052	7.649
18.090	7.596
18.131	7.542
18.176	7.488
18.225	7.434
18.278	7.379
18.333	7.325
18.392	7.270
18.453	7.215
18.518	7.159
18.584	7.104
18.653	7.049
18.723	6.993
18.796	6.938
18.870	6.883
18.945	6.828
19.021	6.773
19.098	6.718
19.176	6.664
19.255	6.610
19.333	6.556
19.412	6.502
19.491	6.449
19.569	6.397
19.647	6.344
19.724	6.292
19.801	6.241
19.878	6.190
19.955	6.139
20.032	6.088
20.108	6.038
20.185	5.988
20.261	5.938
20.337	5.888
20.413	5.838
20.490	5.789
20.566	5.739
20.642	5.690
20.718	5.641
20.795	5.591
20.871	5.542
20.948	5.493
21.025	5.443
21.102	5.394
21.180	5.344
21.258	5.294
21.336	5.244
21.414	5.194
21.493	5.144
21.572	5.094
21.652	5.043
21.731	4.993
21.812	4.942
21.892	4.892
21.973	4.842
22.054	4.791
22.136	4.741
22.218	4.692
22.300	4.642
22.383	4.593
22.466	4.544
22.549	4.495
22.633	4.447
22.717	4.399
22.802	4.352
22.887	4.305
22.972	4.259
23.057	4.214
23.143	4.169
23.230	4.125
23.316	4.081
23.403	4.038
23.491	3.997
23.578	3.955
23.666	3.915
23.755	3.876
23.843	3.837
23.932	3.799
24.021	3.762
24.110	3.725
24.199	3.689
24.288	3.654
24.377	3.620
24.467	3.586
24.556	3.552
24.645	3.520
24.734	3.488
24.823	3.456
24.912	3.425
25.001	3.395
25.089	3.365
25.178	3.336
25.265	3.307
25.353	3.278
25.440	3.250
25.527	3.223
25.614	3.196
25.700	3.169
25.785	3.143
25.870	3.117
25.955	3.092
26.039	3.068
26.122	3.045
26.205	3.022
26.287	3.001
26.369	2.980
26.450	2.961
26.531	2.942
26.610	2.926
26.689	2.910
26.768	2.896
26.845	2.884
26.922	2.873
26.998	2.864
27.074	2.857
27.148	2.852
27.222	2.849
27.295	2.848
27.367	2.849
27.438	2.852
27.507	2.858
27.576	2.865
27.643	2.875
27.708	2.888
27.771	2.902
27.831	2.920
27.889	2.939
27.945	2.961
27.997	2.985
28.046	3.011
28.092	3.040
28.134	3.072
28.173	3.106
28.207	3.142
28.237	3.181
28.263	3.222
28.285	3.266
28.304	3.311
28.319	3.359
28.332	3.409
28.342	3.460
28.349	3.513
28.355	3.568
28.360	3.624
28.363	3.682
28.365	3.740
28.366	3.800
28.367	3.861
28.368	3.923
28.369	3.985
28.369	4.048
28.370	4.112
28.369	4.177
28.368	4.242
28.366	4.307
28.363	4.373
28.359	4.439
28.354	4.506
28.347	4.573
28.338	4.640
28.328	4.707
28.315	4.774
28.301	4.841
28.284	4.908
28.265	4.975
28.244	5.041
28.219	5.108
28.193	5.174
28.164	5.240
28.132	5.306
28.099	5.372
28.065	5.438
28.028	5.504
27.990	5.569
27.951	5.635
27.911	5.701
27.869	5.766
27.827	5.832
27.784	5.898
27.741	5.964
27.697	6.031
27.653	6.097
27.609	6.164
27.565	6.231
27.522	6.298
27.479	6.365
27.436	6.433
27.394	6.501
27.352	6.568
27.311	6.636
27.269	6.703
27.228	6.769
27.186	6.835
27.144	6.900
27.102	6.964
27.059	7.026
27.016	7.088
26.972	7.147
26.927	7.205
26.881	7.261
26.835	7.315
26.787	7.366
26.738	7.416
26.688	7.462
26.636	7.506
26.583	7.547
26.528	7.585
26.472	7.621
26.414	7.654
26.355	7.685
26.294	7.714
26.232	7.742
26.168	7.768
26.103	7.792
26.037	7.815
25.969	7.838
25.900	7.860
25.829	7.881
25.757	7.902
25.684	7.923
25.610	7.943
25.534	7.965
25.457	7.987
25.379	8.009
25.299	8.033
25.218	8.057
25.137	8.083
25.054	8.109
24.970	8.137
24.885	8.165
24.799	8.194
24.712	8.223
24.624	8.254
24.535	8.285
24.445	8.317
24.354	8.350
24.263	8.383
24.170	8.417
24.077	8.452
23.984	8.487
23.889	8.523
23.794	8.559
23.698	8.595
23.602	8.633
23.505	8.670
23.407	8.708
23.309	8.746
23.211	8.785
23.112	8.824
23.013	8.863
22.913	8.903
22.813	8.942
22.713	8.982
22.613	9.021
22.513	9.061
22.412	9.100
22.313	9.139
22.213	9.177
22.114	9.215
22.015	9.252
21.917	9.288
21.819	9.324
21.722	9.359
21.626	9.393
21.531	9.425
21.436	9.457
21.343	9.487
21.251	9.516
21.161	9.543
21.071	9.569
20.983	9.593
20.897	9.616
20.812	9.636
20.729	9.655
20.648	9.671
20.568	9.686
20.491	9.698
20.415	9.709
20.341	9.717
20.268	9.724
20.197	9.729
20.127	9.733
20.058	9.735
19.990	9.736
19.923	9.737
19.856	9.736
19.790	9.735
19.724	9.733
19.659	9.732
19.593	9.729
19.528	9.727
19.462	9.725
19.396	9.723
19.329	9.722
19.262	9.720
19.194	9.720
19.126	9.719
19.058	9.718
18.991	9.717
18.924	9.715
18.859	9.713
18.794	9.709
18.731	9.704
18.669	9.697
18.610	9.689
18.552	9.678
18.497	9.666
18.445	9.651
18.396	9.633
18.350	9.612
18.307	9.588
18.268	9.561
18.232	9.531
18.199	9.499
18.169	9.466
18.142	9.431
18.118	9.395
18.096	9.358
18.077	9.320
18.060	9.283
18.045	9.246
18.032	9.210
18.020	9.174
18.010	9.139
18.002	9.105
17.994	9.070
17.987	9.036
17.981	9.000
17.975	8.965
17.969	8.928
17.963	8.890
17.956	8.851
17.949	8.810
17.942	8.769
17.934	8.726
17.927	8.682
17.920	8.637
17.913	8.591
17.906	8.545
17.900	8.498
17.895	8.451
17.890	8.403
17.886	8.354
