X	Y
17.810	8.772
17.849	8.730
17.893	8.691
17.942	8.654
17.996	8.621
18.056	8.589
18.120	8.560
18.188	8.534
18.261	8.509
18.338	8.487
18.420	8.466
18.505	8.447
18.594	8.430
18.686	8.414
18.782	8.400
18.881	8.386
18.982	8.375
19.087	8.364
19.195	8.353
19.305	8.344
19.417	8.336
19.531	8.327
19.648	8.320
19.766	8.312
19.886	8.305
20.007	8.297
20.130	8.290
20.254	8.282
20.379	8.274
20.504	8.266
20.631	8.257
20.758	8.248
20.885	8.239
21.013	8.229
21.142	8.220
21.271	8.210
21.400	8.199
21.529	8.189
21.658	8.179
21.788	8.169
21.917	8.158
22.046	8.148
22.175	8.138
22.304	8.128
22.432	8.118
22.559	8.109
22.686	8.099
22.813	8.090
22.938	8.081
23.063	8.073
23.187	8.065
23.310	8.057
23.432	8.050
23.552	8.043
23.672	8.037
23.790	8.031
23.907	8.026
24.022	8.022
24.135	8.018
24.247	8.016
24.358	8.013
24.466	8.012
24.572	8.011
24.677	8.012
24.779	8.013
24.880	8.015
24.978	8.018
25.074	8.022
25.168	8.027
25.260	8.033
25.351	8.040
25.439	8.048
25.526	8.056
25.611	8.066
25.694	8.076
25.775	8.088
25.855	8.100
25.934	8.113
26.010	8.127
26.086	8.143
26.159	8.158
26.232	8.175
26.303	8.193
26.372	8.212
26.441	8.231
26.508	8.252
26.574	8.273
26.639	8.296
26.703	8.319
26.765	8.343
26.827	8.368
26.887	8.394
26.945	8.422
27.001	8.450
27.054	8.480
27.105	8.511
27.154	8.544
27.199	8.578
27.241	8.614
27.280	8.651
27.315	8.690
27.346	8.732
27.372	8.775
27.395	8.820
27.412	8.867
27.425	8.916
27.432	8.968
27.435	9.021
27.434	9.076
27.428	9.133
27.419	9.192
27.405	9.251
27.388	9.312
27.368	9.374
27.344	9.437
27.317	9.501
27.288	9.566
27.257	9.631
27.223	9.696
27.187	9.762
27.149	9.827
27.109	9.893
27.069	9.958
27.027	10.023
26.984	10.087
26.940	10.151
26.896	10.214
26.851	10.276
26.804	10.338
26.757	10.399
26.710	10.459
26.661	10.518
26.612	10.576
26.561	10.633
26.510	10.690
26.458	10.745
26.405	10.799
26.351	10.853
26.296	10.905
26.240	10.956
26.184	11.006
26.126	11.054
26.067	11.102
26.008	11.148
25.947	11.193
25.886	11.236
25.823	11.278
25.760	11.319
25.695	11.358
25.630	11.396
25.564	11.433
25.496	11.469
25.428	11.504
25.359	11.539
25.289	11.572
25.218	11.605
25.146	11.638
25.073	11.670
25.000	11.702
24.925	11.734
24.850	11.766
24.774	11.798
24.696	11.830
24.619	11.863
24.540	11.896
24.461	11.929
24.380	11.963
24.299	11.998
24.218	12.033
24.135	12.070
24.052	12.108
23.968	12.146
23.883	12.186
23.798	12.227
23.712	12.269
23.626	12.312
23.539	12.355
23.451	12.399
23.364	12.443
23.276	12.488
23.188	12.533
23.099	12.578
23.011	12.623
22.922	12.668
22.834	12.713
22.745	12.758
22.657	12.803
22.568	12.847
22.480	12.890
22.392	12.933
22.304	12.975
22.217	13.016
22.130	13.056
22.044	13.096
21.958	13.134
21.873	13.170
21.788	13.206
21.704	13.240
21.621	13.272
21.538	13.303
21.457	13.331
21.376	13.359
21.296	13.384
21.216	13.408
21.137	13.431
21.058	13.452
20.980	13.471
20.902	13.490
20.825	13.506
20.747	13.522
20.670	13.536
20.593	13.550
20.516	13.562
20.439	13.573
20.361	13.583
20.284	13.592
20.206	13.600
20.129	13.607
20.050	13.613
19.972	13.619
19.892	13.624
19.813	13.628
19.732	13.632
19.651	13.635
19.570	13.638
19.488	13.639
19.406	13.640
19.324	13.640
19.243	13.639
19.162	13.636
19.083	13.633
19.004	13.628
18.927	13.621
18.852	13.613
18.778	13.603
18.707	13.591
18.638	13.577
18.572	13.562
18.508	13.543
18.448	13.523
18.391	13.500
18.338	13.475
18.288	13.447
18.243	13.417
18.202	13.383
18.165	13.347
18.132	13.308
18.103	13.266
18.077	13.223
18.054	13.177
18.034	13.129
18.016	13.080
18.000	13.029
17.986	12.976
17.974	12.923
17.963	12.868
17.952	12.812
17.942	12.755
17.933	12.698
17.923	12.641
17.913	12.583
17.903	12.525
17.893	12.466
17.882	12.407
17.872	12.348
17.861	12.288
17.850	12.228
17.839	12.167
17.828	12.105
17.818	12.043
17.807	11.980
17.796	11.917
17.786	11.852
17.776	11.787
17.767	11.721
17.757	11.654
17.748	11.586
17.740	11.517
17.732	11.448
17.724	11.377
17.717	11.305
17.711	11.233
17.705	11.160
17.699	11.088
17.694	11.015
17.689	10.942
17.685	10.870
17.681	10.799
17.677	10.729
17.674	10.659
17.671	10.591
17.668	10.525
17.666	10.460
17.664	10.397
17.662	10.336
17.661	10.277
17.660	10.221
17.659	10.168
17.658	10.117
17.657	10.070
17.657	10.025
17.657	9.982
17.657	9.942
17.657	9.903
17.657	9.866
17.657	9.830
17.658	9.794
17.658	9.759
17.658	9.724
17.658	9.690
17.658	9.655
17.658	9.619
17.658	9.585
17.658	9.551
17.658	9.519
17.658	9.490
17.658	9.463
17.658	9.439
17.658	9.419
17.658	9.402
17.658	9.388
17.658	9.374
17.658	9.358
17.658	9.337
17.658	9.310
17.658	9.278
17.659	9.242
17.662	9.201
17.666	9.157
17.672	9.111
17.680	9.062
17.692	9.013
17.707	8.963
17.726	8.913
17.749	8.864
17.777	8.817
17.810	8.772
