X	Y
36.703	41.174
36.838	41.056
37.004	40.960
37.201	40.885
37.425	40.828
37.675	40.788
37.949	40.763
38.244	40.752
38.558	40.754
38.890	40.766
39.237	40.787
39.598	40.815
39.969	40.850
40.349	40.888
40.737	40.929
41.129	40.972
41.525	41.015
41.923	41.059
42.324	41.103
42.727	41.149
43.129	41.195
43.532	41.242
43.933	41.290
44.333	41.338
44.730	41.387
45.123	41.437
45.512	41.488
45.896	41.540
46.275	41.593
46.646	41.646
47.010	41.700
47.366	41.755
47.712	41.811
48.049	41.868
48.375	41.926
48.691	41.984
48.998	42.044
49.297	42.104
49.589	42.166
49.875	42.229
50.156	42.293
50.433	42.358
50.707	42.424
50.979	42.492
51.251	42.561
51.522	42.631
51.795	42.703
52.070	42.777
52.348	42.852
52.628	42.929
52.910	43.009
53.191	43.091
53.470	43.178
53.744	43.270
54.012	43.367
54.271	43.470
54.521	43.580
54.759	43.698
54.982	43.824
55.190	43.959
55.381	44.103
55.552	44.258
55.703	44.424
55.837	44.598
55.957	44.781
56.065	44.969
56.165	45.162
56.259	45.357
56.352	45.554
56.445	45.751
56.542	45.946
56.646	46.138
56.760	46.325
56.885	46.507
57.016	46.684
57.152	46.857
57.290	47.027
57.428	47.195
57.562	47.361
57.689	47.526
57.808	47.690
57.916	47.855
58.009	48.021
58.085	48.189
58.147	48.358
58.193	48.530
58.226	48.703
58.247	48.879
58.256	49.058
58.254	49.238
58.242	49.422
58.221	49.608
58.193	49.797
58.161	49.988
58.126	50.179
58.091	50.371
58.058	50.563
58.030	50.753
58.008	50.941
57.997	51.126
57.997	51.308
58.009	51.486
58.031	51.660
58.058	51.829
58.085	51.993
58.108	52.153
58.123	52.308
58.125	52.457
58.111	52.602
58.077	52.741
58.025	52.874
57.960	53.001
57.883	53.121
57.798	53.234
57.707	53.339
57.615	53.437
57.524	53.527
57.435	53.615
57.353	53.705
57.278	53.800
57.214	53.905
57.162	54.025
57.124	54.161
57.098	54.312
57.082	54.476
57.072	54.649
57.067	54.829
57.064	55.014
57.061	55.201
57.056	55.389
57.045	55.573
57.028	55.754
57.004	55.929
56.970	56.098
56.927	56.258
56.871	56.409
56.803	56.549
56.721	56.677
56.624	56.791
56.513	56.891
56.389	56.977
56.256	57.048
56.116	57.103
55.970	57.143
55.820	57.167
55.669	57.176
55.519	57.173
55.371	57.166
55.227	57.165
55.090	57.177
54.962	57.210
54.843	57.273
54.736	57.372
54.641	57.507
54.556	57.672
54.480	57.862
54.412	58.073
54.351	58.299
54.295	58.536
54.242	58.777
54.193	59.019
54.145	59.255
54.098	59.482
54.049	59.695
53.996	59.893
53.936	60.074
53.866	60.238
53.784	60.383
53.686	60.507
53.570	60.610
53.433	60.691
53.273	60.747
53.092	60.784
52.893	60.804
52.680	60.813
52.457	60.816
52.227	60.818
51.994	60.822
51.762	60.833
51.533	60.857
51.313	60.898
51.103	60.961
50.907	61.047
50.724	61.153
50.552	61.277
50.392	61.416
50.241	61.567
50.101	61.726
49.969	61.890
49.845	62.058
49.728	62.224
49.617	62.388
49.512	62.545
49.409	62.696
49.307	62.838
49.203	62.972
49.094	63.096
48.978	63.209
48.853	63.311
48.715	63.400
48.565	63.476
48.401	63.538
48.228	63.588
48.045	63.625
47.857	63.651
47.663	63.665
47.468	63.669
47.272	63.662
47.078	63.645
46.888	63.620
46.702	63.590
46.521	63.561
46.346	63.537
46.176	63.525
46.013	63.530
45.856	63.556
45.707	63.610
45.565	63.695
45.430	63.811
45.299	63.951
45.172	64.109
45.046	64.277
44.920	64.450
44.790	64.619
44.657	64.778
44.517	64.922
44.369	65.042
44.211	65.132
44.044	65.194
43.868	65.226
43.684	65.231
43.494	65.210
43.297	65.163
43.096	65.091
42.891	64.997
42.683	64.880
42.472	64.743
42.260	64.585
42.046	64.408
41.833	64.214
41.620	64.002
41.408	63.775
41.197	63.533
40.989	63.276
40.784	63.007
40.582	62.726
40.384	62.434
40.191	62.132
40.003	61.821
39.821	61.502
39.646	61.176
39.478	60.844
39.318	60.508
39.166	60.167
39.020	59.821
38.882	59.472
38.750	59.120
38.625	58.764
38.504	58.404
38.388	58.042
38.277	57.677
38.170	57.310
38.066	56.940
37.966	56.568
37.868	56.195
37.771	55.820
37.677	55.444
37.583	55.066
37.490	54.688
37.397	54.309
37.304	53.930
37.210	53.551
37.116	53.172
37.021	52.794
36.927	52.417
36.833	52.042
36.740	51.670
36.649	51.301
36.560	50.936
36.474	50.574
36.390	50.218
36.309	49.866
36.233	49.520
36.160	49.180
36.092	48.847
36.028	48.522
35.971	48.204
35.919	47.895
35.873	47.595
35.833	47.303
35.801	47.022
35.776	46.750
35.758	46.488
35.747	46.235
35.744	45.992
35.749	45.760
35.762	45.537
35.784	45.324
35.814	45.122
35.852	44.930
35.900	44.748
35.956	44.577
36.018	44.414
36.083	44.260
36.148	44.113
36.213	43.972
36.273	43.837
36.328	43.705
36.373	43.577
36.409	43.451
36.437	43.323
36.456	43.192
36.467	43.054
36.472	42.908
36.470	42.751
36.462	42.581
36.453	42.399
36.445	42.211
36.445	42.019
36.456	41.829
36.482	41.646
36.530	41.472
36.602	41.313
36.703	41.174
