X	Y
343.000	153.000
343.383	152.117
343.927	151.276
344.626	150.475
345.476	149.710
346.473	148.980
347.613	148.282
348.892	147.613
350.304	146.970
351.847	146.351
353.515	145.754
355.304	145.174
357.211	144.611
359.230	144.061
361.358	143.522
363.589	142.990
365.921	142.464
368.348	141.940
370.867	141.417
373.472	140.891
376.161	140.359
378.927	139.820
381.768	139.271
384.679	138.713
387.654	138.147
390.691	137.571
393.785	136.987
396.931	136.396
400.125	135.797
403.362	135.190
406.638	134.576
409.950	133.956
413.292	133.330
416.659	132.697
420.049	132.059
423.456	131.415
426.876	130.766
430.304	130.112
433.737	129.454
437.169	128.792
440.597	128.126
444.016	127.457
447.422	126.784
450.811	126.109
454.177	125.431
457.517	124.751
460.826	124.069
464.100	123.385
467.335	122.700
470.526	122.015
473.669	121.328
476.759	120.642
479.792	119.955
482.764	119.269
485.671	118.583
488.507	117.899
491.269	117.215
493.952	116.534
496.552	115.854
499.067	115.177
501.501	114.503
503.860	113.834
506.146	113.171
508.366	112.515
510.524	111.866
512.625	111.227
514.672	110.598
516.672	109.980
518.629	109.374
520.546	108.782
522.430	108.205
524.285	107.643
526.115	107.098
527.925	106.571
529.721	106.063
531.505	105.575
533.284	105.108
535.062	104.664
536.843	104.243
538.633	103.846
540.436	103.476
542.256	103.132
544.099	102.815
545.964	102.527
547.850	102.268
549.754	102.037
551.674	101.835
553.607	101.662
555.551	101.517
557.504	101.402
559.463	101.315
561.425	101.258
563.389	101.231
565.353	101.232
567.313	101.264
569.267	101.325
571.213	101.416
573.149	101.536
575.072	101.687
576.980	101.868
578.870	102.079
580.740	102.320
582.588	102.592
584.411	102.895
586.208	103.228
587.975	103.593
589.710	103.990
591.412	104.420
593.079	104.886
594.708	105.386
596.298	105.924
597.846	106.499
599.351	107.113
600.810	107.767
602.220	108.461
603.581	109.198
604.891	109.977
606.146	110.800
607.345	111.669
608.486	112.583
609.567	113.545
610.585	114.555
611.540	115.614
612.428	116.721
613.249	117.876
614.002	119.077
614.685	120.322
615.297	121.609
615.837	122.937
616.303	124.305
616.695	125.711
617.010	127.153
617.247	128.630
617.406	130.141
617.485	131.683
617.483	133.255
617.398	134.856
617.229	136.484
616.976	138.138
616.637	139.815
616.216	141.512
615.719	143.225
615.150	144.949
614.513	146.681
613.814	148.417
613.056	150.152
612.244	151.883
611.383	153.605
610.477	155.314
609.532	157.007
608.551	158.680
607.539	160.327
606.501	161.946
605.441	163.532
604.365	165.081
603.276	166.589
602.179	168.052
601.079	169.467
599.980	170.828
598.887	172.132
597.803	173.376
596.723	174.559
595.642	175.682
594.555	176.744
593.457	177.746
592.342	178.688
591.206	179.569
590.043	180.390
588.848	181.150
587.615	181.851
586.340	182.492
585.018	183.072
583.643	183.593
582.210	184.053
580.714	184.454
579.149	184.795
577.511	185.076
575.797	185.299
574.010	185.467
572.153	185.581
570.230	185.647
568.242	185.667
566.194	185.643
564.089	185.580
561.930	185.480
559.719	185.347
557.461	185.184
555.158	184.993
552.813	184.779
550.430	184.543
548.012	184.290
545.562	184.023
543.083	183.744
540.578	183.457
538.050	183.166
535.503	182.872
532.940	182.580
530.364	182.292
527.777	182.012
525.184	181.743
522.587	181.487
519.990	181.249
517.395	181.031
514.806	180.836
512.224	180.665
509.647	180.514
507.076	180.384
504.512	180.273
501.954	180.180
499.401	180.103
496.855	180.042
494.314	179.994
491.779	179.959
489.250	179.935
486.727	179.922
484.209	179.917
481.697	179.920
479.191	179.929
476.690	179.943
474.194	179.960
471.704	179.980
469.219	180.001
466.739	180.023
464.264	180.042
461.795	180.059
459.330	180.072
456.871	180.079
454.416	180.081
451.967	180.074
449.522	180.058
447.082	180.032
444.647	179.994
442.217	179.943
439.792	179.881
437.375	179.806
434.964	179.721
432.563	179.624
430.170	179.518
427.788	179.401
425.418	179.276
423.059	179.141
420.714	178.998
418.383	178.847
416.067	178.689
413.766	178.524
411.483	178.353
409.217	178.175
406.970	177.993
404.743	177.805
402.536	177.613
400.351	177.416
398.188	177.217
396.048	177.014
393.933	176.809
391.843	176.601
389.778	176.392
387.741	176.182
385.732	175.972
383.752	175.761
381.801	175.553
379.881	175.348
377.992	175.148
376.136	174.955
374.313	174.772
372.524	174.599
370.770	174.438
369.051	174.292
367.370	174.161
365.725	174.049
364.119	173.955
362.553	173.884
361.026	173.835
359.540	173.811
358.096	173.813
356.695	173.844
355.337	173.905
354.024	173.998
352.757	174.122
351.546	174.263
350.400	174.406
349.329	174.533
348.344	174.629
347.454	174.677
346.670	174.661
346.002	174.564
345.460	174.370
345.054	174.063
344.790	173.629
344.652	173.073
344.615	172.407
344.652	171.643
344.737	170.795
344.844	169.873
344.947	168.892
345.020	167.862
345.038	166.796
344.973	165.708
344.817	164.605
344.587	163.495
344.306	162.381
343.994	161.268
343.673	160.162
343.365	159.067
343.092	157.988
342.875	156.929
342.736	155.896
342.696	154.894
342.776	153.927
343.000	153.000
