X	Y
335.000	167.000
335.747	166.351
336.691	165.766
337.824	165.241
339.140	164.776
340.632	164.367
342.292	164.013
344.114	163.710
346.091	163.457
348.216	163.252
350.481	163.092
352.881	162.975
355.407	162.898
358.053	162.860
360.813	162.858
363.678	162.890
366.643	162.953
369.700	163.045
372.842	163.164
376.062	163.308
379.353	163.474
382.709	163.661
386.122	163.865
389.586	164.084
393.093	164.317
396.637	164.561
400.210	164.813
403.806	165.072
407.417	165.335
411.037	165.600
414.659	165.864
418.275	166.126
421.879	166.382
425.464	166.631
429.023	166.871
432.549	167.099
436.035	167.312
439.474	167.509
442.858	167.688
446.182	167.845
449.438	167.979
452.620	168.088
455.728	168.173
458.765	168.235
461.733	168.277
464.634	168.301
467.472	168.308
470.248	168.301
472.965	168.282
475.626	168.252
478.233	168.215
480.789	168.171
483.296	168.122
485.756	168.072
488.173	168.021
490.549	167.972
492.886	167.927
495.188	167.887
497.455	167.855
499.691	167.833
501.899	167.823
504.080	167.827
506.238	167.846
508.375	167.883
510.494	167.940
512.596	168.019
514.686	168.122
516.764	168.250
518.833	168.406
520.897	168.592
522.957	168.810
525.017	169.062
527.078	169.349
529.143	169.675
531.215	170.040
533.295	170.446
535.379	170.893
537.463	171.380
539.543	171.906
541.614	172.470
543.673	173.071
545.715	173.708
547.736	174.380
549.731	175.087
551.696	175.828
553.628	176.601
555.522	177.406
557.373	178.242
559.177	179.108
560.931	180.003
562.630	180.926
564.269	181.877
565.845	182.854
567.353	183.857
568.789	184.885
570.149	185.936
571.428	187.011
572.622	188.107
573.727	189.225
574.740	190.363
575.654	191.520
576.467	192.696
577.178	193.889
577.789	195.099
578.301	196.324
578.717	197.564
579.039	198.817
579.268	200.082
579.407	201.358
579.457	202.644
579.422	203.940
579.301	205.243
579.099	206.553
578.816	207.869
578.454	209.190
578.017	210.514
577.504	211.842
576.920	213.170
576.264	214.500
575.541	215.828
574.751	217.156
573.897	218.480
572.982	219.800
572.007	221.116
570.975	222.425
569.889	223.727
568.751	225.021
567.562	226.305
566.326	227.578
565.045	228.839
563.721	230.088
562.356	231.322
560.953	232.541
559.514	233.744
558.041	234.929
556.538	236.096
555.005	237.243
553.445	238.369
551.862	239.473
550.256	240.554
548.631	241.610
546.989	242.641
545.332	243.646
543.662	244.622
541.982	245.570
540.291	246.489
538.590	247.379
536.876	248.240
535.148	249.073
533.406	249.877
531.648	250.653
529.872	251.401
528.079	252.121
526.265	252.813
524.431	253.478
522.576	254.116
520.697	254.726
518.794	255.310
516.865	255.866
514.910	256.397
512.927	256.901
510.915	257.378
508.873	257.830
506.800	258.256
504.694	258.656
502.554	259.031
500.380	259.381
498.169	259.705
495.922	260.005
493.636	260.280
491.310	260.531
488.943	260.757
486.535	260.959
484.083	261.137
481.591	261.292
479.063	261.425
476.501	261.536
473.911	261.626
471.295	261.697
468.657	261.748
466.001	261.782
463.331	261.798
460.651	261.798
457.964	261.782
455.274	261.751
452.585	261.707
449.900	261.649
447.224	261.580
444.561	261.499
441.913	261.407
439.284	261.306
436.679	261.197
434.102	261.079
431.555	260.954
429.043	260.823
426.569	260.687
424.138	260.546
421.752	260.401
419.417	260.254
417.134	260.105
414.909	259.954
412.745	259.803
410.646	259.653
408.615	259.505
406.657	259.358
404.775	259.215
402.972	259.076
401.253	258.941
399.617	258.810
398.058	258.676
396.570	258.534
395.149	258.380
393.787	258.208
392.480	258.012
391.221	257.788
390.005	257.530
388.826	257.233
387.677	256.892
386.555	256.501
385.451	256.055
384.362	255.549
383.281	254.978
382.201	254.336
381.119	253.618
380.027	252.819
378.920	251.933
377.794	250.958
376.650	249.897
375.491	248.755
374.319	247.536
373.137	246.245
371.948	244.888
370.754	243.468
369.558	241.992
368.362	240.463
367.168	238.886
365.980	237.267
364.799	235.610
363.629	233.920
362.472	232.202
361.331	230.461
360.207	228.701
359.105	226.927
358.025	225.144
356.971	223.357
355.945	221.572
354.951	219.791
353.989	218.021
353.064	216.267
352.177	214.532
351.331	212.822
350.528	211.143
349.772	209.497
349.062	207.889
348.395	206.316
347.767	204.778
347.173	203.272
346.610	201.797
346.074	200.352
345.561	198.934
345.066	197.542
344.586	196.175
344.117	194.831
343.655	193.508
343.196	192.204
342.735	190.918
342.269	189.649
341.794	188.395
341.307	187.154
340.802	185.924
340.275	184.704
339.724	183.493
339.144	182.288
338.532	181.088
337.898	179.897
337.259	178.717
336.630	177.554
336.027	176.410
335.467	175.292
334.966	174.201
334.540	173.143
334.204	172.122
333.976	171.142
333.870	170.207
333.904	169.321
334.092	168.489
334.452	167.714
335.000	167.000
