X	Y
17.746	8.695
17.770	8.651
17.797	8.613
17.828	8.578
17.864	8.547
17.904	8.519
17.949	8.494
18.000	8.471
18.057	8.449
18.120	8.428
18.189	8.408
18.267	8.387
18.351	8.365
18.443	8.343
18.541	8.319
18.646	8.296
18.757	8.271
18.874	8.246
18.996	8.221
19.124	8.194
19.256	8.167
19.392	8.140
19.532	8.112
19.676	8.084
19.822	8.055
19.972	8.025
20.124	7.995
20.279	7.965
20.435	7.934
20.593	7.903
20.751	7.872
20.911	7.840
21.070	7.808
21.230	7.776
21.389	7.743
21.548	7.710
21.705	7.677
21.861	7.644
22.015	7.610
22.167	7.577
22.317	7.543
22.464	7.509
22.609	7.475
22.752	7.441
22.892	7.406
23.031	7.372
23.169	7.337
23.304	7.303
23.439	7.268
23.572	7.233
23.703	7.198
23.834	7.163
23.964	7.128
24.094	7.092
24.222	7.057
24.351	7.021
24.479	6.986
24.607	6.950
24.734	6.914
24.862	6.878
24.991	6.842
25.119	6.806
25.249	6.770
25.379	6.734
25.509	6.698
25.641	6.662
25.774	6.626
25.908	6.589
26.044	6.553
26.180	6.516
26.318	6.480
26.456	6.444
26.595	6.409
26.735	6.373
26.875	6.338
27.015	6.304
27.156	6.270
27.296	6.237
27.437	6.205
27.577	6.173
27.717	6.143
27.856	6.113
27.995	6.084
28.133	6.056
28.270	6.030
28.406	6.005
28.541	5.981
28.674	5.958
28.807	5.937
28.937	5.918
29.066	5.900
29.193	5.884
29.318	5.869
29.441	5.857
29.561	5.846
29.680	5.837
29.796	5.830
29.909	5.826
30.020	5.823
30.129	5.823
30.236	5.824
30.340	5.828
30.441	5.833
30.541	5.841
30.638	5.851
30.733	5.864
30.825	5.878
30.915	5.895
31.003	5.914
31.089	5.935
31.172	5.959
31.253	5.985
31.331	6.013
31.407	6.044
31.481	6.077
31.553	6.112
31.622	6.150
31.688	6.191
31.751	6.233
31.812	6.278
31.869	6.326
31.923	6.375
31.973	6.428
32.020	6.482
32.064	6.539
32.103	6.598
32.138	6.659
32.170	6.723
32.197	6.789
32.219	6.857
32.238	6.928
32.252	7.000
32.262	7.074
32.268	7.149
32.270	7.226
32.269	7.304
32.264	7.382
32.255	7.462
32.242	7.542
32.227	7.622
32.208	7.703
32.185	7.784
32.160	7.864
32.131	7.945
32.099	8.024
32.065	8.103
32.028	8.182
31.989	8.259
31.947	8.336
31.904	8.411
31.858	8.485
31.811	8.557
31.763	8.629
31.713	8.698
31.662	8.766
31.611	8.832
31.558	8.896
31.505	8.958
31.452	9.017
31.399	9.075
31.346	9.129
31.292	9.182
31.239	9.231
31.185	9.278
31.131	9.323
31.076	9.365
31.020	9.404
30.962	9.441
30.903	9.475
30.843	9.506
30.780	9.535
30.716	9.561
30.649	9.584
30.580	9.605
30.507	9.623
30.433	9.638
30.355	9.650
30.275	9.660
30.193	9.668
30.109	9.674
30.024	9.677
29.936	9.679
29.847	9.678
29.756	9.676
29.665	9.672
29.572	9.666
29.479	9.659
29.384	9.651
29.289	9.641
29.194	9.631
29.099	9.619
29.004	9.606
28.908	9.593
28.813	9.579
28.718	9.564
28.623	9.550
28.529	9.535
28.435	9.521
28.341	9.508
28.248	9.495
28.155	9.483
28.063	9.473
27.972	9.463
27.881	9.456
27.791	9.450
27.701	9.447
27.613	9.446
27.525	9.447
27.439	9.451
27.353	9.458
27.268	9.468
27.184	9.481
27.101	9.497
27.018	9.515
26.934	9.536
26.851	9.559
26.766	9.584
26.681	9.611
26.595	9.640
26.508	9.670
26.418	9.701
26.327	9.733
26.234	9.766
26.138	9.799
26.040	9.834
25.938	9.868
25.833	9.902
25.725	9.936
25.613	9.970
25.497	10.004
25.377	10.037
25.253	10.069
25.126	10.101
24.996	10.133
24.863	10.163
24.728	10.194
24.590	10.224
24.450	10.253
24.307	10.282
24.163	10.311
24.018	10.339
23.871	10.366
23.723	10.393
23.574	10.420
23.424	10.446
23.274	10.472
23.124	10.497
22.974	10.521
22.824	10.546
22.674	10.569
22.526	10.592
22.378	10.615
22.231	10.637
22.085	10.659
21.942	10.680
21.799	10.701
21.659	10.722
21.522	10.742
21.386	10.761
21.253	10.780
21.122	10.798
20.993	10.815
20.867	10.832
20.743	10.848
20.621	10.863
20.501	10.877
20.384	10.890
20.269	10.902
20.156	10.912
20.045	10.921
19.936	10.929
19.830	10.936
19.725	10.941
19.623	10.945
19.523	10.947
19.425	10.947
19.329	10.946
19.236	10.943
19.144	10.938
19.054	10.931
18.967	10.922
18.881	10.912
18.798	10.900
18.716	10.886
18.636	10.872
18.557	10.857
18.480	10.842
18.405	10.826
18.331	10.811
18.258	10.795
18.186	10.780
18.116	10.766
18.047	10.753
17.979	10.741
17.911	10.731
17.845	10.722
17.780	10.714
17.717	10.707
17.658	10.698
17.601	10.689
17.549	10.677
17.502	10.663
17.461	10.644
17.427	10.621
17.400	10.592
17.380	10.556
17.369	10.515
17.365	10.467
17.367	10.414
17.374	10.355
17.386	10.292
17.401	10.226
17.420	10.155
17.441	10.081
17.463	10.005
17.486	9.927
17.508	9.847
17.529	9.766
17.549	9.684
17.566	9.602
17.581	9.520
17.594	9.438
17.606	9.358
17.618	9.279
17.629	9.201
17.640	9.126
17.651	9.054
17.663	8.984
17.676	8.918
17.690	8.856
17.706	8.797
17.725	8.744
17.746	8.695
