X	Y
17.542	10.322
17.585	10.285
17.637	10.252
17.696	10.222
17.763	10.196
17.838	10.173
17.919	10.152
18.007	10.134
18.101	10.118
18.201	10.105
18.307	10.093
18.418	10.084
18.533	10.075
18.654	10.069
18.778	10.063
18.907	10.059
19.039	10.055
19.174	10.051
19.313	10.048
19.453	10.046
19.596	10.043
19.741	10.039
19.887	10.036
20.035	10.031
20.183	10.026
20.332	10.020
20.481	10.012
20.630	10.003
20.779	9.993
20.928	9.981
21.077	9.969
21.226	9.955
21.375	9.941
21.524	9.925
21.673	9.909
21.822	9.892
21.971	9.874
22.120	9.856
22.269	9.837
22.418	9.818
22.567	9.798
22.715	9.778
22.864	9.758
23.013	9.738
23.161	9.718
23.309	9.698
23.458	9.677
23.606	9.657
23.754	9.638
23.902	9.618
24.050	9.599
24.198	9.580
24.346	9.562
24.493	9.545
24.640	9.528
24.788	9.512
24.935	9.497
25.082	9.483
25.228	9.470
25.375	9.457
25.522	9.446
25.668	9.437
25.813	9.428
25.959	9.420
26.103	9.414
26.247	9.408
26.390	9.404
26.532	9.400
26.673	9.398
26.813	9.397
26.951	9.397
27.088	9.398
27.224	9.400
27.358	9.402
27.490	9.406
27.620	9.411
27.749	9.417
27.875	9.424
27.999	9.432
28.121	9.441
28.240	9.450
28.357	9.461
28.471	9.473
28.583	9.485
28.691	9.499
28.797	9.513
28.899	9.528
28.999	9.544
29.095	9.561
29.187	9.579
29.276	9.598
29.362	9.618
29.444	9.640
29.522	9.663
29.596	9.688
29.666	9.714
29.732	9.743
29.794	9.775
29.852	9.808
29.905	9.845
29.954	9.884
29.999	9.927
30.039	9.972
30.074	10.021
30.105	10.074
30.130	10.130
30.151	10.189
30.168	10.252
30.179	10.317
30.186	10.385
30.189	10.455
30.188	10.527
30.182	10.600
30.172	10.674
30.158	10.750
30.139	10.825
30.117	10.901
30.092	10.977
30.062	11.053
30.029	11.128
29.992	11.202
29.952	11.274
29.908	11.346
29.861	11.416
29.811	11.485
29.758	11.553
29.701	11.620
29.642	11.685
29.580	11.750
29.515	11.814
29.447	11.877
29.377	11.940
29.304	12.001
29.229	12.062
29.151	12.122
29.071	12.181
28.989	12.240
28.905	12.298
28.819	12.355
28.731	12.412
28.641	12.469
28.549	12.525
28.456	12.581
28.361	12.636
28.264	12.691
28.166	12.746
28.066	12.801
27.965	12.855
27.862	12.909
27.758	12.963
27.652	13.016
27.545	13.070
27.436	13.124
27.326	13.177
27.215	13.230
27.102	13.284
26.988	13.337
26.873	13.391
26.756	13.444
26.638	13.498
26.519	13.552
26.399	13.606
26.277	13.660
26.154	13.714
26.031	13.769
25.906	13.823
25.780	13.879
25.653	13.934
25.525	13.990
25.396	14.046
25.266	14.103
25.135	14.160
25.003	14.217
24.871	14.274
24.738	14.331
24.605	14.388
24.471	14.445
24.337	14.502
24.202	14.558
24.068	14.614
23.934	14.669
23.799	14.724
23.665	14.778
23.531	14.831
23.398	14.883
23.264	14.934
23.132	14.984
23.000	15.033
22.869	15.080
22.738	15.126
22.609	15.171
22.481	15.214
22.353	15.255
22.227	15.294
22.102	15.332
21.979	15.368
21.857	15.401
21.737	15.432
21.618	15.462
21.501	15.488
21.386	15.513
21.273	15.535
21.162	15.554
21.053	15.570
20.945	15.584
20.840	15.594
20.737	15.602
20.636	15.607
20.538	15.608
20.441	15.606
20.346	15.601
20.254	15.592
20.164	15.580
20.076	15.564
19.990	15.544
19.907	15.520
19.826	15.492
19.747	15.461
19.671	15.425
19.597	15.385
19.525	15.340
19.456	15.291
19.389	15.238
19.325	15.181
19.262	15.120
19.202	15.056
19.144	14.988
19.087	14.918
19.031	14.846
18.978	14.772
18.925	14.696
18.874	14.619
18.824	14.542
18.774	14.464
18.726	14.385
18.678	14.307
18.630	14.230
18.583	14.153
18.536	14.078
18.489	14.005
18.442	13.933
18.395	13.864
18.347	13.797
18.300	13.733
18.252	13.671
18.205	13.610
18.158	13.551
18.112	13.492
18.066	13.434
18.021	13.377
17.977	13.320
17.934	13.262
17.892	13.204
17.852	13.146
17.814	13.086
17.777	13.024
17.742	12.961
17.709	12.895
17.679	12.828
17.650	12.757
17.624	12.685
17.600	12.611
17.578	12.536
17.558	12.460
17.540	12.383
17.523	12.306
17.508	12.229
17.495	12.153
17.483	12.077
17.473	12.002
17.464	11.929
17.457	11.857
17.451	11.788
17.445	11.721
17.441	11.657
17.438	11.596
17.436	11.539
17.435	11.484
17.434	11.432
17.434	11.383
17.434	11.336
17.435	11.291
17.436	11.249
17.438	11.208
17.439	11.169
17.441	11.132
17.442	11.096
17.444	11.061
17.444	11.027
17.445	10.992
17.445	10.956
17.445	10.919
17.443	10.880
17.441	10.839
17.438	10.795
17.435	10.748
17.433	10.700
17.432	10.650
17.433	10.600
17.438	10.550
17.447	10.501
17.461	10.452
17.481	10.406
17.508	10.362
17.542	10.322
