X	Y
15.551	8.456
15.571	8.414
15.595	8.372
15.625	8.330
15.658	8.288
15.697	8.245
15.739	8.203
15.785	8.160
15.835	8.116
15.888	8.072
15.945	8.028
16.004	7.983
16.066	7.937
16.130	7.891
16.196	7.844
16.265	7.797
16.334	7.748
16.406	7.699
16.478	7.649
16.551	7.597
16.625	7.545
16.700	7.492
16.774	7.437
16.849	7.382
16.923	7.325
16.996	7.267
17.070	7.208
17.143	7.148
17.216	7.087
17.289	7.025
17.362	6.962
17.434	6.899
17.506	6.834
17.578	6.769
17.650	6.703
17.722	6.637
17.793	6.571
17.864	6.503
17.935	6.436
18.006	6.368
18.077	6.300
18.148	6.231
18.219	6.163
18.290	6.094
18.360	6.026
18.431	5.957
18.501	5.889
18.572	5.820
18.642	5.752
18.712	5.684
18.783	5.617
18.853	5.550
18.924	5.483
18.994	5.417
19.065	5.351
19.135	5.286
19.206	5.221
19.277	5.157
19.347	5.093
19.418	5.030
19.488	4.968
19.558	4.905
19.629	4.844
19.699	4.782
19.769	4.721
19.838	4.660
19.908	4.600
19.977	4.540
20.046	4.480
20.115	4.420
20.183	4.361
20.251	4.302
20.319	4.243
20.387	4.184
20.454	4.126
20.520	4.067
20.586	4.009
20.652	3.951
20.717	3.893
20.782	3.834
20.846	3.776
20.910	3.718
20.973	3.660
21.036	3.602
21.098	3.544
21.159	3.486
21.221	3.428
21.282	3.370
21.342	3.312
21.403	3.255
21.463	3.197
21.523	3.139
21.583	3.082
21.643	3.025
21.703	2.968
21.763	2.911
21.824	2.854
21.884	2.798
21.945	2.742
22.006	2.686
22.068	2.630
22.130	2.575
22.193	2.520
22.256	2.466
22.320	2.412
22.384	2.358
22.449	2.305
22.515	2.252
22.582	2.199
22.650	2.147
22.718	2.095
22.788	2.045
22.858	1.994
22.928	1.944
22.999	1.895
23.071	1.847
23.142	1.799
23.215	1.753
23.287	1.707
23.359	1.662
23.432	1.618
23.504	1.575
23.577	1.533
23.649	1.492
23.721	1.452
23.792	1.414
23.864	1.376
23.934	1.340
24.005	1.305
24.074	1.272
24.143	1.239
24.211	1.209
24.279	1.180
24.345	1.152
24.410	1.126
24.475	1.101
24.538	1.078
24.600	1.057
24.662	1.037
24.722	1.018
24.782	1.002
24.841	0.987
24.899	0.973
24.957	0.961
25.013	0.950
25.069	0.941
25.125	0.933
25.180	0.927
25.234	0.923
25.288	0.920
25.341	0.918
25.394	0.918
25.446	0.919
25.498	0.922
25.549	0.927
25.600	0.933
25.650	0.941
25.699	0.951
25.746	0.963
25.793	0.977
25.839	0.994
25.883	1.013
25.925	1.034
25.966	1.058
26.005	1.085
26.041	1.115
26.076	1.148
26.109	1.184
26.139	1.223
26.167	1.265
26.193	1.310
26.217	1.357
26.239	1.408
26.259	1.460
26.278	1.515
26.295	1.573
26.310	1.632
26.324	1.693
26.336	1.756
26.347	1.820
26.357	1.885
26.366	1.952
26.374	2.020
26.381	2.089
26.388	2.159
26.393	2.230
26.398	2.301
26.403	2.372
26.407	2.444
26.410	2.516
26.413	2.588
26.416	2.661
26.418	2.734
26.420	2.808
26.422	2.882
26.423	2.956
26.425	3.031
26.426	3.106
26.426	3.181
26.427	3.257
26.428	3.333
26.428	3.409
26.429	3.486
26.429	3.562
26.429	3.639
26.430	3.717
26.431	3.794
26.431	3.872
26.432	3.950
26.433	4.029
26.435	4.107
26.436	4.186
26.438	4.265
26.439	4.343
26.441	4.422
26.442	4.501
26.443	4.579
26.444	4.657
26.444	4.734
26.444	4.811
26.444	4.887
26.442	4.963
26.440	5.038
26.438	5.112
26.434	5.184
26.429	5.256
26.424	5.327
26.417	5.397
26.409	5.465
26.399	5.532
26.389	5.597
26.377	5.661
26.363	5.723
26.348	5.783
26.331	5.842
26.313	5.899
26.294	5.956
26.274	6.011
26.252	6.066
26.231	6.120
26.208	6.174
26.185	6.228
26.162	6.282
26.138	6.336
26.115	6.391
26.091	6.447
26.068	6.504
26.046	6.563
26.024	6.622
26.002	6.684
25.982	6.747
25.963	6.813
25.944	6.881
25.927	6.952
25.911	7.024
25.896	7.098
25.882	7.174
25.869	7.251
25.856	7.329
25.844	7.408
25.833	7.487
25.822	7.566
25.811	7.646
25.800	7.725
25.790	7.803
25.780	7.881
25.769	7.958
25.758	8.033
25.747	8.106
25.736	8.178
25.724	8.248
25.712	8.315
25.698	8.379
25.685	8.441
25.670	8.499
25.654	8.554
25.638	8.606
25.620	8.654
25.600	8.699
25.580	8.742
25.557	8.782
25.533	8.820
25.508	8.856
25.480	8.890
25.450	8.923
25.418	8.955
25.383	8.986
25.346	9.016
25.307	9.046
25.264	9.076
25.219	9.106
25.171	9.136
25.121	9.166
25.068	9.196
25.013	9.226
24.956	9.256
24.897	9.285
24.837	9.314
24.775	9.342
24.712	9.369
24.648	9.396
24.583	9.422
24.517	9.447
24.451	9.471
24.385	9.493
24.318	9.515
24.251	9.535
24.185	9.553
24.119	9.570
24.054	9.585
23.990	9.599
23.926	9.611
23.863	9.621
23.801	9.630
23.739	9.637
23.677	9.643
23.616	9.647
23.554	9.651
23.492	9.654
23.429	9.656
23.366	9.658
23.302	9.659
23.237	9.659
23.171	9.660
23.104	9.660
23.035	9.660
22.964	9.661
22.892	9.662
22.817	9.663
22.741	9.665
22.662	9.667
22.581	9.670
22.497	9.674
22.410	9.679
22.322	9.685
22.230	9.691
22.137	9.699
22.042	9.706
21.944	9.714
21.845	9.723
21.744	9.732
21.641	9.742
21.537	9.751
21.431	9.761
21.323	9.771
21.214	9.782
21.104	9.792
20.993	9.802
20.881	9.813
20.768	9.823
20.654	9.833
20.539	9.843
20.423	9.853
20.307	9.862
20.191	9.871
20.074	9.879
19.956	9.887
19.839	9.895
19.721	9.901
19.604	9.907
19.486	9.913
19.369	9.917
19.252	9.921
19.135	9.924
19.019	9.926
18.904	9.927
18.789	9.927
18.675	9.926
18.561	9.924
18.449	9.921
18.337	9.918
18.227	9.914
18.118	9.910
18.010	9.905
17.904	9.900
17.799	9.895
17.695	9.889
17.593	9.883
17.493	9.878
17.395	9.872
17.299	9.867
17.204	9.862
17.112	9.857
17.022	9.852
16.934	9.849
16.849	9.845
16.766	9.843
16.685	9.841
16.608	9.839
16.533	9.839
16.460	9.840
16.391	9.842
16.324	9.845
16.261	9.849
16.201	9.854
16.144	9.861
16.090	9.868
16.039	9.875
15.992	9.882
15.947	9.887
15.905	9.890
15.866	9.890
15.830	9.887
15.796	9.880
15.765	9.869
15.736	9.852
15.710	9.830
15.687	9.801
15.666	9.765
15.646	9.724
15.630	9.678
15.615	9.628
15.601	9.575
15.590	9.519
15.581	9.462
15.573	9.404
15.566	9.347
15.561	9.290
15.557	9.235
15.554	9.183
15.552	9.134
15.551	9.090
15.551	9.050
15.552	9.017
15.553	8.988
15.554	8.963
15.555	8.941
15.556	8.920
15.555	8.899
15.554	8.878
15.550	8.854
15.546	8.828
15.540	8.798
15.534	8.766
15.529	8.732
15.524	8.697
15.521	8.659
15.520	8.620
15.522	8.580
15.528	8.539
15.537	8.498
15.551	8.456
