X	Y
204.500	102.500
204.963	101.554
205.680	100.564
206.631	99.540
207.795	98.491
209.151	97.428
210.677	96.361
212.352	95.298
214.156	94.251
216.067	93.228
218.065	92.239
220.127	91.295
222.233	90.405
224.367	89.576
226.528	88.804
228.716	88.086
230.933	87.416
233.179	86.791
235.457	86.205
237.766	85.655
240.109	85.136
242.486	84.643
244.898	84.172
247.347	83.719
249.834	83.278
252.359	82.845
254.924	82.417
257.530	81.987
260.179	81.553
262.870	81.110
265.601	80.659
268.367	80.204
271.165	79.749
273.990	79.296
276.838	78.848
279.706	78.410
282.587	77.983
285.480	77.571
288.379	77.179
291.280	76.807
294.179	76.461
297.072	76.143
299.955	75.857
302.824	75.605
305.674	75.391
308.501	75.218
311.301	75.089
314.070	75.008
316.804	74.978
319.490	75.004
322.115	75.092
324.668	75.246
327.134	75.473
329.500	75.778
331.753	76.167
333.880	76.645
335.868	77.218
337.703	77.890
339.373	78.668
340.864	79.558
342.162	80.564
343.256	81.693
344.133	82.947
344.797	84.315
345.259	85.777
345.530	87.310
345.622	88.896
345.547	90.513
345.315	92.141
344.939	93.758
344.429	95.345
343.797	96.880
343.054	98.345
342.207	99.731
341.261	101.041
340.220	102.279
339.089	103.449
337.870	104.552
336.570	105.593
335.191	106.574
333.739	107.500
332.217	108.372
330.630	109.195
328.982	109.971
327.275	110.702
325.511	111.391
323.692	112.037
321.820	112.643
319.895	113.209
317.920	113.736
315.896	114.227
313.825	114.682
311.708	115.102
309.546	115.489
307.343	115.844
305.098	116.168
302.815	116.462
300.493	116.728
298.137	116.969
295.748	117.186
293.329	117.385
290.884	117.566
288.415	117.734
285.924	117.892
283.415	118.042
280.890	118.187
278.352	118.331
275.804	118.476
273.249	118.626
270.688	118.783
268.126	118.951
265.564	119.133
263.007	119.331
260.455	119.548
257.913	119.786
255.387	120.037
252.881	120.295
250.402	120.553
247.954	120.805
245.543	121.044
243.175	121.263
240.855	121.455
238.589	121.614
236.382	121.733
234.240	121.805
232.168	121.824
230.172	121.782
228.257	121.673
226.428	121.491
224.690	121.232
223.036	120.903
221.460	120.514
219.955	120.078
218.514	119.602
217.129	119.099
215.795	118.577
214.503	118.048
213.248	117.522
212.021	117.009
210.822	116.515
209.670	116.028
208.593	115.531
207.617	115.008
206.769	114.441
206.074	113.815
205.559	113.112
205.243	112.319
205.091	111.450
205.047	110.530
205.058	109.581
205.068	108.628
205.022	107.695
204.876	106.801
204.662	105.943
204.448	105.101
204.304	104.258
204.299	103.397
204.500	102.500
