X	Y
205.500	112.500
206.756	111.855
208.389	111.387
210.370	111.085
212.665	110.939
215.242	110.935
218.072	111.064
221.121	111.313
224.357	111.672
227.750	112.129
231.268	112.672
234.879	113.290
238.550	113.973
242.252	114.707
245.951	115.483
249.616	116.289
253.215	117.113
256.718	117.944
260.091	118.770
263.320	119.585
266.410	120.389
269.372	121.181
272.215	121.963
274.947	122.733
277.578	123.493
280.118	124.244
282.575	124.984
284.959	125.715
287.279	126.437
289.545	127.150
291.765	127.854
293.948	128.550
296.105	129.238
298.244	129.919
300.372	130.593
302.484	131.267
304.567	131.948
306.612	132.645
308.607	133.366
310.541	134.118
312.404	134.909
314.184	135.747
315.871	136.641
317.453	137.597
318.921	138.625
320.262	139.731
321.466	140.920
322.522	142.186
323.419	143.521
324.147	144.918
324.696	146.371
325.053	147.871
325.208	149.412
325.151	150.987
324.871	152.588
324.369	154.205
323.660	155.820
322.762	157.417
321.693	158.980
320.469	160.490
319.109	161.932
317.629	163.288
316.047	164.541
314.380	165.676
312.646	166.673
310.861	167.519
309.033	168.218
307.162	168.786
305.250	169.241
303.297	169.601
301.303	169.884
299.271	170.107
297.200	170.288
295.092	170.445
292.946	170.595
290.765	170.757
288.548	170.947
286.298	171.181
284.023	171.456
281.738	171.755
279.456	172.064
277.190	172.368
274.953	172.653
272.760	172.904
270.624	173.106
268.557	173.244
266.575	173.304
264.689	173.270
262.914	173.128
261.263	172.864
259.727	172.476
258.275	171.978
256.876	171.384
255.496	170.710
254.104	169.969
252.668	169.175
251.155	168.344
249.533	167.489
247.769	166.625
245.838	165.765
243.752	164.911
241.536	164.062
239.218	163.216
236.824	162.372
234.381	161.529
231.914	160.684
229.451	159.837
227.017	158.985
224.641	158.128
222.347	157.264
220.163	156.392
218.115	155.509
216.229	154.616
214.528	153.708
213.006	152.778
211.648	151.816
210.440	150.810
209.367	149.750
208.413	148.627
207.564	147.429
206.805	146.146
206.120	144.767
205.497	143.286
204.934	141.719
204.435	140.093
204.003	138.434
203.643	136.771
203.357	135.129
203.151	133.535
203.026	132.017
202.988	130.601
203.039	129.313
203.167	128.154
203.346	127.100
203.552	126.128
203.759	125.216
203.941	124.340
204.073	123.477
204.148	122.609
204.171	121.719
204.146	120.792
204.079	119.811
203.974	118.762
203.857	117.644
203.794	116.499
203.855	115.368
204.112	114.296
204.637	113.325
205.500	112.500
