X	Y
77.572	142.284
77.624	142.123
77.689	141.952
77.765	141.770
77.852	141.578
77.950	141.377
78.058	141.167
78.176	140.948
78.302	140.721
78.437	140.486
78.580	140.244
78.730	139.995
78.887	139.740
79.050	139.479
79.220	139.212
79.394	138.940
79.574	138.664
79.757	138.383
79.945	138.099
80.135	137.811
80.329	137.521
80.524	137.228
80.721	136.933
80.920	136.637
81.118	136.339
81.318	136.041
81.517	135.742
81.718	135.442
81.918	135.142
82.120	134.841
82.322	134.540
82.526	134.238
82.731	133.935
82.936	133.632
83.144	133.329
83.352	133.026
83.562	132.722
83.774	132.418
83.988	132.114
84.204	131.810
84.421	131.505
84.641	131.201
84.863	130.897
85.087	130.593
85.314	130.289
85.543	129.986
85.775	129.682
86.010	129.379
86.248	129.077
86.489	128.774
86.733	128.472
86.980	128.171
87.231	127.870
87.485	127.570
87.742	127.271
88.004	126.972
88.269	126.674
88.538	126.377
88.810	126.081
89.085	125.786
89.363	125.493
89.645	125.201
89.929	124.910
90.217	124.621
90.506	124.334
90.799	124.049
91.093	123.765
91.390	123.484
91.690	123.205
91.991	122.928
92.294	122.653
92.598	122.382
92.905	122.112
93.213	121.846
93.522	121.583
93.832	121.322
94.144	121.065
94.456	120.811
94.769	120.560
95.083	120.313
95.398	120.069
95.713	119.830
96.028	119.593
96.344	119.361
96.660	119.133
96.975	118.909
97.290	118.690
97.606	118.475
97.920	118.264
98.234	118.058
98.548	117.857
98.861	117.660
99.174	117.467
99.486	117.279
99.797	117.096
100.108	116.917
100.419	116.743
100.728	116.573
101.038	116.408
101.347	116.247
101.655	116.090
101.963	115.938
102.270	115.791
102.576	115.648
102.882	115.510
103.187	115.376
103.492	115.246
103.796	115.121
104.100	115.000
104.402	114.884
104.705	114.772
105.006	114.665
105.307	114.562
105.607	114.463
105.907	114.369
106.206	114.279
106.504	114.194
106.802	114.113
107.098	114.036
107.394	113.964
107.689	113.896
107.983	113.832
108.276	113.773
108.567	113.718
108.858	113.667
109.147	113.621
109.434	113.579
109.720	113.541
110.005	113.508
110.288	113.479
110.569	113.454
110.849	113.434
111.126	113.418
111.402	113.406
111.676	113.398
111.947	113.395
112.217	113.395
112.484	113.400
112.749	113.410
113.012	113.423
113.272	113.441
113.529	113.464
113.782	113.492
114.030	113.526
114.272	113.566
114.509	113.612
114.738	113.666
114.960	113.728
115.174	113.798
115.378	113.876
115.573	113.964
115.758	114.061
115.931	114.168
116.092	114.286
116.241	114.415
116.377	114.555
116.498	114.708
116.605	114.873
116.697	115.050
116.774	115.239
116.838	115.439
116.889	115.648
116.928	115.867
116.955	116.094
116.972	116.328
116.978	116.568
116.974	116.814
116.962	117.064
116.942	117.318
116.914	117.575
116.879	117.835
116.839	118.095
116.792	118.355
116.741	118.615
116.686	118.874
116.628	119.130
116.566	119.383
116.503	119.633
116.438	119.878
116.371	120.120
116.303	120.360
116.233	120.597
