X	Y
77.710	144.782
77.878	144.637
78.084	144.508
78.326	144.394
78.602	144.294
78.910	144.208
79.248	144.134
79.613	144.072
80.003	144.020
80.416	143.979
80.849	143.947
81.301	143.924
81.769	143.908
82.250	143.899
82.743	143.896
83.245	143.898
83.755	143.904
84.269	143.914
84.785	143.926
85.301	143.940
85.816	143.955
86.327	143.971
86.835	143.987
87.338	144.005
87.838	144.025
88.333	144.046
88.825	144.070
89.312	144.097
89.794	144.126
90.271	144.159
90.744	144.195
91.212	144.236
91.674	144.281
92.131	144.330
92.583	144.385
93.028	144.445
93.469	144.511
93.903	144.583
94.331	144.661
94.752	144.746
95.168	144.838
95.576	144.938
95.978	145.045
96.373	145.161
96.761	145.285
97.142	145.416
97.516	145.554
97.881	145.700
98.239	145.853
98.589	146.012
98.931	146.177
99.265	146.349
99.590	146.526
99.906	146.709
100.214	146.897
100.513	147.090
100.802	147.288
101.082	147.490
101.352	147.696
101.613	147.906
101.864	148.119
102.105	148.336
102.337	148.557
102.560	148.781
102.776	149.010
102.985	149.244
103.189	149.482
103.387	149.726
103.582	149.976
103.774	150.231
103.963	150.494
104.151	150.762
104.338	151.038
104.526	151.322
104.715	151.613
104.906	151.912
105.100	152.219
105.296	152.535
105.494	152.857
105.690	153.185
105.882	153.515
106.069	153.848
106.248	154.180
106.417	154.511
106.574	154.839
106.716	155.162
106.842	155.478
106.949	155.787
107.035	156.086
107.098	156.373
107.135	156.648
107.146	156.908
107.126	157.152
107.077	157.378
107.002	157.590
106.907	157.787
106.798	157.973
106.680	158.150
106.558	158.318
106.439	158.481
106.327	158.641
106.229	158.798
106.149	158.956
106.092	159.116
106.057	159.276
106.041	159.438
106.042	159.600
106.058	159.762
106.087	159.923
106.127	160.082
106.176	160.240
106.232	160.396
106.294	160.550
106.361	160.703
106.432	160.856
106.505	161.008
106.580	161.161
106.655	161.314
106.729	161.468
106.800	161.623
106.863	161.779
106.912	161.934
106.942	162.087
106.947	162.237
106.923	162.383
106.863	162.525
106.764	162.661
106.629	162.792
106.464	162.920
106.276	163.047
106.070	163.174
105.853	163.302
105.632	163.433
105.412	163.568
105.199	163.710
105.000	163.860
104.821	164.018
104.669	164.188
104.543	164.366
104.441	164.553
104.361	164.745
104.301	164.941
104.259	165.138
104.231	165.334
104.216	165.527
104.212	165.716
104.216	165.897
104.226	166.070
104.243	166.236
104.267	166.396
104.299	166.552
104.339	166.705
104.387	166.857
104.444	167.010
104.511	167.164
104.586	167.320
104.669	167.479
104.755	167.640
104.843	167.801
104.930	167.963
105.014	168.125
105.092	168.287
105.161	168.447
105.220	168.605
105.265	168.760
105.294	168.912
105.306	169.058
105.296	169.198
105.264	169.329
105.206	169.452
105.121	169.564
105.010	169.668
104.878	169.764
104.726	169.855
104.560	169.942
104.383	170.029
104.198	170.117
104.009	170.208
103.820	170.304
103.634	170.407
103.454	170.518
103.282	170.638
103.122	170.768
102.975	170.907
102.845	171.058
102.733	171.219
102.643	171.394
102.578	171.581
102.538	171.781
102.526	171.996
102.540	172.222
102.578	172.459
102.639	172.706
102.720	172.962
102.821	173.225
102.939	173.493
103.074	173.766
103.222	174.043
103.383	174.321
103.555	174.600
