X	Y
357.000	161.000
357.468	159.816
358.015	158.639
358.637	157.470
359.334	156.308
360.103	155.152
360.942	154.001
361.851	152.857
362.826	151.717
363.866	150.582
364.969	149.451
366.134	148.324
367.358	147.201
368.639	146.080
369.976	144.961
371.367	143.845
372.810	142.730
374.304	141.616
375.845	140.503
377.433	139.390
379.066	138.277
380.741	137.164
382.459	136.051
384.217	134.938
386.014	133.827
387.849	132.716
389.721	131.607
391.628	130.499
393.569	129.394
395.543	128.291
397.549	127.190
399.585	126.093
401.649	124.999
403.742	123.908
405.860	122.821
408.004	121.738
410.171	120.660
412.361	119.587
414.572	118.518
416.803	117.456
419.053	116.398
421.320	115.347
423.602	114.303
425.900	113.265
428.211	112.233
430.534	111.209
432.868	110.193
435.211	109.185
437.563	108.184
439.922	107.193
442.288	106.209
444.660	105.233
447.040	104.264
449.426	103.301
451.820	102.345
454.220	101.394
456.628	100.448
459.043	99.506
461.466	98.569
463.896	97.634
466.333	96.703
468.778	95.774
471.230	94.846
473.690	93.920
476.158	92.995
478.634	92.069
481.117	91.144
483.609	90.217
486.108	89.290
488.616	88.360
491.132	87.428
493.655	86.493
496.188	85.554
498.728	84.612
501.277	83.664
503.834	82.712
506.400	81.754
508.975	80.790
511.558	79.820
514.150	78.842
516.751	77.856
519.361	76.862
521.979	75.861
524.603	74.853
527.231	73.843
529.861	72.834
532.491	71.827
535.117	70.826
537.738	69.834
540.351	68.854
542.954	67.888
545.545	66.940
548.122	66.011
550.681	65.106
553.221	64.226
555.740	63.375
558.234	62.555
560.702	61.770
563.142	61.022
565.551	60.314
567.926	59.649
570.266	59.030
572.568	58.459
574.830	57.940
577.049	57.475
579.224	57.067
581.351	56.719
583.428	56.434
585.454	56.214
587.426	56.063
589.341	55.984
591.197	55.978
592.993	56.049
594.725	56.198
596.394	56.424
597.999	56.726
599.538	57.103
601.010	57.553
602.416	58.077
603.753	58.673
605.021	59.340
606.219	60.077
607.346	60.883
608.402	61.758
609.384	62.700
610.293	63.708
611.127	64.782
611.886	65.921
612.569	67.123
613.174	68.387
613.703	69.713
614.157	71.098
614.542	72.539
614.858	74.033
615.112	75.580
615.304	77.175
615.439	78.817
615.519	80.503
615.549	82.231
615.531	83.998
615.468	85.802
615.364	87.640
615.222	89.510
615.046	91.410
614.838	93.337
614.601	95.288
614.340	97.261
614.057	99.255
613.756	101.265
613.439	103.291
613.110	105.329
612.772	107.376
612.425	109.431
612.066	111.489
611.693	113.547
611.303	115.603
610.893	117.651
610.462	119.690
610.007	121.715
609.525	123.724
609.014	125.712
608.472	127.678
607.895	129.616
607.281	131.524
606.629	133.399
605.935	135.236
605.197	137.034
604.413	138.788
603.579	140.495
602.694	142.151
601.756	143.754
600.761	145.299
599.707	146.784
598.591	148.206
597.412	149.560
596.167	150.843
594.856	152.058
593.483	153.206
592.049	154.290
590.557	155.316
589.010	156.285
587.410	157.201
585.761	158.067
584.063	158.887
582.321	159.663
580.536	160.400
578.711	161.100
576.848	161.766
574.951	162.403
573.021	163.013
571.062	163.600
569.075	164.167
567.063	164.716
565.030	165.253
562.977	165.779
560.906	166.298
558.822	166.814
556.725	167.329
554.619	167.847
552.506	168.371
550.386	168.903
548.260	169.441
546.128	169.986
543.988	170.538
541.842	171.096
539.689	171.660
537.528	172.230
535.360	172.806
533.184	173.387
531.000	173.974
528.808	174.566
526.608	175.163
524.400	175.765
522.182	176.371
519.957	176.982
517.722	177.597
515.478	178.216
513.225	178.839
510.962	179.465
508.690	180.095
506.408	180.729
504.116	181.365
501.814	182.004
499.501	182.646
497.178	183.290
494.844	183.937
492.499	184.586
490.143	185.237
487.776	185.888
485.401	186.540
483.017	187.191
480.626	187.838
478.231	188.481
475.831	189.119
473.429	189.749
471.026	190.371
468.623	190.983
466.222	191.584
463.824	192.172
461.430	192.746
459.042	193.305
456.661	193.847
454.289	194.371
451.926	194.875
449.575	195.358
447.236	195.819
444.911	196.256
442.602	196.668
440.309	197.053
438.035	197.411
435.779	197.739
433.545	198.036
431.333	198.301
429.144	198.533
426.980	198.730
424.843	198.891
422.733	199.014
420.651	199.098
418.597	199.145
416.569	199.157
414.566	199.134
412.586	199.078
410.628	198.991
408.690	198.873
406.772	198.727
404.871	198.554
402.988	198.355
401.119	198.132
399.265	197.886
397.423	197.619
395.592	197.332
393.771	197.026
391.959	196.704
390.153	196.365
388.354	196.013
386.559	195.648
384.767	195.272
382.977	194.886
381.188	194.491
379.398	194.090
377.606	193.683
375.818	193.270
374.044	192.850
372.292	192.422
370.570	191.985
368.888	191.537
367.254	191.079
365.678	190.608
364.167	190.124
362.731	189.625
361.379	189.111
360.119	188.580
358.961	188.032
357.912	187.465
356.982	186.879
356.180	186.272
355.514	185.643
354.994	184.991
354.622	184.315
354.385	183.614
354.263	182.886
354.237	182.129
354.287	181.343
354.395	180.526
354.540	179.675
354.705	178.791
354.868	177.870
355.012	176.913
355.122	175.917
355.204	174.887
355.265	173.825
355.315	172.735
355.362	171.619
355.414	170.482
355.478	169.326
355.564	168.156
355.680	166.973
355.835	165.782
356.035	164.586
356.291	163.388
356.610	162.192
357.000	161.000
