X	Y
355.000	186.000
356.003	185.003
357.210	184.100
358.612	183.289
360.201	182.565
361.969	181.923
363.908	181.360
366.010	180.872
368.266	180.454
370.668	180.103
373.208	179.815
375.878	179.584
378.669	179.408
381.574	179.282
384.584	179.203
387.691	179.165
390.886	179.165
394.163	179.199
397.511	179.262
400.924	179.352
404.393	179.463
407.909	179.591
411.465	179.733
415.053	179.885
418.663	180.041
422.289	180.199
425.921	180.354
429.552	180.502
433.173	180.639
436.777	180.760
440.354	180.863
443.897	180.942
447.397	180.994
450.848	181.015
454.248	181.005
457.597	180.967
460.897	180.902
464.148	180.812
467.352	180.699
470.510	180.565
473.622	180.412
476.690	180.242
479.715	180.057
482.696	179.858
485.637	179.648
488.536	179.428
491.397	179.201
494.218	178.967
497.002	178.730
499.749	178.492
502.461	178.253
505.137	178.016
507.780	177.783
510.390	177.556
512.969	177.336
515.516	177.126
518.034	176.928
520.523	176.743
522.984	176.573
525.417	176.420
527.825	176.287
530.208	176.175
532.567	176.086
534.903	176.021
537.217	175.984
539.508	175.975
541.773	175.995
544.011	176.048
546.220	176.132
548.396	176.252
550.538	176.406
552.644	176.598
554.710	176.829
556.735	177.099
558.716	177.411
560.652	177.765
562.539	178.164
564.376	178.609
566.160	179.100
567.888	179.641
569.560	180.231
571.171	180.872
572.721	181.567
574.206	182.316
575.624	183.120
576.974	183.982
578.252	184.902
579.457	185.877
580.589	186.904
581.646	187.980
582.626	189.101
583.529	190.265
584.353	191.468
585.096	192.707
585.759	193.977
586.338	195.278
586.834	196.603
587.245	197.952
587.569	199.320
587.805	200.703
587.953	202.100
588.010	203.505
587.978	204.918
587.858	206.337
587.655	207.760
587.370	209.186
587.007	210.614
586.569	212.044
586.058	213.473
585.478	214.900
584.831	216.325
584.120	217.746
583.349	219.163
582.520	220.573
581.636	221.975
580.700	223.369
579.714	224.754
578.683	226.127
577.609	227.488
576.494	228.837
575.343	230.173
574.159	231.497
572.945	232.810
571.705	234.113
570.443	235.404
569.161	236.686
567.864	237.958
566.555	239.221
565.237	240.475
563.914	241.721
562.589	242.959
561.266	244.190
559.949	245.414
558.640	246.632
557.344	247.843
556.064	249.050
554.803	250.251
553.565	251.447
552.353	252.639
551.167	253.826
550.002	255.007
548.855	256.180
547.721	257.343
546.596	258.494
545.476	259.632
544.356	260.756
543.233	261.863
542.103	262.953
540.960	264.022
539.802	265.071
538.623	266.096
537.420	267.097
536.188	268.072
534.924	269.019
533.623	269.936
532.280	270.822
530.893	271.676
529.460	272.497
527.981	273.286
526.456	274.044
524.886	274.771
523.271	275.468
521.610	276.136
519.905	276.775
518.155	277.386
516.360	277.970
514.521	278.527
512.638	279.058
510.711	279.563
508.740	280.044
506.725	280.500
504.667	280.934
502.565	281.344
500.421	281.732
498.233	282.098
496.003	282.444
493.730	282.769
491.415	283.075
489.059	283.362
486.664	283.629
484.235	283.878
481.775	284.107
479.288	284.317
476.776	284.508
474.243	284.679
471.694	284.832
469.130	284.965
466.556	285.079
463.974	285.174
461.390	285.249
458.805	285.306
456.223	285.342
453.649	285.360
451.084	285.358
448.533	285.337
445.999	285.296
443.486	285.236
440.997	285.157
438.535	285.058
436.103	284.939
433.707	284.802
431.348	284.644
429.030	284.467
426.756	284.271
424.531	284.055
422.357	283.820
420.233	283.564
418.158	283.286
416.128	282.985
414.142	282.660
412.196	282.310
410.290	281.934
408.420	281.529
406.584	281.096
404.779	280.632
403.004	280.137
401.255	279.609
399.531	279.047
397.830	278.451
396.148	277.818
394.483	277.147
392.834	276.438
391.197	275.689
389.571	274.899
387.952	274.066
386.339	273.190
384.730	272.270
383.127	271.305
381.534	270.296
379.953	269.245
378.390	268.152
376.849	267.018
375.332	265.844
373.844	264.631
372.388	263.379
370.969	262.091
369.590	260.765
368.256	259.404
366.969	258.008
365.734	256.578
364.555	255.115
363.435	253.619
362.379	252.092
361.389	250.535
360.471	248.948
359.627	247.332
358.862	245.688
358.177	244.019
357.569	242.329
357.034	240.625
356.569	238.913
356.168	237.200
355.827	235.490
355.544	233.790
355.314	232.105
355.132	230.443
354.996	228.809
354.900	227.209
354.841	225.648
354.815	224.134
354.818	222.672
354.846	221.268
354.894	219.927
354.959	218.657
355.037	217.462
355.122	216.340
355.209	215.277
355.292	214.260
355.363	213.274
355.416	212.307
355.446	211.343
355.446	210.370
355.409	209.374
355.330	208.340
355.202	207.256
355.020	206.108
354.778	204.884
354.492	203.592
354.178	202.243
353.856	200.849
353.544	199.423
353.260	197.976
353.022	196.520
352.850	195.068
352.760	193.631
352.772	192.221
352.904	190.851
353.175	189.531
353.602	188.275
354.204	187.094
355.000	186.000
