X	Y
343.000	196.000
343.156	195.135
343.417	194.220
343.781	193.253
344.245	192.234
344.803	191.163
345.454	190.040
346.194	188.864
347.019	187.634
347.927	186.351
348.912	185.014
349.973	183.622
351.106	182.176
352.307	180.675
353.573	179.118
354.900	177.505
356.286	175.837
357.726	174.111
359.218	172.328
360.757	170.488
362.341	168.591
363.966	166.636
365.630	164.626
367.331	162.565
369.066	160.455
370.832	158.299
372.628	156.100
374.451	153.860
376.298	151.583
378.168	149.271
380.057	146.927
381.964	144.554
383.886	142.155
385.821	139.733
387.766	137.291
389.719	134.831
391.677	132.356
393.638	129.869
395.601	127.373
397.561	124.871
399.518	122.366
401.468	119.860
403.410	117.356
405.340	114.858
407.257	112.367
409.158	109.888
411.041	107.422
412.903	104.973
414.742	102.543
416.556	100.136
418.342	97.753
420.097	95.399
421.820	93.075
423.508	90.785
425.159	88.532
426.770	86.318
428.339	84.145
429.869	82.015
431.361	79.925
432.818	77.876
434.244	75.866
435.641	73.894
437.012	71.960
438.359	70.063
439.686	68.201
440.995	66.374
442.289	64.582
443.571	62.823
444.843	61.096
446.109	59.400
447.371	57.736
448.632	56.101
449.894	54.495
451.161	52.917
452.435	51.366
453.720	49.842
455.017	48.343
456.330	46.869
457.661	45.418
459.013	43.991
460.389	42.585
461.793	41.201
463.225	39.837
464.687	38.494
466.177	37.173
467.696	35.874
469.242	34.599
470.815	33.349
472.414	32.123
474.038	30.924
475.688	29.752
477.362	28.608
479.059	27.493
480.779	26.407
482.522	25.352
484.286	24.328
486.072	23.336
487.878	22.378
489.703	21.453
491.548	20.563
493.411	19.709
495.292	18.892
497.190	18.112
499.105	17.371
501.035	16.668
502.981	16.006
504.941	15.385
506.911	14.805
508.889	14.266
510.869	13.768
512.849	13.313
514.823	12.899
516.789	12.527
518.742	12.198
520.679	11.911
522.595	11.667
524.487	11.465
526.351	11.306
528.182	11.191
529.978	11.119
531.733	11.091
533.445	11.106
535.109	11.165
536.721	11.268
538.278	11.416
539.776	11.608
541.210	11.845
542.577	12.126
543.875	12.455
545.102	12.835
546.260	13.272
547.347	13.769
548.364	14.332
549.310	14.966
550.185	15.674
550.989	16.462
551.721	17.334
552.381	18.296
552.969	19.351
553.484	20.504
553.927	21.760
554.297	23.123
554.597	24.590
554.828	26.158
554.995	27.822
555.098	29.577
555.141	31.419
555.128	33.343
555.059	35.344
554.939	37.419
554.769	39.563
554.553	41.770
554.294	44.038
553.993	46.360
553.653	48.733
553.278	51.153
552.870	53.613
552.431	56.111
551.965	58.642
551.474	61.201
550.960	63.783
550.427	66.384
549.877	69.000
549.313	71.626
548.738	74.257
548.153	76.889
547.562	79.518
546.968	82.139
546.373	84.748
545.778	87.345
545.182	89.930
544.587	92.503
543.993	95.064
543.401	97.614
542.811	100.152
542.223	102.679
541.638	105.194
541.057	107.698
540.479	110.192
539.906	112.674
539.338	115.146
538.775	117.607
538.218	120.058
537.667	122.499
537.123	124.929
536.586	127.349
536.057	129.759
535.536	132.160
535.024	134.550
534.521	136.932
534.028	139.303
533.545	141.666
533.072	144.019
532.611	146.364
532.161	148.699
531.723	151.026
531.297	153.344
530.885	155.653
530.484	157.953
530.092	160.242
529.705	162.517
529.319	164.776
528.931	167.015
528.536	169.234
528.132	171.429
527.714	173.598
527.278	175.739
526.822	177.849
526.341	179.926
525.831	181.967
525.290	183.971
524.713	185.933
524.096	187.853
523.437	189.728
522.730	191.555
521.973	193.332
521.162	195.057
520.292	196.727
519.362	198.339
518.365	199.892
517.300	201.383
516.162	202.809
514.949	204.169
513.662	205.463
512.306	206.694
510.885	207.864
509.403	208.974
507.865	210.027
506.273	211.026
504.633	211.971
502.948	212.865
501.223	213.711
499.462	214.510
497.669	215.264
495.848	215.976
494.003	216.647
492.138	217.280
490.258	217.877
488.366	218.439
486.466	218.969
484.564	219.469
482.662	219.941
480.766	220.388
478.878	220.810
477.004	221.211
475.143	221.591
473.293	221.950
471.451	222.289
469.613	222.608
467.777	222.906
465.940	223.185
464.100	223.443
462.252	223.682
460.394	223.902
458.523	224.102
456.637	224.282
454.731	224.444
452.804	224.586
450.853	224.710
448.873	224.814
446.863	224.900
444.820	224.968
442.740	225.017
440.621	225.049
438.460	225.062
436.253	225.057
433.998	225.034
431.692	224.994
429.334	224.936
426.929	224.861
424.482	224.769
421.999	224.661
419.487	224.536
416.949	224.395
414.394	224.239
411.825	224.067
409.249	223.880
406.672	223.679
404.099	223.463
401.535	223.233
398.988	222.989
396.462	222.732
393.963	222.461
391.496	222.177
389.069	221.881
386.685	221.573
384.352	221.252
382.074	220.920
379.857	220.577
377.708	220.222
375.632	219.857
373.634	219.481
371.720	219.095
369.896	218.699
368.168	218.294
366.542	217.880
365.017	217.457
363.588	217.031
362.245	216.604
360.980	216.181
359.786	215.765
358.653	215.360
357.574	214.969
356.540	214.597
355.543	214.248
354.574	213.925
353.626	213.632
352.691	213.372
351.759	213.150
350.822	212.969
349.880	212.828
348.947	212.709
348.038	212.597
347.171	212.472
346.362	212.318
345.627	212.117
344.984	211.850
344.447	211.502
344.035	211.052
343.758	210.490
343.602	209.823
343.546	209.070
343.565	208.249
343.637	207.376
343.740	206.471
343.849	205.549
343.944	204.630
343.999	203.730
343.994	202.868
343.916	202.053
343.782	201.277
343.611	200.529
343.426	199.798
343.247	199.072
343.094	198.341
342.988	197.592
342.950	196.816
343.000	196.000
