X	Y
345.000	209.000
345.787	208.139
346.877	207.411
348.254	206.810
349.899	206.329
351.795	205.963
353.925	205.706
356.271	205.551
358.817	205.492
361.545	205.524
364.437	205.640
367.476	205.834
370.645	206.100
373.926	206.433
377.302	206.825
380.756	207.272
384.270	207.766
387.827	208.303
391.410	208.875
395.001	209.478
398.583	210.103
402.143	210.748
405.679	211.409
409.193	212.084
412.684	212.770
416.153	213.466
419.600	214.170
423.025	214.879
426.429	215.591
429.812	216.304
433.174	217.015
436.516	217.723
439.838	218.425
443.140	219.120
446.423	219.804
449.686	220.476
452.932	221.134
456.158	221.776
459.367	222.398
462.558	223.000
465.732	223.578
468.888	224.131
472.028	224.657
475.152	225.153
478.259	225.617
481.351	226.047
484.425	226.443
487.473	226.811
490.488	227.158
493.459	227.491
496.379	227.818
499.237	228.144
502.026	228.479
504.735	228.827
507.358	229.198
509.883	229.597
512.304	230.032
514.610	230.509
516.793	231.037
518.844	231.622
520.753	232.271
522.513	232.992
524.115	233.791
525.548	234.675
526.806	235.652
527.889	236.719
528.804	237.869
529.560	239.096
530.162	240.392
530.618	241.751
530.936	243.165
531.123	244.628
531.186	246.133
531.132	247.672
530.969	249.239
530.707	250.827
530.371	252.428
529.983	254.036
529.567	255.645
529.148	257.246
528.750	258.834
528.396	260.402
528.111	261.942
527.919	263.448
527.844	264.912
527.910	266.329
528.139	267.691
528.534	268.999
529.075	270.256
529.740	271.469
530.509	272.642
531.362	273.783
532.278	274.895
533.236	275.985
534.215	277.058
535.196	278.120
536.157	279.175
537.076	280.227
537.925	281.270
538.677	282.299
539.304	283.307
539.777	284.289
540.068	285.238
540.151	286.149
539.995	287.015
539.587	287.835
538.959	288.623
538.155	289.399
537.220	290.181
536.198	290.987
535.133	291.836
534.070	292.748
533.053	293.739
532.126	294.830
531.328	296.035
530.667	297.343
530.139	298.733
529.738	300.184
529.459	301.676
529.299	303.188
529.252	304.699
529.313	306.189
529.478	307.636
529.742	309.021
530.100	310.322
530.548	311.529
531.084	312.651
531.704	313.698
532.406	314.683
533.189	315.615
534.048	316.507
534.981	317.368
535.986	318.211
537.060	319.045
538.197	319.882
539.379	320.722
540.583	321.569
541.788	322.423
542.973	323.286
544.117	324.160
545.199	325.046
546.196	325.946
547.088	326.862
547.853	327.795
548.469	328.744
548.907	329.689
549.136	330.601
549.124	331.448
548.839	332.203
548.249	332.834
547.328	333.316
546.106	333.660
544.648	333.896
543.018	334.057
541.281	334.175
539.501	334.284
537.745	334.414
536.076	334.599
534.559	334.870
533.260	335.260
532.242	335.802
531.566	336.524
531.233	337.429
531.210	338.502
531.464	339.728
531.962	341.092
532.671	342.579
533.557	344.174
534.589	345.861
535.732	347.627
536.953	349.455
538.220	351.332
539.499	353.241
540.759	355.169
541.986	357.109
543.183	359.058
544.352	361.017
545.494	362.984
546.611	364.958
547.707	366.938
548.782	368.922
549.840	370.910
550.881	372.900
551.909	374.891
552.925	376.883
553.932	378.874
554.930	380.863
555.924	382.848
556.914	384.829
557.902	386.805
558.892	388.774
559.890	390.731
560.904	392.672
561.940	394.590
563.007	396.481
564.112	398.340
565.263	400.160
566.468	401.937
567.733	403.666
569.067	405.341
570.477	406.956
571.971	408.507
573.556	409.988
575.239	411.394
577.030	412.720
578.934	413.960
580.957	415.111
583.086	416.178
585.305	417.170
587.600	418.094
589.954	418.958
592.350	419.770
594.774	420.538
597.210	421.270
599.640	421.974
602.051	422.658
604.425	423.329
606.747	423.997
609.002	424.667
611.172	425.350
613.243	426.051
615.198	426.780
617.022	427.544
618.699	428.351
620.228	429.205
621.624	430.104
622.905	431.047
624.086	432.032
625.184	433.057
626.216	434.120
627.199	435.221
628.149	436.357
629.083	437.527
630.018	438.728
630.969	439.960
631.948	441.221
632.937	442.507
633.909	443.817
634.839	445.148
635.702	446.498
636.472	447.863
637.122	449.241
637.629	450.630
637.965	452.028
638.106	453.430
638.025	454.836
637.703	456.239
637.148	457.625
636.382	458.973
635.424	460.261
634.295	461.471
633.016	462.581
631.607	463.570
630.088	464.420
628.479	465.108
626.801	465.615
625.074	465.921
623.319	466.005
621.550	465.863
619.772	465.513
617.993	464.974
616.218	464.264
614.453	463.403
612.703	462.409
610.974	461.302
609.273	460.101
607.605	458.823
605.975	457.489
604.391	456.118
602.857	454.727
601.380	453.337
599.965	451.966
598.616	450.629
597.324	449.330
596.081	448.068
594.875	446.842
593.697	445.652
592.538	444.497
591.387	443.378
590.234	442.293
589.070	441.243
587.884	440.226
586.667	439.243
585.408	438.294
584.099	437.376
582.740	436.485
581.335	435.610
579.889	434.744
578.410	433.877
576.901	432.999
575.368	432.101
573.816	431.175
572.252	430.211
570.679	429.200
569.104	428.133
567.532	427.001
565.968	425.794
564.418	424.504
562.883	423.133
561.362	421.700
559.852	420.227
558.350	418.732
556.854	417.236
555.361	415.760
553.869	414.323
552.376	412.946
550.878	411.649
549.373	410.452
547.859	409.376
546.333	408.440
544.792	407.666
543.234	407.072
541.658	406.675
540.063	406.461
538.452	406.406
536.828	406.484
535.192	406.670
533.547	406.941
531.894	407.270
530.237	407.633
528.577	408.006
526.916	408.363
525.257	408.679
523.602	408.930
521.952	409.091
520.306	409.155
518.657	409.123
517.001	408.995
515.332	408.775
513.645	408.464
511.933	408.064
510.192	407.576
508.417	407.003
506.601	406.346
504.740	405.607
502.827	404.787
500.858	403.889
498.826	402.915
496.730	401.866
494.574	400.744
492.365	399.553
490.110	398.295
487.815	396.973
485.486	395.588
483.131	394.144
480.757	392.643
478.369	391.087
475.975	389.480
473.581	387.824
471.194	386.121
468.821	384.374
466.468	382.586
464.142	380.759
461.849	378.895
459.597	376.997
457.392	375.068
455.240	373.111
453.148	371.127
451.124	369.120
449.167	367.091
447.273	365.040
445.438	362.968
443.655	360.876
441.920	358.765
440.227	356.634
438.571	354.484
436.947	352.315
435.349	350.129
433.773	347.926
432.213	345.706
430.664	343.470
429.121	341.218
427.579	338.951
426.031	336.669
424.474	334.373
422.901	332.063
421.309	329.740
419.690	327.405
418.041	325.057
416.356	322.699
414.638	320.330
412.887	317.952
411.106	315.567
409.296	313.177
407.460	310.783
405.599	308.387
403.716	305.990
401.811	303.593
399.889	301.198
397.949	298.807
395.995	296.422
394.027	294.043
392.049	291.672
390.062	289.312
388.067	286.962
386.068	284.626
384.065	282.304
382.061	279.997
380.058	277.709
378.057	275.439
376.061	273.190
374.072	270.963
372.094	268.760
370.135	266.585
368.202	264.440
366.303	262.330
364.446	260.257
362.639	258.223
360.889	256.234
359.203	254.291
357.591	252.398
356.058	250.558
354.613	248.774
353.263	247.050
352.017	245.388
350.881	243.792
349.864	242.265
348.973	240.810
348.215	239.430
347.598	238.128
347.113	236.900
346.743	235.736
346.472	234.629
346.281	233.567
346.154	232.544
346.074	231.550
346.023	230.575
345.985	229.612
345.952	228.658
345.926	227.718
345.913	226.798
345.915	225.903
345.937	225.041
345.983	224.216
346.055	223.432
346.137	222.675
346.205	221.915
346.234	221.128
346.198	220.285
346.072	219.361
345.836	218.330
345.509	217.200
345.143	215.999
344.789	214.759
344.499	213.509
344.323	212.278
344.314	211.096
344.522	209.993
345.000	209.000
