X	Y
4.327	0.979
4.335	0.969
4.346	0.959
4.360	0.949
4.376	0.938
4.396	0.927
4.417	0.916
4.441	0.905
4.466	0.894
4.494	0.882
4.523	0.870
4.554	0.858
4.585	0.845
4.618	0.833
4.652	0.820
4.687	0.807
4.722	0.793
4.757	0.780
4.792	0.766
4.828	0.751
4.863	0.737
4.899	0.722
4.934	0.708
4.969	0.693
5.004	0.678
5.038	0.663
5.072	0.648
5.106	0.634
5.139	0.619
5.172	0.605
5.205	0.591
5.237	0.577
5.268	0.564
5.299	0.551
5.329	0.539
5.359	0.527
5.388	0.515
5.416	0.505
5.443	0.495
5.469	0.485
5.495	0.477
5.519	0.469
5.543	0.462
5.566	0.456
5.588	0.450
5.610	0.445
5.631	0.441
5.651	0.437
5.671	0.433
5.691	0.431
5.710	0.428
5.729	0.426
5.748	0.424
5.766	0.423
5.785	0.421
5.803	0.421
5.821	0.420
5.838	0.421
5.855	0.422
5.871	0.424
5.886	0.429
5.899	0.434
5.911	0.442
5.921	0.451
5.930	0.463
5.937	0.478
5.942	0.494
5.945	0.512
5.948	0.531
5.949	0.552
5.949	0.574
5.948	0.597
5.947	0.621
5.945	0.645
5.942	0.670
5.940	0.694
5.937	0.718
5.934	0.742
5.931	0.765
5.928	0.788
5.925	0.810
5.922	0.832
5.919	0.853
5.915	0.874
5.911	0.895
5.906	0.915
5.901	0.936
5.895	0.956
5.888	0.975
5.880	0.995
5.872	1.014
5.862	1.034
5.852	1.053
5.840	1.072
5.828	1.090
5.815	1.109
5.801	1.126
5.787	1.144
5.772	1.160
5.757	1.176
5.741	1.191
5.725	1.204
5.709	1.217
5.693	1.229
5.677	1.239
5.660	1.249
5.644	1.257
5.627	1.264
5.610	1.270
5.593	1.275
5.575	1.280
5.556	1.284
5.537	1.287
5.517	1.291
5.497	1.293
5.475	1.296
5.452	1.299
5.429	1.302
5.404	1.305
5.378	1.307
5.352	1.310
5.325	1.313
5.297	1.316
5.269	1.319
5.241	1.322
5.212	1.324
5.183	1.327
5.155	1.330
5.126	1.332
5.098	1.335
5.070	1.337
5.042	1.339
5.015	1.341
4.989	1.342
4.963	1.344
4.939	1.345
4.915	1.346
4.892	1.346
4.869	1.346
4.847	1.346
4.826	1.345
4.806	1.344
4.786	1.343
4.767	1.341
4.748	1.338
4.729	1.335
4.711	1.331
4.694	1.327
4.676	1.322
4.659	1.316
4.643	1.310
4.626	1.304
4.610	1.297
4.594	1.290
4.578	1.283
4.561	1.276
4.545	1.269
4.529	1.262
4.512	1.255
4.496	1.249
4.479	1.243
4.462	1.237
4.446	1.231
4.430	1.225
4.415	1.219
4.400	1.214
4.386	1.208
4.374	1.202
4.362	1.195
4.352	1.188
4.343	1.181
4.335	1.174
4.329	1.166
4.324	1.157
4.321	1.147
4.319	1.137
4.318	1.125
4.318	1.113
4.319	1.101
4.321	1.088
4.322	1.075
4.323	1.063
4.323	1.051
4.323	1.039
4.321	1.028
4.320	1.018
4.319	1.008
4.319	0.998
4.322	0.989
4.327	0.979
