X	Y
4.359	1.179
4.376	1.173
4.399	1.169
4.427	1.167
4.460	1.168
4.497	1.171
4.537	1.176
4.579	1.182
4.624	1.189
4.670	1.197
4.717	1.206
4.764	1.215
4.810	1.225
4.855	1.234
4.897	1.244
4.938	1.252
4.975	1.261
5.009	1.268
5.040	1.275
5.069	1.281
5.097	1.287
5.122	1.293
5.147	1.299
5.170	1.305
5.193	1.310
5.216	1.316
5.238	1.322
5.261	1.329
5.284	1.336
5.306	1.344
5.329	1.353
5.350	1.363
5.371	1.374
5.391	1.386
5.409	1.400
5.426	1.416
5.442	1.434
5.456	1.453
5.468	1.474
5.479	1.495
5.488	1.516
5.495	1.538
5.501	1.560
5.504	1.581
5.507	1.602
5.507	1.621
5.506	1.640
5.503	1.658
5.499	1.675
5.493	1.691
5.486	1.706
5.477	1.721
5.468	1.735
5.457	1.748
5.445	1.760
5.432	1.772
5.419	1.782
5.404	1.792
5.390	1.801
5.375	1.810
5.360	1.819
5.346	1.829
5.332	1.840
5.319	1.852
5.307	1.867
5.296	1.884
5.286	1.902
5.277	1.921
5.267	1.940
5.257	1.958
5.247	1.974
5.235	1.988
5.222	1.999
5.208	2.008
5.193	2.014
5.178	2.018
5.164	2.021
5.150	2.023
5.137	2.024
5.124	2.025
5.111	2.026
5.097	2.028
5.080	2.029
5.061	2.032
5.038	2.035
5.013	2.038
4.986	2.043
4.959	2.048
4.931	2.053
4.903	2.058
4.877	2.063
4.853	2.068
4.832	2.073
4.814	2.077
4.799	2.081
4.786	2.084
4.774	2.087
4.760	2.090
4.745	2.092
4.726	2.095
4.705	2.096
4.682	2.097
4.658	2.097
4.634	2.095
4.610	2.092
4.588	2.086
4.567	2.078
4.550	2.068
4.536	2.055
4.524	2.039
4.514	2.022
4.506	2.003
4.499	1.983
4.493	1.962
4.488	1.940
4.482	1.918
4.476	1.895
4.471	1.873
4.465	1.850
4.460	1.827
4.455	1.803
4.450	1.779
4.445	1.755
4.441	1.730
4.437	1.705
4.434	1.680
4.430	1.655
4.426	1.630
4.422	1.606
4.417	1.584
4.411	1.563
4.403	1.544
4.394	1.527
4.383	1.513
4.370	1.501
4.357	1.490
4.344	1.480
4.333	1.468
4.323	1.456
4.317	1.441
4.313	1.424
4.312	1.405
4.313	1.385
4.315	1.364
4.319	1.344
4.323	1.325
4.327	1.307
4.331	1.292
4.335	1.278
4.338	1.265
4.340	1.252
4.341	1.239
4.341	1.226
4.341	1.213
4.343	1.200
4.349	1.188
4.359	1.179
