X	Y
66.962	31.772
67.048	31.578
67.165	31.381
67.312	31.183
67.487	30.982
67.689	30.779
67.915	30.573
68.163	30.365
68.433	30.155
68.722	29.942
69.029	29.726
69.351	29.508
69.687	29.287
70.035	29.064
70.393	28.837
70.760	28.608
71.134	28.375
71.513	28.140
71.895	27.902
72.279	27.660
72.663	27.415
73.044	27.167
73.422	26.915
73.794	26.660
74.158	26.402
74.514	26.140
74.860	25.874
75.195	25.605
75.522	25.333
75.840	25.058
76.150	24.780
76.454	24.499
76.750	24.216
77.041	23.930
77.326	23.642
77.606	23.352
77.883	23.060
78.155	22.766
78.425	22.471
78.693	22.174
78.959	21.876
79.224	21.577
79.488	21.276
79.753	20.976
80.018	20.674
80.285	20.372
80.554	20.070
80.826	19.767
81.101	19.465
81.380	19.162
81.664	18.861
81.952	18.559
82.247	18.258
82.547	17.959
82.854	17.659
83.166	17.361
83.483	17.064
83.806	16.768
84.134	16.473
84.467	16.179
84.804	15.887
85.146	15.595
85.492	15.305
85.842	15.017
86.196	14.730
86.554	14.444
86.915	14.160
87.279	13.878
87.646	13.597
88.015	13.318
88.387	13.041
88.762	12.766
89.138	12.492
89.517	12.221
89.897	11.952
90.279	11.684
90.661	11.419
91.045	11.157
91.430	10.896
91.815	10.638
92.201	10.382
92.587	10.129
92.973	9.878
93.358	9.630
93.744	9.385
94.129	9.143
94.514	8.905
94.899	8.670
95.283	8.440
95.666	8.214
96.049	7.993
96.432	7.777
96.814	7.566
97.195	7.360
97.575	7.161
97.955	6.968
98.334	6.781
98.712	6.600
99.089	6.427
99.465	6.261
99.840	6.103
100.213	5.952
100.586	5.810
100.958	5.676
101.328	5.550
101.697	5.434
102.064	5.327
102.431	5.230
102.795	5.142
103.158	5.065
103.520	4.997
103.880	4.940
104.238	4.891
104.595	4.851
104.950	4.818
105.302	4.792
105.653	4.772
106.002	4.758
106.349	4.748
106.694	4.741
107.036	4.738
107.376	4.737
107.714	4.738
108.049	4.739
108.382	4.741
108.713	4.742
109.041	4.741
109.366	4.738
109.688	4.733
110.008	4.724
110.325	4.711
110.638	4.692
110.949	4.668
111.257	4.639
111.560	4.606
111.857	4.572
112.149	4.537
112.433	4.504
112.710	4.474
112.978	4.449
113.236	4.430
113.484	4.420
113.720	4.419
113.944	4.430
114.155	4.454
114.352	4.492
114.534	4.547
114.701	4.619
114.851	4.712
114.984	4.825
115.103	4.956
115.207	5.105
115.299	5.269
115.380	5.447
115.452	5.638
115.516	5.840
115.573	6.051
115.626	6.269
115.675	6.494
115.722	6.723
115.769	6.955
115.817	7.189
115.867	7.423
115.920	7.656
115.973	7.891
116.026	8.126
116.078	8.363
116.129	8.602
116.178	8.844
116.223	9.088
116.263	9.337
116.299	9.590
116.328	9.847
116.351	10.110
116.366	10.378
116.372	10.653
116.368	10.934
116.354	11.223
116.329	11.519
116.292	11.824
116.243	12.136
116.184	12.454
116.114	12.778
116.036	13.107
115.949	13.440
115.855	13.776
115.754	14.114
115.647	14.453
115.535	14.792
115.418	15.131
115.298	15.469
115.175	15.804
115.049	16.136
114.923	16.464
114.796	16.787
114.669	17.104
114.543	17.415
114.419	17.717
114.298	18.012
114.180	18.296
114.066	18.571
113.957	18.835
113.853	19.088
113.753	19.333
113.659	19.572
113.569	19.805
113.483	20.035
113.401	20.262
113.324	20.489
113.250	20.716
113.181	20.946
113.115	21.181
113.052	21.421
112.993	21.668
112.938	21.924
112.885	22.190
112.835	22.468
112.789	22.759
112.745	23.065
112.703	23.386
112.664	23.719
112.627	24.064
112.591	24.421
112.557	24.787
112.525	25.162
