X	Y
67.848	34.557
67.939	34.466
68.049	34.385
68.177	34.313
68.322	34.249
68.481	34.194
68.656	34.146
68.843	34.105
69.042	34.070
69.253	34.041
69.473	34.018
69.702	33.998
69.939	33.983
70.182	33.971
70.431	33.962
70.684	33.955
70.940	33.950
71.199	33.946
71.458	33.942
71.717	33.939
71.974	33.934
72.230	33.929
72.481	33.922
72.729	33.912
72.973	33.901
73.213	33.888
73.451	33.874
73.686	33.859
73.919	33.844
74.150	33.828
74.379	33.812
74.608	33.796
74.836	33.781
75.064	33.767
75.293	33.754
75.522	33.742
75.752	33.732
75.983	33.725
76.217	33.719
76.452	33.716
76.691	33.716
76.932	33.719
77.177	33.726
77.426	33.737
77.679	33.752
77.937	33.771
78.200	33.795
78.468	33.824
78.742	33.857
79.021	33.896
79.306	33.939
79.595	33.986
79.889	34.038
80.188	34.094
80.492	34.154
80.800	34.217
81.112	34.284
81.429	34.355
81.749	34.429
82.074	34.506
82.402	34.585
82.734	34.668
83.070	34.753
83.409	34.841
83.751	34.931
84.097	35.023
84.445	35.118
84.796	35.214
85.150	35.311
85.507	35.410
85.865	35.511
86.227	35.612
86.590	35.715
86.956	35.818
87.323	35.922
87.692	36.027
88.063	36.132
88.435	36.237
88.808	36.342
89.183	36.447
89.559	36.552
89.936	36.656
90.313	36.760
90.691	36.863
91.070	36.965
91.449	37.067
91.828	37.169
92.206	37.270
92.585	37.371
92.962	37.472
93.339	37.572
93.715	37.673
94.089	37.774
94.462	37.875
94.833	37.976
95.202	38.077
95.570	38.180
95.934	38.282
96.297	38.385
96.656	38.489
97.013	38.594
97.366	38.699
97.717	38.806
98.063	38.913
98.406	39.022
98.744	39.132
99.079	39.243
99.409	39.355
99.734	39.469
100.055	39.585
100.370	39.702
100.680	39.821
100.985	39.942
101.284	40.064
101.577	40.189
101.863	40.315
102.144	40.444
102.418	40.575
102.685	40.708
102.945	40.844
103.199	40.982
103.445	41.122
103.684	41.265
103.916	41.410
104.141	41.558
104.359	41.707
104.570	41.859
104.775	42.012
104.972	42.168
105.162	42.326
105.346	42.486
105.522	42.647
105.692	42.811
105.855	42.976
106.011	43.144
