X	Y
14.863	5.023
14.871	5.007
14.882	4.992
14.894	4.978
14.909	4.965
14.925	4.952
14.944	4.940
14.964	4.929
14.986	4.919
15.010	4.909
15.036	4.900
15.063	4.891
15.091	4.883
15.121	4.875
15.152	4.867
15.184	4.859
15.217	4.852
15.252	4.845
15.287	4.837
15.323	4.830
15.361	4.823
15.398	4.816
15.437	4.809
15.476	4.801
15.515	4.793
15.555	4.785
15.595	4.776
15.635	4.768
15.676	4.758
15.716	4.748
15.757	4.738
15.797	4.727
15.837	4.715
15.877	4.703
15.917	4.689
15.957	4.676
15.996	4.661
16.036	4.647
16.075	4.631
16.114	4.615
16.153	4.599
16.192	4.581
16.231	4.564
16.270	4.546
16.309	4.527
16.348	4.508
16.386	4.489
16.425	4.469
16.463	4.449
16.502	4.429
16.540	4.408
16.579	4.387
16.617	4.365
16.656	4.343
16.695	4.321
16.733	4.299
16.772	4.276
16.810	4.253
16.849	4.230
16.888	4.207
16.927	4.184
16.966	4.160
17.005	4.137
17.044	4.113
17.083	4.089
17.123	4.065
17.163	4.041
17.202	4.017
17.242	3.993
17.282	3.969
17.322	3.945
17.363	3.921
17.403	3.897
17.444	3.873
17.485	3.849
17.526	3.826
17.568	3.802
17.609	3.779
17.651	3.755
17.693	3.732
17.736	3.709
17.778	3.686
17.821	3.663
17.864	3.640
17.907	3.617
17.950	3.594
17.994	3.572
18.037	3.549
18.081	3.526
18.125	3.504
18.169	3.481
18.214	3.459
18.258	3.436
18.303	3.414
18.348	3.392
18.392	3.369
18.438	3.347
18.483	3.325
18.528	3.302
18.574	3.280
18.619	3.258
18.665	3.235
18.711	3.213
18.757	3.190
18.803	3.168
18.850	3.146
18.896	3.123
18.943	3.101
18.989	3.078
19.036	3.055
19.083	3.033
19.130	3.010
19.177	2.987
19.224	2.964
19.271	2.941
19.318	2.918
19.366	2.895
19.413	2.872
19.460	2.848
19.508	2.825
19.556	2.801
19.603	2.778
19.651	2.754
19.699	2.730
19.747	2.706
19.794	2.682
19.842	2.658
19.890	2.633
19.938	2.609
19.986	2.584
20.034	2.560
20.082	2.535
20.131	2.510
20.179	2.485
20.227	2.460
20.276	2.435
20.324	2.409
20.372	2.384
20.421	2.359
20.470	2.333
20.518	2.308
20.567	2.282
20.616	2.257
20.665	2.231
20.714	2.205
20.762	2.180
20.812	2.154
20.861	2.128
20.910	2.103
20.959	2.077
21.008	2.051
21.058	2.026
21.107	2.000
21.157	1.974
21.207	1.949
21.256	1.923
21.306	1.897
21.356	1.872
21.406	1.846
21.456	1.821
21.506	1.795
21.556	1.770
21.607	1.745
21.657	1.720
21.708	1.695
21.758	1.670
21.809	1.645
21.860	1.620
21.911	1.595
21.962	1.570
22.013	1.546
22.064	1.521
22.115	1.497
22.167	1.473
22.218	1.449
22.270	1.425
22.321	1.401
22.373	1.377
22.425	1.354
22.477	1.331
22.529	1.308
22.582	1.285
22.634	1.262
22.686	1.239
22.739	1.217
22.791	1.195
22.844	1.173
22.896	1.151
22.949	1.129
23.002	1.108
23.054	1.087
23.107	1.067
23.159	1.046
23.212	1.026
23.265	1.006
23.317	0.987
23.370	0.968
23.422	0.949
23.474	0.931
23.526	0.913
23.579	0.895
23.631	0.878
23.682	0.861
23.734	0.844
23.786	0.828
23.837	0.813
23.889	0.798
23.940	0.783
23.991	0.768
24.041	0.755
24.092	0.741
24.142	0.728
24.193	0.716
24.242	0.704
24.292	0.693
24.342	0.682
24.391	0.672
24.440	0.662
24.488	0.653
24.537	0.644
24.585	0.636
24.632	0.629
24.680	0.622
24.727	0.616
24.773	0.610
24.820	0.606
24.866	0.601
24.911	0.598
24.957	0.595
25.001	0.592
25.046	0.591
25.090	0.590
25.134	0.590
25.177	0.590
25.219	0.591
25.262	0.593
25.304	0.596
25.345	0.599
25.387	0.602
25.427	0.607
25.468	0.612
25.508	0.617
25.547	0.623
25.586	0.630
25.625	0.637
25.663	0.645
25.701	0.653
25.739	0.662
25.776	0.671
25.812	0.681
25.849	0.691
25.885	0.702
25.920	0.713
25.955	0.725
25.990	0.737
26.024	0.749
26.058	0.762
26.092	0.776
26.125	0.790
26.158	0.804
26.190	0.818
26.222	0.833
26.254	0.849
26.285	0.864
26.316	0.880
26.346	0.896
26.376	0.913
26.406	0.930
26.435	0.947
26.464	0.965
26.492	0.982
26.520	1.000
26.547	1.018
26.574	1.037
26.601	1.055
26.626	1.074
26.651	1.092
26.676	1.111
26.699	1.130
26.722	1.148
26.744	1.167
26.766	1.186
26.786	1.204
26.806	1.223
26.825	1.241
26.843	1.259
26.859	1.278
26.875	1.295
26.890	1.313
26.904	1.330
26.917	1.348
26.928	1.364
26.939	1.381
26.948	1.397
26.956	1.413
26.963	1.428
26.969	1.443
26.973	1.458
26.977	1.474
26.979	1.489
26.981	1.504
26.981	1.520
26.981	1.537
26.980	1.554
26.978	1.572
26.976	1.591
26.973	1.612
26.969	1.633
26.965	1.656
26.961	1.680
26.956	1.706
26.951	1.734
26.945	1.763
26.939	1.795
26.934	1.828
26.928	1.864
26.922	1.903
26.915	1.943
26.909	1.986
26.903	2.031
26.896	2.077
26.889	2.126
26.883	2.176
26.875	2.228
26.868	2.282
26.861	2.337
26.853	2.393
26.845	2.451
26.837	2.511
26.829	2.571
26.820	2.633
26.811	2.695
26.802	2.759
26.792	2.823
26.782	2.888
26.772	2.954
26.762	3.021
26.751	3.088
26.739	3.156
26.728	3.224
26.716	3.292
26.703	3.360
26.690	3.429
26.677	3.497
26.663	3.566
26.649	3.634
26.635	3.703
26.620	3.771
26.604	3.838
26.588	3.905
26.571	3.972
26.554	4.038
26.537	4.103
26.518	4.167
26.500	4.231
26.480	4.293
26.460	4.355
26.440	4.415
26.419	4.475
26.397	4.533
26.374	4.589
26.351	4.644
26.328	4.698
26.303	4.750
26.278	4.800
26.252	4.848
26.226	4.895
26.199	4.939
26.171	4.982
26.142	5.022
26.113	5.061
26.082	5.097
26.051	5.130
26.020	5.161
25.987	5.190
25.954	5.216
25.919	5.240
25.885	5.262
25.849	5.282
25.813	5.299
25.776	5.315
25.738	5.328
25.700	5.340
25.661	5.350
25.621	5.358
25.581	5.364
25.540	5.369
25.499	5.372
25.457	5.373
25.415	5.373
25.372	5.372
25.328	5.369
25.284	5.365
25.239	5.360
25.194	5.354
25.149	5.346
25.103	5.338
25.057	5.329
25.010	5.318
24.963	5.307
24.916	5.296
24.868	5.283
24.820	5.270
24.771	5.256
24.722	5.242
24.673	5.227
24.624	5.212
24.574	5.197
24.524	5.182
