X	Y
14.932	5.614
14.956	5.597
14.982	5.580
15.011	5.564
15.041	5.549
15.074	5.534
15.108	5.519
15.145	5.505
15.183	5.491
15.223	5.477
15.265	5.464
15.309	5.451
15.354	5.439
15.401	5.427
15.450	5.415
15.500	5.404
15.552	5.393
15.605	5.382
15.660	5.371
15.716	5.361
15.773	5.351
15.832	5.342
15.892	5.332
15.952	5.323
16.015	5.314
16.078	5.306
16.142	5.297
16.207	5.289
16.273	5.281
16.340	5.274
16.408	5.266
16.477	5.259
16.547	5.252
16.617	5.245
16.688	5.238
16.759	5.231
16.831	5.225
16.904	5.218
16.977	5.212
17.050	5.206
17.124	5.200
17.198	5.194
17.273	5.188
17.347	5.182
17.422	5.177
17.497	5.171
17.572	5.166
17.648	5.160
17.723	5.155
17.798	5.149
17.873	5.144
17.948	5.139
18.023	5.133
18.097	5.128
18.172	5.122
18.246	5.117
18.319	5.112
18.392	5.106
18.465	5.101
18.537	5.095
18.609	5.089
18.680	5.084
18.750	5.078
18.820	5.072
18.890	5.066
18.958	5.060
19.027	5.054
19.094	5.048
19.162	5.042
19.228	5.036
19.295	5.030
19.361	5.024
19.426	5.017
19.491	5.011
19.555	5.005
19.619	4.998
19.683	4.992
19.746	4.986
19.809	4.979
19.871	4.973
19.933	4.966
19.995	4.960
20.056	4.954
20.117	4.947
20.178	4.941
20.238	4.935
20.298	4.928
20.358	4.922
20.417	4.916
20.476	4.909
20.535	4.903
20.594	4.897
20.653	4.891
20.711	4.884
20.769	4.878
20.827	4.872
20.884	4.866
20.942	4.860
20.999	4.854
21.056	4.848
21.113	4.843
21.170	4.837
21.226	4.831
21.283	4.826
21.339	4.820
21.396	4.815
21.452	4.809
21.508	4.804
21.565	4.799
21.621	4.794
21.677	4.789
21.733	4.784
21.789	4.779
21.845	4.774
21.901	4.770
21.957	4.765
22.014	4.761
22.070	4.756
22.126	4.752
22.182	4.748
22.239	4.744
22.295	4.741
22.352	4.737
22.408	4.734
22.465	4.731
22.521	4.728
22.577	4.725
22.633	4.723
22.690	4.721
22.745	4.719
22.801	4.718
22.857	4.717
22.912	4.716
22.967	4.716
23.022	4.717
23.076	4.717
23.130	4.719
23.184	4.720
23.237	4.723
23.290	4.726
23.342	4.729
23.394	4.733
23.446	4.737
23.497	4.743
23.547	4.749
23.597	4.755
23.647	4.762
23.695	4.770
23.744	4.779
23.791	4.788
23.838	4.799
23.884	4.810
23.929	4.822
23.974	4.834
24.017	4.848
24.060	4.862
24.102	4.878
24.144	4.894
24.184	4.912
24.224	4.930
24.262	4.949
24.300	4.969
24.336	4.991
24.372	5.013
24.406	5.037
24.440	5.061
24.472	5.087
24.504	5.114
24.534	5.142
24.563	5.171
24.591	5.201
24.618	5.232
24.644	5.264
24.669	5.296
24.693	5.330
24.716	5.364
24.739	5.399
24.760	5.435
24.781	5.471
24.800	5.508
24.819	5.545
24.837	5.583
24.855	5.621
24.871	5.659
24.887	5.698
24.902	5.737
24.917	5.776
24.931	5.815
24.944	5.854
24.957	5.893
24.969	5.933
24.980	5.972
24.991	6.011
25.001	6.050
25.011	6.088
25.021	6.127
25.030	6.165
25.039	6.202
25.047	6.239
25.055	6.276
25.062	6.312
25.070	6.347
25.077	6.382
25.083	6.416
25.090	6.449
25.096	6.482
25.102	6.514
25.107	6.545
25.113	6.575
25.118	6.605
25.122	6.634
25.126	6.662
25.129	6.690
25.132	6.718
25.134	6.745
25.136	6.771
25.137	6.797
25.137	6.823
25.136	6.849
25.135	6.875
25.132	6.900
25.129	6.925
25.124	6.950
25.119	6.975
25.113	7.000
25.105	7.025
25.096	7.050
25.086	7.075
25.075	7.101
25.063	7.126
25.049	7.152
25.034	7.178
25.017	7.205
24.999	7.231
24.980	7.258
24.960	7.286
24.938	7.313
24.915	7.341
24.891	7.369
24.866	7.397
24.840	7.425
24.813	7.454
24.785	7.483
24.755	7.511
24.725	7.541
24.694	7.570
24.662	7.599
24.629	7.629
24.596	7.658
24.562	7.688
24.527	7.718
24.491	7.747
24.454	7.777
24.417	7.807
24.380	7.837
24.342	7.867
24.303	7.897
24.264	7.927
24.224	7.957
24.185	7.988
24.144	8.018
24.104	8.048
24.063	8.078
24.021	8.107
23.980	8.137
23.938	8.167
23.897	8.197
23.855	8.226
23.813	8.256
23.771	8.285
23.729	8.314
23.687	8.343
23.645	8.372
23.603	8.400
23.561	8.429
23.520	8.457
23.479	8.485
23.437	8.513
23.396	8.541
23.355	8.568
23.314	8.595
23.273	8.622
23.232	8.649
23.191	8.675
23.151	8.701
23.110	8.727
23.069	8.753
23.028	8.778
22.988	8.803
22.947	8.827
22.906	8.852
22.865	8.876
22.825	8.899
22.784	8.922
22.743	8.945
22.702	8.967
22.661	8.990
22.620	9.011
22.578	9.032
22.537	9.053
22.495	9.074
22.454	9.093
22.412	9.113
22.370	9.132
22.328	9.151
22.285	9.169
22.243	9.186
22.200	9.203
22.157	9.220
22.114	9.236
22.071	9.252
22.027	9.267
21.983	9.281
21.939	9.295
21.895	9.308
21.850	9.321
21.805	9.333
21.759	9.345
21.714	9.356
21.668	9.367
21.622	9.376
21.575	9.386
21.528	9.394
21.481	9.402
21.433	9.410
21.385	9.417
21.337	9.423
21.288	9.429
21.240	9.434
21.190	9.439
21.141	9.443
21.091	9.447
21.042	9.450
20.991	9.453
20.941	9.456
20.890	9.458
20.839	9.459
20.788	9.460
20.737	9.461
20.685	9.461
20.633	9.460
20.581	9.460
20.529	9.459
20.476	9.457
20.423	9.455
20.371	9.453
20.317	9.451
20.264	9.448
20.211	9.445
20.157	9.441
20.103	9.437
20.049	9.433
19.995	9.429
19.941	9.424
19.886	9.419
19.831	9.414
19.777	9.409
19.722	9.403
19.667	9.397
19.612	9.391
19.556	9.384
19.501	9.378
19.445	9.371
19.390	9.364
19.334	9.357
19.278	9.350
19.222	9.342
19.167	9.335
19.110	9.327
19.054	9.319
18.998	9.311
18.942	9.303
18.886	9.295
18.830	9.287
18.773	9.279
18.717	9.270
18.661	9.261
18.604	9.253
18.548	9.244
18.492	9.234
18.436	9.225
18.379	9.216
18.323	9.206
18.267	9.196
18.211	9.186
18.155	9.176
18.100	9.165
18.044	9.154
17.988	9.143
17.933	9.132
17.878	9.121
17.823	9.109
17.768	9.097
17.713	9.085
17.659	9.073
17.604	9.060
17.550	9.047
17.496	9.034
17.442	9.020
17.389	9.006
17.336	8.992
17.283	8.977
17.230	8.963
17.178	8.948
17.125	8.932
17.074	8.916
17.022	8.900
16.971	8.884
16.920	8.867
16.870	8.850
16.819	8.832
16.770	8.814
16.720	8.796
16.671	8.777
16.623	8.758
16.574	8.739
16.526	8.719
16.479	8.698
16.432	8.678
16.386	8.656
16.340	8.635
16.294	8.613
16.249	8.590
16.204	8.567
16.160	8.544
16.117	8.520
16.073	8.496
16.031	8.471
15.989	8.446
15.947	8.421
15.906	8.395
15.866	8.369
15.826	8.342
15.787	8.315
15.748	8.288
15.710	8.261
15.673	8.233
15.636	8.205
15.600	8.177
15.564	8.148
15.529	8.119
15.495	8.090
15.461	8.060
15.428	8.031
15.396	8.001
15.364	7.971
15.333	7.941
15.303	7.910
15.273	7.880
15.245	7.849
15.216	7.818
15.189	7.787
15.162	7.756
15.137	7.725
15.111	7.693
15.087	7.662
15.064	7.630
15.041	7.599
15.019	7.567
14.998	7.535
14.977	7.504
14.958	7.472
14.939	7.440
14.921	7.409
14.904	7.377
14.888	7.345
14.872	7.313
14.858	7.282
14.844	7.250
14.831	7.219
14.819	7.187
14.807	7.156
14.797	7.125
14.786	7.094
14.777	7.063
14.768	7.032
14.760	7.002
14.753	6.972
14.746	6.941
14.740	6.912
14.734	6.882
14.729	6.852
14.724	6.823
14.720	6.794
14.717	6.765
14.714	6.737
14.711	6.709
14.709	6.681
14.707	6.654
14.706	6.627
14.705	6.600
14.704	6.574
14.704	6.548
14.704	6.522
14.705	6.497
14.706	6.472
14.707	6.448
14.708	6.424
14.709	6.400
14.711	6.377
14.713	6.355
14.715	6.332
14.718	6.311
14.720	6.289
14.723	6.268
14.725	6.248
14.728	6.227
14.731	6.208
14.734	6.188
14.737	6.170
14.740	6.151
14.743	6.133
14.746	6.116
14.749	6.098
14.751	6.082
14.754	6.066
14.757	6.050
14.759	6.035
14.762	6.020
14.764	6.006
14.766	5.993
14.768	5.981
14.769	5.969
14.770	5.958
14.771	5.948
14.772	5.939
14.773	5.931
14.773	5.924
14.773	5.918
14.772	5.911
14.772	5.905
14.772	5.898
14.772	5.891
14.773	5.882
14.774	5.872
14.775	5.861
14.777	5.848
14.780	5.835
14.784	5.820
14.788	5.805
14.794	5.789
14.801	5.772
14.809	5.755
14.818	5.738
14.829	5.720
14.842	5.702
14.856	5.684
14.872	5.666
14.890	5.648
14.910	5.631
14.932	5.614
