X	Y
74.848	62.273
74.830	62.144
74.821	62.003
74.820	61.851
74.827	61.688
74.843	61.514
74.867	61.330
74.899	61.136
74.938	60.932
74.985	60.719
75.039	60.496
75.101	60.264
75.169	60.023
75.245	59.774
75.327	59.516
75.415	59.251
75.509	58.978
75.610	58.698
75.717	58.411
75.829	58.117
75.947	57.816
76.070	57.509
76.198	57.196
76.332	56.878
76.470	56.554
76.612	56.225
76.760	55.891
76.911	55.553
77.067	55.210
77.226	54.863
77.389	54.513
77.556	54.159
77.726	53.802
77.899	53.442
78.076	53.080
78.255	52.715
78.437	52.347
78.622	51.977
78.810	51.605
79.000	51.230
79.193	50.854
79.389	50.475
79.587	50.094
79.788	49.711
79.991	49.327
80.196	48.940
80.404	48.552
80.614	48.163
80.826	47.771
81.040	47.379
81.257	46.984
81.475	46.589
81.695	46.192
81.917	45.794
82.141	45.395
82.367	44.995
82.594	44.594
82.823	44.192
83.053	43.790
83.285	43.386
83.518	42.982
83.753	42.578
83.989	42.173
84.227	41.767
84.465	41.362
84.705	40.956
84.946	40.549
85.187	40.143
85.430	39.737
85.674	39.330
85.918	38.924
86.163	38.518
86.409	38.113
86.656	37.707
86.903	37.302
87.151	36.898
87.399	36.494
87.648	36.091
87.897	35.688
88.146	35.287
88.395	34.886
88.645	34.486
88.895	34.088
89.144	33.690
89.394	33.294
89.644	32.899
89.894	32.505
90.143	32.112
90.392	31.722
90.641	31.332
90.890	30.944
91.140	30.557
91.389	30.172
91.638	29.789
91.887	29.407
92.137	29.026
92.386	28.647
92.636	28.270
92.886	27.894
93.136	27.520
93.387	27.147
93.638	26.776
93.890	26.407
94.141	26.039
94.394	25.673
94.647	25.308
94.900	24.946
95.154	24.585
95.409	24.225
95.665	23.868
95.921	23.512
96.178	23.158
96.435	22.806
96.694	22.455
96.953	22.107
97.214	21.760
97.475	21.415
97.737	21.072
98.001	20.731
98.265	20.391
98.531	20.054
98.797	19.718
99.065	19.385
99.335	19.053
99.605	18.724
99.877	18.396
100.150	18.070
100.424	17.746
100.700	17.425
100.977	17.105
101.256	16.787
101.537	16.472
101.819	16.158
102.102	15.847
102.388	15.537
102.675	15.230
102.963	14.925
103.254	14.622
103.546	14.322
103.840	14.023
104.136	13.727
104.433	13.434
104.732	13.143
105.032	12.855
105.334	12.569
105.637	12.287
105.941	12.008
106.246	11.731
106.553	11.459
106.860	11.189
107.169	10.923
107.478	10.660
107.789	10.402
108.100	10.147
108.412	9.896
108.724	9.648
109.037	9.406
109.351	9.167
109.665	8.932
109.979	8.703
110.294	8.477
110.609	8.256
110.924	8.041
111.240	7.829
111.555	7.623
111.870	7.422
112.186	7.227
112.501	7.036
112.816	6.851
113.130	6.671
113.444	6.498
113.758	6.329
114.071	6.167
114.384	6.011
114.696	5.860
115.008	5.716
115.318	5.578
115.628	5.447
115.937	5.322
116.245	5.203
116.552	5.092
116.858	4.987
117.163	4.889
117.466	4.797
117.769	4.712
118.070	4.634
118.370	4.561
118.669	4.494
118.968	4.433
119.265	4.377
119.560	4.326
119.855	4.280
120.149	4.239
120.442	4.202
120.734	4.170
121.024	4.141
121.314	4.117
121.603	4.096
121.891	4.078
122.177	4.064
122.463	4.053
122.748	4.044
123.032	4.038
123.315	4.035
123.597	4.033
123.879	4.034
124.159	4.036
124.438	4.039
124.717	4.044
124.995	4.050
125.272	4.056
125.548	4.064
125.823	4.071
126.098	4.079
126.371	4.087
126.644	4.094
126.916	4.102
127.186	4.109
127.455	4.117
127.723	4.125
127.987	4.135
128.249	4.146
128.509	4.159
128.765	4.174
129.017	4.191
129.265	4.210
129.509	4.233
129.749	4.259
129.984	4.289
130.213	4.323
130.436	4.361
130.654	4.404
130.866	4.452
131.070	4.504
131.268	4.563
131.459	4.627
131.642	4.698
131.817	4.775
131.983	4.860
132.142	4.951
132.291	5.050
132.431	5.157
132.561	5.272
132.682	5.395
132.794	5.525
132.897	5.664
132.991	5.810
133.077	5.964
133.155	6.124
133.225	6.292
133.287	6.467
133.342	6.649
133.389	6.838
133.430	7.033
133.464	7.235
133.491	7.443
133.512	7.657
133.527	7.878
133.536	8.104
133.539	8.336
133.538	8.573
133.531	8.816
133.519	9.064
133.503	9.318
133.482	9.576
133.457	9.839
133.429	10.107
133.396	10.380
133.360	10.656
133.320	10.937
133.277	11.221
133.231	11.509
133.182	11.800
133.130	12.094
133.076	12.391
133.019	12.690
132.960	12.992
132.899	13.296
132.836	13.601
132.772	13.909
132.705	14.218
132.638	14.528
132.569	14.839
132.499	15.150
132.429	15.463
132.357	15.775
132.285	16.088
132.213	16.400
132.141	16.712
132.069	17.023
131.997	17.333
131.925	17.643
131.854	17.951
131.783	18.257
131.714	18.562
131.645	18.864
131.578	19.164
131.512	19.462
131.448	19.757
131.385	20.049
131.325	20.338
131.266	20.624
131.209	20.907
131.154	21.188
131.101	21.466
131.050	21.742
131.000	22.016
130.952	22.288
130.906	22.560
130.861	22.830
130.818	23.099
130.776	23.367
130.736	23.635
130.697	23.903
130.660	24.172
130.623	24.440
130.588	24.709
130.555	24.980
130.522	25.251
130.490	25.523
130.460	25.798
130.430	26.074
130.402	26.352
130.374	26.632
130.347	26.916
130.321	27.202
130.296	27.491
130.271	27.784
130.247	28.080
130.224	28.380
130.201	28.684
130.179	28.992
130.158	29.306
130.136	29.623
130.115	29.946
130.095	30.273
130.075	30.605
130.055	30.941
130.036	31.280
130.017	31.624
129.998	31.971
129.980	32.321
129.962	32.674
129.945	33.030
129.928	33.388
129.911	33.749
129.895	34.113
129.879	34.478
129.863	34.845
129.847	35.213
129.832	35.583
129.817	35.953
129.803	36.325
129.788	36.698
129.774	37.070
129.761	37.444
129.747	37.817
129.734	38.190
129.721	38.562
129.708	38.934
129.696	39.305
129.684	39.675
129.672	40.044
129.660	40.411
129.648	40.777
129.637	41.140
129.626	41.502
129.615	41.861
129.604	42.217
129.594	42.571
129.584	42.922
129.574	43.270
129.564	43.614
129.554	43.954
