X	Y
76.364	67.879
76.502	67.766
76.658	67.665
76.832	67.574
77.022	67.494
77.230	67.424
77.453	67.364
77.692	67.312
77.947	67.269
78.216	67.235
78.501	67.208
78.799	67.188
79.111	67.175
79.436	67.168
79.774	67.167
80.125	67.172
80.487	67.181
80.862	67.195
81.247	67.213
81.644	67.234
82.051	67.259
82.467	67.286
82.894	67.315
83.330	67.346
83.774	67.379
84.227	67.412
84.687	67.446
85.156	67.479
85.631	67.513
86.113	67.548
86.602	67.582
87.096	67.617
87.596	67.653
88.100	67.689
88.610	67.725
89.123	67.762
89.641	67.800
90.162	67.838
90.686	67.877
91.212	67.916
91.741	67.956
92.271	67.998
92.803	68.039
93.335	68.082
93.868	68.126
94.401	68.170
94.934	68.216
95.466	68.263
95.997	68.311
96.527	68.359
97.054	68.409
97.579	68.461
98.102	68.513
98.621	68.567
99.136	68.622
99.648	68.678
100.155	68.736
100.657	68.795
101.154	68.856
101.645	68.918
102.130	68.982
102.608	69.048
103.080	69.115
103.544	69.184
104.001	69.254
104.449	69.327
104.889	69.401
105.320	69.477
105.742	69.555
106.156	69.635
106.563	69.717
106.962	69.802
107.354	69.889
107.740	69.978
108.120	70.070
108.494	70.165
108.863	70.262
109.227	70.362
109.587	70.466
109.942	70.572
110.294	70.682
110.643	70.795
110.989	70.911
111.332	71.031
111.673	71.154
112.013	71.281
112.352	71.412
112.689	71.547
113.027	71.686
113.364	71.829
113.702	71.976
114.040	72.128
114.380	72.284
114.722	72.445
115.065	72.610
115.411	72.780
115.760	72.954
116.112	73.134
116.467	73.319
116.824	73.508
117.183	73.701
117.542	73.899
117.901	74.101
118.260	74.307
118.617	74.516
118.972	74.728
119.324	74.944
119.672	75.163
120.015	75.384
120.354	75.608
120.686	75.834
121.011	76.062
121.329	76.292
121.639	76.523
121.939	76.756
122.230	76.990
122.510	77.225
122.779	77.461
123.036	77.698
123.280	77.934
123.510	78.171
123.726	78.408
123.927	78.644
124.112	78.880
124.281	79.115
124.432	79.349
124.565	79.582
124.680	79.814
124.777	80.044
124.857	80.273
124.920	80.501
124.968	80.729
125.002	80.955
125.021	81.181
125.028	81.406
125.022	81.631
125.004	81.855
124.976	82.080
124.937	82.304
124.890	82.528
124.833	82.752
124.770	82.976
124.699	83.201
124.622	83.426
124.540	83.652
124.453	83.878
124.363	84.105
124.271	84.332
124.178	84.559
124.085	84.786
123.994	85.013
123.906	85.240
123.822	85.466
123.743	85.691
123.671	85.916
123.606	86.139
123.550	86.362
123.505	86.583
123.471	86.802
123.450	87.020
123.442	87.235
123.450	87.449
123.474	87.660
123.515	87.870
123.572	88.076
123.643	88.280
123.724	88.481
123.814	88.679
123.909	88.873
124.006	89.065
124.103	89.253
124.197	89.437
124.285	89.617
124.365	89.793
124.434	89.965
124.489	90.133
124.528	90.296
124.548	90.455
124.545	90.609
124.519	90.757
124.472	90.902
124.406	91.045
124.324	91.185
124.230	91.325
124.127	91.465
124.018	91.607
123.905	91.752
123.792	91.900
123.682	92.053
123.578	92.212
123.483	92.377
123.399	92.551
123.331	92.734
123.280	92.927
123.246	93.129
123.229	93.340
123.227	93.559
123.240	93.785
123.267	94.018
123.308	94.257
123.361	94.500
123.425	94.749
123.501	95.000
123.587	95.255
123.682	95.513
123.786	95.771
123.898	96.031
124.017	96.291
124.142	96.550
124.273	96.808
124.409	97.064
124.549	97.317
124.692	97.567
124.838	97.813
124.986	98.055
125.136	98.294
125.289	98.529
125.445	98.762
125.602	98.992
125.763	99.220
125.925	99.447
126.090	99.672
126.257	99.896
126.427	100.119
126.598	100.342
126.772	100.565
126.948	100.789
127.127	101.013
127.307	101.238
127.490	101.465
127.675	101.693
127.862	101.923
128.052	102.156
128.243	102.392
128.436	102.631
128.632	102.873
128.829	103.119
129.028	103.369
129.226	103.621
129.424	103.876
129.620	104.132
129.812	104.389
130.001	104.648
130.185	104.906
130.362	105.165
130.533	105.422
130.696	105.678
130.849	105.933
130.993	106.185
131.126	106.434
131.246	106.679
131.354	106.921
131.447	107.158
131.526	107.391
131.588	107.617
131.633	107.838
131.661	108.053
131.669	108.260
131.657	108.459
131.625	108.650
131.577	108.830
131.512	108.998
131.432	109.153
131.341	109.291
131.238	109.412
131.126	109.514
131.007	109.595
130.882	109.654
130.753	109.689
130.622	109.698
130.490	109.679
130.357	109.635
130.223	109.566
130.089	109.475
129.954	109.364
129.817	109.234
129.678	109.087
129.538	108.925
129.396	108.750
129.253	108.565
129.106	108.369
128.958	108.167
128.807	107.959
128.653	107.747
128.496	107.533
128.335	107.320
128.172	107.109
128.005	106.901
127.835	106.697
127.661	106.498
127.484	106.305
127.304	106.117
127.122	105.935
126.937	105.761
126.749	105.594
126.558	105.435
126.365	105.284
126.171	105.142
125.974	105.010
125.775	104.888
125.574	104.776
125.371	104.676
125.167	104.587
124.962	104.510
124.755	104.445
124.547	104.394
124.338	104.357
124.129	104.333
123.919	104.324
123.710	104.328
123.501	104.347
123.293	104.381
123.087	104.429
122.883	104.492
122.682	104.570
122.483	104.664
122.288	104.773
122.096	104.898
121.909	105.038
121.726	105.195
121.548	105.367
121.375	105.556
121.209	105.762
121.049	105.984
120.895	106.221
120.747	106.474
120.606	106.740
120.471	107.019
120.343	107.310
120.220	107.612
120.104	107.925
119.995	108.246
119.891	108.575
119.794	108.912
119.703	109.255
119.619	109.603
119.541	109.955
119.469	110.311
119.403	110.670
119.344	111.030
119.290	111.390
119.243	111.751
119.203	112.110
119.168	112.466
119.140	112.820
119.118	113.169
119.102	113.513
119.093	113.851
119.090	114.182
119.093	114.505
119.102	114.820
119.117	115.127
119.139	115.427
119.167	115.720
119.202	116.007
119.243	116.289
119.291	116.566
119.346	116.838
119.407	117.106
119.475	117.371
119.550	117.633
119.632	117.893
119.721	118.151
119.817	118.408
119.920	118.665
120.030	118.922
120.147	119.180
120.272	119.438
120.404	119.698
120.543	119.961
120.690	120.227
120.844	120.496
121.006	120.769
121.175	121.045
121.352	121.326
121.534	121.610
121.723	121.897
121.918	122.187
122.118	122.479
122.323	122.773
122.533	123.070
122.747	123.367
122.964	123.666
123.185	123.965
123.409	124.266
123.636	124.566
123.864	124.866
124.095	125.166
124.327	125.465
124.559	125.763
124.793	126.059
125.026	126.354
125.260	126.646
125.492	126.937
125.724	127.224
125.954	127.509
126.182	127.790
126.408	128.068
126.632	128.342
126.852	128.611
127.069	128.876
127.283	129.136
127.492	129.392
127.698	129.643
127.900	129.890
128.098	130.134
128.293	130.375
128.485	130.613
128.674	130.849
128.859	131.083
129.041	131.315
129.221	131.547
129.398	131.778
129.572	132.009
129.743	132.240
129.912	132.472
130.079	132.705
130.243	132.939
130.406	133.176
130.566	133.414
130.724	133.656
130.880	133.900
131.035	134.148
131.188	134.400
131.340	134.656
131.490	134.917
131.638	135.182
131.785	135.451
131.930	135.724
132.073	135.999
132.213	136.277
132.351	136.557
132.486	136.838
132.618	137.120
132.747	137.403
132.872	137.686
132.994	137.968
133.112	138.249
133.227	138.529
133.337	138.806
133.443	139.081
133.544	139.353
133.641	139.622
133.732	139.887
133.819	140.147
133.900	140.402
133.976	140.652
134.046	140.896
134.110	141.133
134.168	141.364
134.220	141.589
134.266	141.809
134.305	142.024
134.338	142.236
134.365	142.445
134.386	142.652
134.400	142.857
134.408	143.061
134.409	143.265
134.404	143.470
134.392	143.676
134.373	143.884
134.348	144.095
134.315	144.310
134.276	144.529
134.231	144.752
134.178	144.981
134.119	145.212
134.053	145.444
133.981	145.675
133.903	145.902
133.819	146.124
133.730	146.338
133.636	146.543
133.536	146.736
133.431	146.915
133.322	147.078
133.208	147.223
133.090	147.348
132.968	147.450
132.842	147.528
132.712	147.580
132.579	147.604
132.444	147.602
132.308	147.573
132.171	147.520
132.035	147.443
131.900	147.345
131.768	147.225
131.640	147.085
131.517	146.927
131.399	146.751
131.287	146.559
131.183	146.352
131.088	146.131
131.002	145.898
130.926	145.653
130.857	145.397
130.796	145.132
130.740	144.860
130.689	144.580
130.642	144.295
130.597	144.005
130.554	143.713
130.511	143.418
130.468	143.122
130.423	142.826
130.375	142.532
130.323	142.240
130.266	141.953
130.203	141.670
130.132	141.393
130.054	141.124
129.966	140.863
129.867	140.612
129.757	140.372
129.634	140.144
129.498	139.929
129.347	139.728
129.183	139.539
129.006	139.362
128.818	139.195
128.618	139.037
128.408	138.887
128.188	138.744
127.959	138.607
127.722	138.474
127.478	138.346
127.227	138.219
126.971	138.095
126.709	137.970
126.443	137.844
126.174	137.717
125.902	137.586
125.628	137.451
125.353	137.311
125.077	137.165
124.802	137.011
124.528	136.848
124.255	136.675
123.985	136.492
123.718	136.298
123.453	136.095
123.191	135.883
122.930	135.664
122.673	135.437
122.417	135.203
122.163	134.964
121.911	134.720
121.662	134.472
121.414	134.220
121.167	133.966
120.923	133.709
120.680	133.452
120.438	133.194
120.198	132.936
119.959	132.680
119.721	132.425
119.484	132.173
119.249	131.925
119.014	131.680
118.780	131.441
118.547	131.207
118.315	130.979
118.083	130.759
117.852	130.546
117.622	130.342
117.391	130.148
117.161	129.963
116.931	129.787
116.701	129.620
116.472	129.461
116.242	129.311
116.012	129.168
115.782	129.034
115.551	128.907
115.320	128.788
115.089	128.675
114.857	128.569
114.625	128.470
114.391	128.377
114.157	128.290
113.923	128.209
113.687	128.133
113.450	128.063
113.212	127.997
112.973	127.936
112.733	127.880
112.491	127.828
112.248	127.780
112.005	127.738
111.763	127.701
111.521	127.670
111.280	127.646
111.040	127.628
110.803	127.618
110.568	127.615
110.337	127.621
110.109	127.636
109.885	127.659
109.666	127.693
109.452	127.736
109.244	127.790
109.042	127.855
108.846	127.931
108.658	128.019
108.477	128.119
108.304	128.231
108.137	128.354
107.978	128.486
107.824	128.627
107.676	128.776
107.534	128.931
107.397	129.093
107.264	129.259
107.136	129.430
107.012	129.604
106.892	129.779
106.775	129.957
106.660	130.134
106.549	130.311
106.439	130.486
106.331	130.659
106.224	130.828
106.118	130.994
106.011	131.155
105.903	131.313
105.794	131.465
105.682	131.612
105.566	131.753
105.447	131.888
105.323	132.017
105.193	132.138
105.056	132.253
104.913	132.359
104.761	132.458
104.601	132.547
104.432	132.628
104.254	132.700
104.066	132.761
103.872	132.812
103.670	132.852
103.461	132.880
103.247	132.895
103.028	132.898
102.804	132.887
102.577	132.862
102.347	132.823
102.115	132.768
101.881	132.698
101.646	132.611
101.411	132.507
101.177	132.386
100.944	132.247
100.713	132.089
100.484	131.912
100.258	131.717
100.034	131.504
99.812	131.273
99.592	131.026
99.374	130.761
99.158	130.481
98.943	130.185
98.730	129.875
98.518	129.549
98.307	129.210
98.098	128.857
97.889	128.492
97.681	128.113
97.474	127.723
97.267	127.321
97.061	126.908
96.855	126.485
96.649	126.051
96.444	125.608
96.238	125.156
96.032	124.696
95.826	124.227
95.619	123.751
95.411	123.268
95.203	122.778
94.994	122.282
94.784	121.781
94.573	121.275
94.361	120.764
94.147	120.249
93.932	119.730
93.715	119.209
93.496	118.684
