X	Y
11.906	11.312
11.922	11.290
11.943	11.268
11.969	11.247
11.999	11.225
12.032	11.205
12.069	11.184
12.108	11.163
12.150	11.143
12.193	11.122
12.238	11.100
12.284	11.078
12.330	11.056
12.376	11.033
12.422	11.009
12.466	10.984
12.510	10.958
12.553	10.931
12.595	10.903
12.637	10.875
12.679	10.846
12.721	10.817
12.763	10.788
12.805	10.758
12.848	10.729
12.892	10.699
12.937	10.670
12.983	10.641
13.030	10.613
13.079	10.585
13.130	10.558
13.183	10.531
13.238	10.505
13.295	10.481
13.355	10.457
13.417	10.434
13.481	10.413
13.547	10.392
13.615	10.372
13.684	10.353
13.755	10.334
13.827	10.317
13.901	10.300
13.976	10.283
14.052	10.267
14.128	10.252
14.206	10.237
14.284	10.223
14.362	10.209
14.441	10.196
14.520	10.183
14.599	10.170
14.678	10.158
14.757	10.145
14.836	10.133
14.914	10.121
14.991	10.109
15.068	10.098
15.144	10.086
15.219	10.074
15.293	10.063
15.367	10.051
15.439	10.039
15.511	10.027
15.582	10.015
15.653	10.003
15.723	9.991
15.792	9.978
15.861	9.966
15.930	9.953
15.998	9.940
16.066	9.927
16.133	9.914
16.200	9.900
16.266	9.886
16.333	9.872
16.399	9.857
16.465	9.842
16.531	9.827
16.597	9.811
16.662	9.795
16.728	9.779
16.794	9.762
16.859	9.745
16.925	9.727
16.991	9.709
17.057	9.691
17.122	9.672
17.188	9.653
17.253	9.634
17.319	9.615
17.384	9.595
17.449	9.576
17.514	9.556
17.579	9.536
17.644	9.516
17.709	9.495
17.773	9.475
17.838	9.455
17.902	9.435
17.966	9.414
18.029	9.394
18.093	9.374
18.156	9.354
18.219	9.334
18.282	9.314
18.345	9.294
18.407	9.275
18.469	9.256
18.531	9.237
18.594	9.219
18.656	9.201
18.718	9.184
18.780	9.167
18.843	9.151
18.905	9.136
18.968	9.121
19.031	9.107
19.094	9.094
19.158	9.082
19.222	9.071
19.286	9.061
19.351	9.052
19.416	9.044
19.482	9.038
19.549	9.032
19.616	9.028
19.683	9.025
19.751	9.024
19.820	9.023
19.889	9.024
19.958	9.025
20.028	9.028
20.097	9.031
20.167	9.035
20.238	9.041
20.308	9.046
20.378	9.053
20.448	9.060
20.518	9.068
20.588	9.076
20.658	9.085
20.727	9.094
20.796	9.103
20.865	9.113
20.933	9.123
