X	Y
12.055	12.156
12.076	12.130
12.103	12.106
12.134	12.083
12.170	12.062
12.211	12.043
12.256	12.025
12.305	12.008
12.357	11.993
12.413	11.978
12.473	11.965
12.535	11.953
12.601	11.941
12.669	11.930
12.739	11.920
12.811	11.910
12.886	11.900
12.961	11.890
13.039	11.881
13.117	11.871
13.196	11.862
13.277	11.852
13.358	11.842
13.440	11.832
13.523	11.822
13.607	11.812
13.691	11.802
13.777	11.792
13.863	11.781
13.949	11.771
14.036	11.761
14.124	11.751
14.212	11.741
14.301	11.730
14.390	11.720
14.480	11.710
14.570	11.700
14.660	11.690
14.751	11.680
14.842	11.670
14.933	11.660
15.024	11.651
15.115	11.641
15.207	11.632
15.298	11.622
15.390	11.613
15.481	11.604
15.572	11.595
15.664	11.586
15.755	11.578
15.846	11.570
15.937	11.562
16.027	11.554
16.118	11.547
16.208	11.540
16.298	11.534
16.388	11.528
16.478	11.523
16.567	11.518
16.656	11.515
16.745	11.511
16.834	11.509
16.922	11.508
17.010	11.507
17.098	11.507
17.185	11.509
17.272	11.511
17.358	11.514
17.445	11.519
17.530	11.524
17.616	11.531
17.701	11.539
17.785	11.549
17.869	11.559
17.953	11.571
18.036	11.585
18.119	11.600
18.201	11.616
18.282	11.634
18.362	11.654
18.442	11.674
18.520	11.696
18.596	11.719
18.671	11.742
18.744	11.767
18.815	11.793
18.884	11.819
18.950	11.846
19.014	11.874
19.076	11.902
19.134	11.931
19.189	11.960
19.241	11.990
19.289	12.020
19.334	12.050
19.375	12.080
19.412	12.110
19.445	12.140
19.474	12.170
19.498	12.200
19.518	12.230
19.534	12.259
19.546	12.289
19.555	12.319
19.561	12.350
19.563	12.380
19.562	12.411
19.559	12.443
19.553	12.475
19.545	12.507
19.535	12.540
19.523	12.574
19.508	12.608
19.492	12.643
19.474	12.679
19.454	12.715
19.432	12.751
19.409	12.788
19.384	12.825
19.358	12.863
19.331	12.901
19.303	12.940
19.273	12.979
19.242	13.019
19.211	13.059
19.178	13.099
19.144	13.140
19.109	13.180
19.074	13.222
19.037	13.263
18.999	13.304
18.961	13.346
18.921	13.388
18.881	13.430
18.840	13.472
18.797	13.515
18.755	13.557
18.711	13.599
18.666	13.642
18.621	13.684
18.575	13.726
18.528	13.768
18.481	13.810
18.432	13.852
18.383	13.894
18.333	13.936
18.282	13.977
18.231	14.019
18.178	14.060
18.125	14.100
18.070	14.141
18.015	14.181
17.959	14.220
17.901	14.260
17.843	14.299
17.784	14.337
17.724	14.375
17.662	14.413
17.600	14.450
17.537	14.487
17.472	14.523
17.407	14.558
17.340	14.593
17.273	14.627
17.204	14.661
17.134	14.693
17.064	14.725
16.993	14.757
16.922	14.787
16.850	14.816
16.777	14.845
16.704	14.872
16.631	14.898
16.558	14.924
16.485	14.948
16.412	14.971
16.339	14.992
16.266	15.012
16.193	15.031
16.121	15.049
16.050	15.065
15.979	15.080
15.908	15.093
15.838	15.104
15.770	15.114
15.702	15.123
15.635	15.129
15.569	15.134
15.504	15.137
15.439	15.139
15.376	15.140
15.313	15.139
15.250	15.137
15.187	15.134
15.125	15.129
15.063	15.124
15.001	15.118
14.938	15.112
14.876	15.104
14.812	15.096
14.749	15.088
14.685	15.079
14.620	15.070
14.554	15.061
14.487	15.052
14.420	15.042
14.351	15.033
14.281	15.024
14.209	15.015
14.137	15.006
14.064	14.997
13.990	14.988
13.916	14.979
13.842	14.968
13.768	14.958
13.694	14.947
13.621	14.934
13.548	14.921
13.476	14.907
13.405	14.892
13.335	14.875
13.267	14.857
13.200	14.838
13.136	14.817
13.073	14.794
13.012	14.769
12.954	14.743
12.898	14.714
12.845	14.683
12.795	14.650
12.749	14.614
12.705	14.576
12.664	14.536
12.626	14.495
12.590	14.452
12.557	14.407
12.526	14.361
12.497	14.315
12.470	14.267
12.445	14.219
12.421	14.170
12.399	14.122
12.379	14.073
12.359	14.024
12.341	13.976
12.324	13.928
12.307	13.881
12.291	13.836
12.276	13.791
12.261	13.746
12.247	13.703
12.233	13.659
12.220	13.616
12.207	13.574
12.194	13.531
12.182	13.488
12.171	13.445
12.159	13.401
12.148	13.357
12.138	13.312
12.127	13.266
12.117	13.219
12.107	13.171
12.098	13.122
12.088	13.073
12.079	13.024
12.071	12.975
12.063	12.926
12.055	12.879
12.049	12.833
12.042	12.788
12.037	12.746
12.032	12.705
12.029	12.668
12.026	12.634
12.024	12.603
12.023	12.575
12.023	12.551
12.023	12.530
12.024	12.509
12.025	12.490
12.025	12.469
12.024	12.447
12.022	12.423
12.020	12.397
12.017	12.368
12.015	12.339
12.015	12.308
12.016	12.276
12.020	12.245
12.027	12.214
12.039	12.184
12.055	12.156
