X	Y
11.804	5.262
11.807	5.250
11.810	5.237
11.813	5.224
11.818	5.210
11.822	5.196
11.828	5.181
11.833	5.165
11.840	5.149
11.846	5.133
11.854	5.115
11.862	5.098
11.870	5.080
11.879	5.061
11.888	5.042
11.898	5.023
11.908	5.004
11.919	4.984
11.931	4.964
11.942	4.943
11.954	4.922
11.967	4.901
11.980	4.880
11.994	4.859
12.008	4.837
12.022	4.816
12.037	4.794
12.052	4.772
12.068	4.750
12.084	4.728
12.100	4.706
12.117	4.684
12.134	4.663
12.152	4.641
12.170	4.619
12.188	4.597
12.207	4.575
12.226	4.553
12.245	4.531
12.265	4.510
12.285	4.488
12.305	4.466
12.326	4.445
12.347	4.423
12.368	4.402
12.389	4.381
12.411	4.359
12.433	4.338
12.455	4.317
12.478	4.296
12.500	4.275
12.523	4.254
12.546	4.233
12.570	4.212
12.593	4.191
12.617	4.171
12.641	4.150
12.665	4.130
12.690	4.109
12.714	4.089
12.739	4.069
12.763	4.049
12.788	4.029
12.813	4.009
12.839	3.990
12.864	3.970
12.889	3.951
12.915	3.931
12.940	3.912
12.966	3.893
12.992	3.874
13.018	3.856
13.043	3.837
13.069	3.819
13.095	3.800
13.121	3.782
13.147	3.764
13.173	3.746
13.199	3.729
13.225	3.711
13.252	3.694
13.278	3.676
13.304	3.659
13.330	3.642
13.357	3.625
13.383	3.609
13.409	3.592
13.436	3.575
13.463	3.559
13.489	3.543
13.516	3.526
13.543	3.510
13.570	3.494
13.597	3.478
13.624	3.462
13.651	3.446
13.678	3.431
13.706	3.415
13.733	3.399
13.761	3.384
13.789	3.368
13.817	3.353
13.845	3.337
13.873	3.322
13.901	3.306
13.929	3.291
13.958	3.276
13.986	3.260
14.015	3.245
14.044	3.230
14.073	3.215
14.102	3.199
14.132	3.184
14.161	3.169
14.191	3.154
14.221	3.138
14.251	3.123
14.281	3.108
14.311	3.092
14.342	3.077
14.373	3.062
14.404	3.046
14.435	3.031
14.466	3.015
14.498	2.999
14.529	2.984
14.561	2.968
14.593	2.953
14.625	2.937
14.658	2.921
14.691	2.905
14.723	2.889
14.756	2.874
14.789	2.858
14.823	2.842
14.856	2.826
14.890	2.810
14.923	2.794
14.957	2.778
14.991	2.762
