X	Y
16.221	8.794
16.241	8.760
16.264	8.725
16.291	8.690
16.322	8.655
16.356	8.620
16.394	8.584
16.434	8.548
16.478	8.512
16.525	8.475
16.574	8.438
16.626	8.400
16.681	8.363
16.738	8.324
16.798	8.285
16.860	8.246
16.924	8.206
16.990	8.165
17.058	8.124
17.127	8.082
17.199	8.039
17.272	7.995
17.346	7.951
17.421	7.906
17.498	7.860
17.576	7.814
17.655	7.766
17.735	7.717
17.815	7.668
17.896	7.617
17.977	7.566
18.060	7.514
18.142	7.461
18.225	7.407
18.309	7.352
18.393	7.296
18.478	7.240
18.563	7.183
18.648	7.126
18.734	7.068
18.820	7.009
18.906	6.950
18.993	6.890
19.080	6.830
19.167	6.769
19.254	6.708
19.341	6.647
19.429	6.585
19.516	6.523
19.604	6.461
19.691	6.398
19.779	6.336
19.867	6.273
19.954	6.210
20.042	6.147
20.129	6.084
20.216	6.021
20.303	5.958
20.390	5.895
20.477	5.833
20.563	5.770
20.649	5.708
20.735	5.645
20.820	5.583
20.905	5.522
20.990	5.460
21.074	5.400
21.158	5.339
21.241	5.279
21.324	5.219
21.406	5.160
21.488	5.101
21.569	5.043
21.649	4.986
21.729	4.929
21.809	4.872
21.888	4.816
21.967	4.761
22.045	4.706
22.123	4.652
22.200	4.598
22.276	4.545
22.353	4.493
22.429	4.441
22.504	4.390
22.579	4.339
22.654	4.289
22.728	4.240
22.802	4.191
22.875	4.143
22.948	4.096
23.021	4.049
23.093	4.003
23.165	3.958
23.236	3.913
23.307	3.869
23.378	3.826
23.449	3.783
23.519	3.741
23.589	3.700
23.659	3.660
23.728	3.620
23.797	3.581
23.866	3.543
23.934	3.506
24.003	3.469
24.071	3.433
24.138	3.398
24.206	3.364
24.273	3.330
24.340	3.298
24.406	3.266
24.472	3.235
24.538	3.205
24.603	3.175
24.668	3.147
24.733	3.119
24.797	3.092
24.860	3.066
24.923	3.041
24.986	3.016
25.048	2.993
25.110	2.970
25.171	2.949
25.231	2.928
25.291	2.908
25.350	2.889
25.409	2.871
25.467	2.854
25.524	2.838
25.581	2.823
25.637	2.808
25.693	2.795
25.747	2.783
25.801	2.771
25.855	2.760
25.907	2.750
25.960	2.741
26.012	2.733
26.063	2.725
26.114	2.718
26.165	2.712
26.215	2.706
26.265	2.701
26.315	2.696
26.365	2.692
26.414	2.688
26.463	2.684
26.513	2.681
26.562	2.678
26.611	2.676
26.660	2.673
26.710	2.671
26.759	2.669
26.809	2.667
26.858	2.666
26.907	2.665
26.955	2.665
27.003	2.667
27.049	2.669
27.095	2.673
27.139	2.679
27.182	2.686
27.223	2.695
27.262	2.706
27.299	2.720
27.334	2.736
27.367	2.755
27.398	2.776
27.425	2.801
27.450	2.829
27.472	2.859
27.491	2.893
27.507	2.929
27.520	2.968
27.531	3.009
27.539	3.053
27.543	3.098
27.545	3.145
27.544	3.194
27.541	3.245
27.534	3.297
27.525	3.350
27.512	3.404
27.497	3.459
27.479	3.514
27.458	3.571
27.435	3.627
27.408	3.684
27.379	3.741
27.348	3.797
27.314	3.854
27.278	3.911
27.240	3.968
27.200	4.025
27.159	4.082
27.117	4.139
27.073	4.196
27.029	4.253
26.984	4.309
26.938	4.366
26.893	4.422
26.847	4.478
26.801	4.533
26.756	4.589
26.711	4.644
26.667	4.699
26.623	4.753
26.581	4.807
26.541	4.861
26.501	4.914
26.464	4.967
26.428	5.019
26.395	5.071
26.364	5.123
26.336	5.173
26.310	5.224
26.286	5.273
26.264	5.321
26.243	5.369
26.224	5.415
26.205	5.460
26.187	5.503
26.170	5.545
26.152	5.585
26.133	5.624
26.114	5.660
26.094	5.694
26.072	5.726
26.049	5.755
26.024	5.782
25.996	5.806
25.965	5.827
25.932	5.845
25.895	5.861
25.856	5.873
25.814	5.884
25.770	5.892
25.723	5.898
25.675	5.903
25.624	5.905
25.572	5.907
25.517	5.907
25.462	5.907
