X	Y
15.993	9.576
16.007	9.547
16.026	9.517
16.051	9.486
16.081	9.456
16.116	9.425
16.155	9.394
16.199	9.362
16.247	9.330
16.300	9.298
16.356	9.265
16.415	9.233
16.478	9.199
16.544	9.166
16.613	9.132
16.685	9.098
16.759	9.064
16.835	9.029
16.913	8.994
16.993	8.959
17.074	8.923
17.157	8.887
17.241	8.851
17.325	8.814
17.410	8.778
17.496	8.741
17.582	8.703
17.667	8.666
17.753	8.628
17.837	8.590
17.921	8.551
18.005	8.513
18.088	8.474
18.170	8.435
18.252	8.395
18.333	8.356
18.414	8.316
18.494	8.276
18.574	8.236
18.654	8.196
18.734	8.156
18.813	8.116
18.892	8.075
18.971	8.035
19.050	7.995
19.130	7.954
19.209	7.914
19.288	7.873
19.367	7.833
19.447	7.792
19.526	7.752
19.606	7.712
19.686	7.672
19.767	7.632
19.848	7.592
19.929	7.552
20.011	7.513
20.094	7.473
20.177	7.434
20.260	7.395
20.345	7.357
20.430	7.318
20.516	7.280
20.602	7.242
20.690	7.204
20.778	7.167
20.867	7.130
20.958	7.093
21.048	7.057
21.140	7.021
21.233	6.986
21.326	6.950
21.419	6.916
21.513	6.882
21.608	6.848
21.702	6.815
21.797	6.782
21.893	6.750
21.988	6.718
22.083	6.687
22.179	6.656
22.274	6.626
22.369	6.597
22.464	6.568
22.559	6.540
22.654	6.513
22.748	6.486
22.841	6.460
22.934	6.435
23.026	6.410
23.118	6.387
23.209	6.364
23.299	6.341
23.388	6.320
23.477	6.299
23.564	6.279
23.650	6.261
23.735	6.242
23.819	6.225
23.902	6.209
23.983	6.194
24.062	6.179
24.141	6.166
24.217	6.153
24.293	6.142
24.366	6.131
24.438	6.122
24.508	6.113
24.577	6.105
24.645	6.099
24.711	6.093
24.775	6.087
24.838	6.083
24.900	6.079
24.960	6.076
25.019	6.074
25.076	6.072
25.132	6.071
25.187	6.071
25.241	6.072
25.293	6.072
25.344	6.074
25.394	6.076
25.443	6.079
25.490	6.082
25.536	6.085
25.581	6.089
25.625	6.093
25.668	6.098
25.710	6.104
25.749	6.111
25.788	6.118
25.824	6.128
25.858	6.139
25.890	6.152
25.919	6.167
25.946	6.184
25.970	6.205
25.991	6.228
26.009	6.254
26.023	6.283
26.035	6.316
26.042	6.352
26.047	6.392
26.048	6.434
26.047	6.479
26.043	6.527
26.036	6.576
26.026	6.628
26.014	6.681
26.001	6.736
25.985	6.792
25.967	6.849
25.947	6.906
25.926	6.965
25.903	7.023
25.879	7.082
25.854	7.140
25.828	7.198
25.802	7.255
25.774	7.311
25.746	7.367
25.717	7.420
25.689	7.473
25.659	7.524
25.630	7.573
25.600	7.622
25.569	7.669
25.538	7.716
25.506	7.761
25.474	7.806
25.441	7.849
25.407	7.893
25.372	7.935
25.337	7.977
25.301	8.019
25.264	8.061
25.226	8.102
25.187	8.143
25.147	8.184
25.106	8.225
25.063	8.266
25.020	8.308
24.976	8.350
24.930	8.392
24.883	8.435
24.835	8.478
24.785	8.522
24.735	8.566
24.684	8.611
24.631	8.656
24.578	8.701
24.524	8.747
24.470	8.793
24.415	8.840
24.359	8.887
24.304	8.934
24.247	8.981
24.191	9.028
24.134	9.076
24.078	9.124
24.021	9.172
23.965	9.220
23.909	9.268
23.853	9.317
23.797	9.365
23.742	9.413
23.687	9.462
23.633	9.510
23.580	9.558
23.527	9.606
23.475	9.655
23.425	9.702
23.375	9.750
23.326	9.798
23.278	9.845
23.231	9.892
23.185	9.939
23.140	9.986
23.094	10.032
23.050	10.077
23.005	10.123
22.961	10.167
22.917	10.212
22.872	10.255
22.828	10.298
22.783	10.340
22.738	10.382
22.692	10.423
22.646	10.463
22.599	10.502
22.551	10.540
22.502	10.578
22.452	10.614
22.400	10.650
22.348	10.684
22.294	10.718
22.238	10.750
22.181	10.781
22.122	10.811
22.062	10.840
22.000	10.868
21.936	10.895
21.871	10.920
21.805	10.945
21.737	10.968
21.669	10.991
21.599	11.012
21.529	11.033
21.458	11.053
21.386	11.072
21.314	11.091
21.241	11.108
21.167	11.125
21.094	11.141
21.020	11.157
20.946	11.172
20.872	11.186
20.798	11.200
20.724	11.213
20.651	11.226
20.578	11.238
20.505	11.250
20.433	11.261
20.362	11.272
20.291	11.283
20.222	11.294
20.153	11.304
20.085	11.314
20.018	11.323
19.952	11.333
19.887	11.342
19.823	11.350
19.760	11.358
19.697	11.365
19.634	11.372
19.572	11.378
19.511	11.383
19.449	11.388
19.389	11.392
19.328	11.394
19.267	11.396
19.207	11.397
19.146	11.396
19.086	11.395
19.025	11.392
18.964	11.388
18.903	11.382
18.841	11.375
18.779	11.367
18.717	11.357
18.654	11.346
18.590	11.333
18.526	11.319
18.461	11.302
18.395	11.285
18.329	11.266
18.263	11.246
18.196	11.224
18.129	11.202
18.061	11.178
17.994	11.154
17.926	11.129
17.859	11.103
17.791	11.076
17.723	11.049
17.656	11.022
17.589	10.994
17.522	10.966
17.455	10.938
17.389	10.910
17.323	10.881
17.257	10.853
17.193	10.826
17.129	10.798
17.065	10.771
17.003	10.745
16.941	10.719
16.880	10.693
16.820	10.669
16.761	10.646
16.703	10.623
16.646	10.601
16.591	10.580
16.538	10.560
16.486	10.540
16.436	10.521
16.389	10.502
16.343	10.483
16.301	10.464
16.260	10.446
16.223	10.427
16.188	10.408
16.157	10.389
16.129	10.369
16.105	10.349
16.084	10.329
16.067	10.307
16.054	10.285
16.045	10.262
16.039	10.239
16.037	10.215
16.037	10.190
16.039	10.166
16.042	10.141
16.047	10.117
16.052	10.093
16.057	10.069
16.062	10.047
16.066	10.024
16.069	10.002
16.071	9.981
16.072	9.959
16.072	9.938
16.069	9.916
16.065	9.893
16.058	9.870
16.049	9.847
16.039	9.822
16.028	9.797
16.016	9.771
16.005	9.745
15.995	9.718
15.988	9.691
15.983	9.663
15.981	9.634
15.985	9.605
15.993	9.576
