X	Y
5.290	1.171
5.296	1.164
5.303	1.157
5.310	1.151
5.317	1.145
5.325	1.140
5.334	1.134
5.343	1.129
5.352	1.124
5.362	1.119
5.373	1.115
5.384	1.110
5.395	1.106
5.407	1.102
5.420	1.097
5.433	1.093
5.446	1.089
5.461	1.085
5.475	1.082
5.490	1.078
5.506	1.074
5.522	1.070
5.539	1.066
5.556	1.062
5.574	1.058
5.592	1.053
5.611	1.049
5.630	1.045
5.650	1.040
5.671	1.035
5.691	1.030
5.713	1.025
5.734	1.020
5.756	1.015
5.779	1.010
5.801	1.005
5.825	1.000
5.848	0.994
5.872	0.989
5.896	0.984
5.920	0.978
5.944	0.973
5.969	0.967
5.994	0.962
6.019	0.956
6.044	0.951
6.069	0.945
6.095	0.940
6.120	0.934
6.145	0.929
6.171	0.923
6.196	0.918
6.222	0.913
6.247	0.908
6.273	0.902
6.298	0.897
6.324	0.892
6.349	0.888
6.374	0.883
6.399	0.878
6.423	0.874
6.448	0.869
6.472	0.865
6.496	0.861
6.520	0.857
6.543	0.853
6.566	0.849
6.589	0.846
6.612	0.842
6.634	0.839
6.656	0.836
6.677	0.833
6.698	0.831
6.718	0.829
6.738	0.826
6.758	0.824
6.777	0.823
6.796	0.821
6.814	0.820
6.832	0.818
6.850	0.817
6.867	0.816
6.884	0.815
6.901	0.814
6.918	0.814
6.935	0.813
6.951	0.812
6.967	0.812
6.983	0.811
6.999	0.811
7.015	0.810
7.031	0.810
7.046	0.809
7.062	0.808
7.078	0.808
7.094	0.807
7.109	0.806
7.125	0.806
7.141	0.805
7.158	0.804
7.174	0.802
7.190	0.801
7.207	0.800
7.224	0.798
7.241	0.796
7.258	0.794
7.276	0.792
7.294	0.790
7.312	0.787
7.331	0.784
7.350	0.781
7.369	0.778
7.388	0.775
7.408	0.772
7.428	0.768
7.448	0.764
7.468	0.761
7.489	0.757
7.509	0.753
7.530	0.748
7.551	0.744
7.573	0.740
7.594	0.735
7.616	0.731
7.638	0.726
7.660	0.722
7.682	0.717
7.704	0.712
7.726	0.707
7.749	0.703
7.771	0.698
7.794	0.693
7.817	0.688
7.839	0.684
7.862	0.679
7.885	0.674
7.908	0.670
7.931	0.665
7.954	0.661
7.977	0.656
8.000	0.652
8.023	0.647
8.047	0.643
8.070	0.639
8.093	0.635
8.116	0.631
8.139	0.627
8.162	0.624
8.184	0.620
8.207	0.617
8.230	0.614
8.253	0.611
8.275	0.608
8.298	0.605
8.320	0.603
8.342	0.600
8.364	0.598
8.387	0.596
8.409	0.595
8.430	0.593
8.452	0.592
8.474	0.591
8.496	0.590
8.517	0.590
8.538	0.589
8.560	0.589
8.581	0.590
8.602	0.590
8.622	0.591
8.643	0.592
8.664	0.593
8.684	0.595
8.704	0.597
8.725	0.599
8.745	0.602
8.764	0.605
8.784	0.608
8.804	0.612
8.823	0.615
8.842	0.620
8.861	0.624
8.880	0.629
8.899	0.635
8.917	0.640
8.936	0.646
8.954	0.653
8.972	0.660
8.990	0.667
9.007	0.675
9.024	0.683
9.042	0.691
9.059	0.700
9.075	0.709
9.092	0.719
9.108	0.729
9.124	0.739
9.140	0.750
9.155	0.761
9.170	0.773
9.185	0.784
9.200	0.796
9.214	0.809
9.228	0.821
9.241	0.834
9.255	0.847
9.267	0.860
9.280	0.874
9.292	0.887
9.303	0.901
9.314	0.915
9.325	0.929
9.335	0.944
9.345	0.958
9.355	0.973
9.363	0.988
9.372	1.003
9.380	1.018
9.387	1.033
9.394	1.048
9.400	1.063
9.406	1.079
9.411	1.094
9.415	1.109
9.419	1.124
9.423	1.140
9.426	1.155
9.428	1.170
9.429	1.186
9.430	1.201
9.431	1.216
9.431	1.231
9.430	1.246
9.429	1.260
9.428	1.275
9.425	1.289
9.423	1.304
9.419	1.318
9.416	1.332
9.412	1.345
9.407	1.359
9.402	1.372
9.396	1.384
9.390	1.397
9.384	1.409
9.377	1.421
9.369	1.433
9.362	1.444
9.354	1.455
9.345	1.465
9.336	1.475
9.327	1.484
9.317	1.494
9.307	1.502
9.296	1.511
9.285	1.518
9.274	1.526
9.262	1.533
9.250	1.540
9.238	1.546
9.225	1.552
9.212	1.558
9.199	1.563
9.185	1.568
9.171	1.573
9.156	1.578
9.141	1.582
9.126	1.586
9.110	1.590
9.094	1.593
9.078	1.596
9.061	1.599
9.044	1.602
9.027	1.605
9.009	1.607
8.991	1.610
8.972	1.612
8.954	1.614
8.935	1.616
8.915	1.618
8.895	1.619
8.875	1.621
8.855	1.622
8.834	1.624
8.813	1.625
8.792	1.626
8.770	1.628
8.748	1.629
8.726	1.630
8.703	1.631
8.681	1.632
8.658	1.632
8.634	1.633
8.611	1.634
8.588	1.635
8.564	1.635
8.540	1.636
8.516	1.636
8.491	1.636
8.467	1.637
8.443	1.637
8.418	1.637
8.393	1.637
8.369	1.637
8.344	1.637
8.319	1.637
8.294	1.637
8.269	1.636
8.244	1.636
8.219	1.636
8.193	1.635
8.168	1.634
8.143	1.634
8.118	1.633
8.093	1.632
8.069	1.631
8.044	1.631
8.019	1.630
7.994	1.628
7.970	1.627
7.945	1.626
7.921	1.625
7.897	1.624
7.873	1.622
7.849	1.621
7.825	1.619
7.802	1.617
7.778	1.616
7.755	1.614
7.733	1.612
7.710	1.610
7.688	1.608
7.665	1.606
7.643	1.604
7.622	1.602
7.600	1.600
7.579	1.598
7.557	1.596
7.536	1.593
7.515	1.591
7.495	1.589
7.474	1.587
7.453	1.585
7.433	1.583
7.413	1.580
7.393	1.578
7.373	1.576
7.353	1.574
7.333	1.573
7.313	1.571
7.293	1.569
7.273	1.567
7.254	1.566
7.234	1.564
7.215	1.563
7.195	1.561
7.176	1.560
7.156	1.559
7.137	1.558
7.117	1.557
7.098	1.557
7.078	1.556
7.059	1.556
7.039	1.556
7.019	1.556
7.000	1.556
6.980	1.556
6.960	1.556
6.940	1.557
6.920	1.558
6.900	1.559
6.880	1.561
6.859	1.562
6.839	1.564
6.819	1.566
6.798	1.568
6.777	1.570
6.757	1.572
6.736	1.574
6.715	1.577
6.694	1.579
6.672	1.582
6.651	1.585
6.630	1.588
6.608	1.591
6.587	1.594
6.565	1.597
6.543	1.600
6.521	1.603
6.499	1.606
6.477	1.609
6.455	1.612
6.433	1.615
6.410	1.618
6.388	1.621
6.365	1.624
6.342	1.627
6.319	1.630
6.296	1.633
6.273	1.636
6.250	1.638
6.226	1.641
6.203	1.643
6.179	1.645
6.155	1.648
6.132	1.650
6.108	1.651
6.083	1.653
6.059	1.655
6.035	1.656
6.010	1.657
5.986	1.658
5.961	1.659
5.936	1.659
5.911	1.660
5.886	1.660
5.861	1.660
5.836	1.659
5.811	1.659
5.786	1.658
5.761	1.657
5.736	1.656
5.711	1.654
5.687	1.652
5.663	1.651
5.639	1.648
5.615	1.646
5.592	1.644
5.569	1.641
5.547	1.638
5.525	1.635
5.503	1.632
5.482	1.628
5.461	1.624
5.441	1.621
5.422	1.616
5.403	1.612
5.385	1.608
5.368	1.603
5.351	1.598
5.335	1.593
5.320	1.588
5.306	1.582
5.293	1.577
5.281	1.571
5.269	1.565
5.259	1.559
5.249	1.552
5.241	1.546
5.234	1.539
5.227	1.532
5.222	1.525
5.219	1.518
5.216	1.510
5.214	1.503
5.212	1.495
5.212	1.487
5.212	1.480
5.213	1.472
5.214	1.464
5.215	1.456
5.217	1.448
5.219	1.439
5.221	1.431
5.223	1.423
5.225	1.415
5.226	1.407
5.228	1.399
5.229	1.391
5.230	1.383
5.231	1.376
5.231	1.368
5.232	1.361
5.232	1.354
5.233	1.347
5.233	1.341
5.234	1.335
5.234	1.329
5.234	1.323
5.235	1.318
5.236	1.314
5.236	1.309
5.237	1.305
5.238	1.302
5.239	1.298
5.241	1.294
5.242	1.289
5.243	1.285
5.245	1.279
5.246	1.274
5.248	1.268
5.249	1.261
5.251	1.254
5.253	1.247
5.256	1.239
5.258	1.232
5.261	1.224
5.264	1.216
5.267	1.208
5.271	1.200
5.275	1.193
5.280	1.185
5.285	1.178
5.290	1.171
