X	Y
5.235	1.346
5.242	1.342
5.249	1.339
5.259	1.337
5.269	1.334
5.280	1.333
5.293	1.332
5.306	1.331
5.321	1.330
5.337	1.331
5.353	1.331
5.371	1.332
5.389	1.333
5.409	1.335
5.429	1.336
5.450	1.339
5.472	1.341
5.495	1.344
5.518	1.347
5.542	1.351
5.567	1.355
5.592	1.359
5.618	1.363
5.645	1.368
5.672	1.372
5.700	1.378
5.728	1.383
5.756	1.388
5.785	1.394
5.815	1.400
5.844	1.406
5.874	1.412
5.904	1.419
5.935	1.425
5.965	1.432
5.996	1.439
6.027	1.446
6.058	1.453
6.090	1.460
6.121	1.467
6.152	1.474
6.183	1.482
6.215	1.489
6.246	1.496
6.277	1.504
6.308	1.511
6.338	1.519
6.369	1.526
6.399	1.534
6.429	1.541
6.459	1.549
6.488	1.556
6.517	1.564
6.546	1.571
6.574	1.578
6.601	1.585
6.629	1.592
6.655	1.599
6.681	1.606
6.707	1.613
6.732	1.619
6.756	1.626
6.780	1.632
6.803	1.638
6.826	1.644
6.849	1.650
6.871	1.656
6.892	1.662
6.913	1.668
6.934	1.673
6.955	1.679
6.975	1.685
6.994	1.690
7.014	1.696
7.033	1.701
7.052	1.706
7.071	1.712
7.089	1.717
7.107	1.722
7.125	1.727
7.143	1.733
7.161	1.738
7.178	1.743
7.196	1.748
7.213	1.753
7.231	1.758
7.248	1.763
7.265	1.769
7.282	1.774
7.300	1.779
7.317	1.784
7.334	1.790
7.352	1.795
7.369	1.800
7.387	1.806
7.404	1.811
7.422	1.817
7.440	1.822
7.459	1.828
7.477	1.834
7.496	1.840
7.514	1.845
7.534	1.851
7.553	1.857
7.573	1.864
7.593	1.870
7.613	1.876
7.634	1.883
7.655	1.889
7.676	1.896
7.697	1.903
7.719	1.910
7.740	1.917
7.762	1.924
7.784	1.931
7.806	1.938
7.829	1.945
7.851	1.953
7.873	1.960
7.896	1.968
7.918	1.975
7.941	1.983
7.964	1.991
7.986	1.999
8.008	2.007
8.031	2.015
8.053	2.023
8.075	2.032
8.098	2.040
8.120	2.049
8.141	2.057
8.163	2.066
8.184	2.074
8.206	2.083
8.227	2.092
8.248	2.101
8.268	2.110
8.288	2.119
8.308	2.128
8.328	2.137
8.347	2.147
8.366	2.156
8.385	2.165
8.403	2.175
8.421	2.185
8.438	2.194
8.455	2.204
8.471	2.214
8.487	2.224
8.503	2.234
8.518	2.244
8.532	2.254
8.546	2.264
8.559	2.274
8.572	2.284
8.584	2.295
8.595	2.305
8.606	2.315
8.616	2.326
8.626	2.336
8.635	2.347
8.644	2.358
8.652	2.368
8.659	2.379
8.666	2.390
8.672	2.401
8.678	2.411
8.683	2.422
8.687	2.433
8.692	2.444
8.695	2.455
8.698	2.466
8.701	2.477
8.702	2.488
8.704	2.499
8.705	2.510
8.705	2.521
8.705	2.533
8.704	2.544
8.703	2.555
8.701	2.566
8.699	2.577
8.697	2.588
8.693	2.600
8.690	2.611
8.686	2.622
8.681	2.633
8.676	2.644
8.671	2.655
8.665	2.666
8.659	2.677
8.653	2.688
8.646	2.699
8.639	2.710
8.631	2.721
8.623	2.732
8.615	2.742
8.606	2.753
8.597	2.764
8.588	2.774
8.579	2.784
8.569	2.795
8.559	2.805
8.549	2.815
8.539	2.825
8.528	2.835
8.518	2.845
8.507	2.854
8.496	2.864
8.484	2.873
8.473	2.883
8.461	2.892
8.450	2.901
8.438	2.910
8.426	2.918
8.414	2.927
8.401	2.935
8.389	2.943
8.376	2.952
8.363	2.960
8.351	2.967
8.337	2.975
8.324	2.982
8.311	2.990
8.297	2.997
8.283	3.004
8.269	3.011
8.255	3.018
8.240	3.024
8.226	3.030
8.211	3.037
8.196	3.043
8.180	3.048
8.165	3.054
8.149	3.060
8.133	3.065
8.117	3.070
8.100	3.075
8.083	3.080
8.066	3.084
8.049	3.089
8.031	3.093
8.014	3.097
7.996	3.101
7.977	3.105
7.959	3.108
7.940	3.112
7.920	3.115
7.901	3.118
7.881	3.120
7.861	3.123
7.841	3.125
7.820	3.127
7.799	3.129
7.778	3.131
7.757	3.132
7.736	3.134
7.714	3.135
7.692	3.136
7.670	3.136
7.648	3.137
7.626	3.137
7.603	3.137
7.581	3.136
7.558	3.136
7.535	3.135
7.512	3.134
7.489	3.133
7.466	3.132
7.443	3.130
7.420	3.128
7.397	3.126
7.373	3.123
7.350	3.121
7.327	3.118
7.304	3.115
7.281	3.111
7.257	3.107
7.234	3.103
7.211	3.099
7.188	3.095
7.165	3.090
7.142	3.085
7.120	3.080
7.097	3.074
7.074	3.068
7.052	3.062
7.030	3.056
7.008	3.049
6.986	3.042
6.964	3.035
6.942	3.027
6.921	3.019
6.900	3.011
6.879	3.003
6.858	2.994
6.838	2.985
6.817	2.975
6.798	2.966
6.778	2.956
6.758	2.945
6.739	2.935
6.720	2.924
6.702	2.913
6.683	2.901
6.665	2.890
6.647	2.878
6.630	2.866
6.612	2.853
6.595	2.841
6.578	2.828
6.561	2.815
6.544	2.802
6.528	2.789
6.511	2.776
6.495	2.762
6.479	2.748
6.464	2.735
6.448	2.721
6.432	2.707
