X	Y
4.513	2.210
4.516	2.201
4.520	2.193
4.525	2.183
4.530	2.174
4.537	2.164
4.544	2.154
4.552	2.144
4.560	2.133
4.569	2.122
4.579	2.111
4.590	2.100
4.601	2.089
4.613	2.077
4.625	2.066
4.637	2.054
4.651	2.042
4.664	2.030
4.679	2.018
4.693	2.005
4.708	1.993
4.723	1.981
4.739	1.968
4.755	1.956
4.771	1.943
4.788	1.931
4.805	1.919
4.822	1.906
4.839	1.894
4.856	1.881
4.874	1.869
4.891	1.857
4.909	1.845
4.927	1.833
4.945	1.821
4.963	1.809
4.981	1.797
4.999	1.786
5.017	1.774
5.035	1.763
5.053	1.752
5.072	1.741
5.090	1.729
5.108	1.718
5.126	1.707
5.145	1.697
5.163	1.686
5.181	1.675
5.199	1.665
5.218	1.654
5.236	1.644
5.254	1.633
5.272	1.623
5.290	1.613
5.308	1.602
5.326	1.592
5.344	1.582
5.362	1.572
5.380	1.562
5.398	1.552
5.416	1.543
5.434	1.533
5.451	1.523
5.469	1.513
5.486	1.504
5.504	1.494
5.521	1.485
5.538	1.475
5.555	1.466
5.572	1.456
5.589	1.447
5.606	1.437
5.623	1.428
5.639	1.419
5.656	1.409
5.672	1.400
5.688	1.391
5.704	1.382
5.720	1.372
5.736	1.363
5.752	1.354
5.768	1.345
5.784	1.336
5.799	1.327
5.815	1.318
5.831	1.309
5.846	1.300
5.862	1.291
5.877	1.282
5.893	1.273
5.909	1.264
5.924	1.255
5.940	1.246
5.956	1.238
5.971	1.229
5.987	1.220
6.003	1.211
6.019	1.203
6.035	1.194
6.051	1.186
6.067	1.177
6.084	1.168
6.100	1.160
6.117	1.152
6.133	1.143
6.150	1.135
6.167	1.126
6.184	1.118
6.201	1.110
6.219	1.101
6.236	1.093
6.254	1.085
6.272	1.077
6.290	1.069
6.308	1.061
6.326	1.053
6.344	1.045
6.363	1.037
6.381	1.029
6.400	1.021
6.418	1.013
6.437	1.006
6.456	0.998
6.474	0.990
6.493	0.983
6.512	0.975
6.531	0.968
6.550	0.961
6.568	0.953
6.587	0.946
6.606	0.939
6.625	0.932
6.644	0.925
6.663	0.918
6.681	0.911
6.700	0.904
6.719	0.897
6.737	0.891
6.756	0.884
6.774	0.877
6.793	0.871
6.811	0.865
6.829	0.858
6.847	0.852
6.865	0.846
6.883	0.840
6.901	0.834
6.918	0.828
6.936	0.823
6.953	0.817
6.970	0.811
6.987	0.806
7.005	0.801
7.021	0.795
7.038	0.790
7.055	0.785
7.072	0.780
7.089	0.775
7.105	0.770
7.122	0.766
7.139	0.761
7.155	0.757
7.172	0.752
7.188	0.748
7.205	0.744
7.221	0.740
7.238	0.736
7.255	0.732
7.271	0.729
7.288	0.725
7.304	0.722
7.321	0.718
7.338	0.715
7.355	0.712
7.372	0.709
7.388	0.706
7.406	0.703
7.423	0.701
7.440	0.698
7.457	0.696
7.474	0.694
7.492	0.692
7.509	0.690
