X	Y
4.479	2.429
4.487	2.423
4.496	2.419
4.507	2.414
4.519	2.410
4.531	2.406
4.545	2.402
4.560	2.399
4.576	2.396
4.593	2.393
4.611	2.390
4.629	2.388
4.649	2.385
4.669	2.383
4.690	2.382
4.712	2.380
4.735	2.379
4.758	2.378
4.782	2.377
4.807	2.376
4.832	2.375
4.858	2.375
4.884	2.374
4.911	2.374
4.938	2.374
4.965	2.374
4.993	2.374
5.021	2.374
5.050	2.374
5.078	2.375
5.107	2.375
5.136	2.376
5.166	2.376
5.195	2.377
5.225	2.378
5.254	2.378
5.284	2.379
5.313	2.380
5.342	2.380
5.372	2.381
5.401	2.382
5.430	2.383
5.459	2.383
5.487	2.384
5.515	2.385
5.543	2.385
5.571	2.386
5.598	2.386
5.625	2.386
5.651	2.387
5.677	2.387
5.703	2.387
5.728	2.387
5.752	2.387
5.776	2.387
5.800	2.386
5.823	2.386
5.846	2.386
5.869	2.385
5.891	2.385
5.913	2.384
5.935	2.384
5.957	2.383
5.978	2.382
5.999	2.382
6.019	2.381
6.040	2.380
6.060	2.379
6.080	2.379
6.100	2.378
6.120	2.377
6.139	2.376
6.159	2.375
6.178	2.374
6.197	2.373
6.216	2.372
6.236	2.372
6.255	2.371
6.274	2.370
6.293	2.369
6.312	2.368
6.331	2.367
6.350	2.367
6.369	2.366
6.388	2.365
6.407	2.364
6.426	2.364
6.446	2.363
6.465	2.363
6.485	2.362
6.504	2.362
6.524	2.361
6.544	2.361
6.565	2.361
6.585	2.360
6.606	2.360
6.626	2.360
6.647	2.360
6.668	2.360
6.689	2.360
6.710	2.361
6.731	2.361
6.753	2.361
6.774	2.362
6.795	2.362
6.816	2.363
6.837	2.363
6.859	2.364
6.880	2.365
6.901	2.365
6.922	2.366
6.943	2.367
6.964	2.368
6.985	2.369
7.006	2.371
7.027	2.372
7.047	2.373
7.068	2.374
7.088	2.376
7.108	2.377
7.128	2.379
7.148	2.381
7.167	2.382
7.187	2.384
7.206	2.386
7.225	2.388
7.243	2.390
7.262	2.392
7.280	2.394
7.298	2.397
7.315	2.399
7.332	2.402
7.349	2.404
7.366	2.407
7.382	2.409
7.398	2.412
7.413	2.415
7.428	2.418
7.443	2.422
7.457	2.425
7.471	2.429
7.484	2.433
7.497	2.437
7.510	2.442
7.522	2.446
7.533	2.451
7.544	2.457
7.555	2.463
7.565	2.469
7.574	2.475
7.583	2.482
7.591	2.490
7.599	2.498
7.606	2.506
7.613	2.515
7.619	2.524
7.625	2.534
7.629	2.544
7.634	2.555
7.637	2.567
7.640	2.579
7.642	2.591
7.644	2.604
7.645	2.618
7.646	2.631
7.646	2.646
7.646	2.660
7.645	2.675
7.643	2.690
7.641	2.706
7.639	2.722
7.636	2.738
7.633	2.754
7.629	2.770
7.625	2.787
7.620	2.804
7.615	2.820
7.610	2.837
7.604	2.854
7.598	2.871
7.592	2.888
7.586	2.905
7.579	2.922
7.571	2.939
7.564	2.956
7.556	2.973
7.548	2.989
7.540	3.006
7.532	3.022
7.523	3.038
7.515	3.053
7.506	3.069
7.497	3.084
7.487	3.099
7.478	3.114
7.468	3.128
7.458	3.142
7.448	3.156
7.438	3.170
7.427	3.184
7.417	3.197
7.406	3.210
7.395	3.223
7.384	3.236
7.372	3.248
7.360	3.260
7.348	3.273
7.336	3.284
7.324	3.296
