X	Y
48.411	40.672
48.447	40.428
48.493	40.180
48.550	39.927
48.618	39.670
48.697	39.408
48.788	39.142
48.891	38.873
49.006	38.601
49.133	38.325
49.273	38.046
49.425	37.764
49.591	37.479
49.771	37.192
49.964	36.903
50.172	36.612
50.392	36.319
50.625	36.024
50.869	35.728
51.124	35.430
51.389	35.131
51.663	34.831
51.946	34.530
52.236	34.228
52.533	33.926
52.836	33.623
53.145	33.320
53.458	33.016
53.774	32.713
54.094	32.409
54.415	32.106
54.738	31.803
55.062	31.501
55.385	31.200
55.707	30.899
56.028	30.599
56.347	30.301
56.666	30.005
56.983	29.711
57.299	29.420
57.615	29.131
57.931	28.846
58.246	28.565
58.561	28.288
58.876	28.016
59.191	27.749
59.506	27.487
59.822	27.231
60.138	26.981
60.455	26.737
60.774	26.501
61.093	26.271
61.414	26.050
61.736	25.836
62.059	25.631
62.384	25.434
62.711	25.246
63.040	25.065
63.370	24.892
63.702	24.727
64.036	24.568
64.371	24.416
64.708	24.271
65.047	24.132
65.387	23.999
65.729	23.871
66.073	23.749
66.419	23.632
66.766	23.519
67.115	23.412
67.465	23.308
67.818	23.208
68.172	23.113
68.527	23.021
68.882	22.935
69.237	22.854
69.592	22.779
69.946	22.711
70.298	22.650
70.647	22.597
70.993	22.553
71.336	22.517
71.675	22.492
72.009	22.476
72.338	22.471
72.661	22.478
72.978	22.496
73.287	22.527
73.589	22.571
73.883	22.629
74.166	22.700
74.438	22.785
74.697	22.883
74.941	22.995
75.171	23.121
75.383	23.261
75.577	23.416
75.752	23.584
75.905	23.767
76.036	23.964
76.143	24.176
76.227	24.402
76.290	24.643
76.333	24.897
76.359	25.166
76.370	25.447
76.367	25.742
76.352	26.049
76.328	26.369
76.297	26.702
76.261	27.046
76.221	27.403
76.179	27.771
76.138	28.150
76.100	28.540
76.066	28.941
76.037	29.351
76.011	29.771
75.990	30.199
75.971	30.635
75.954	31.077
75.940	31.525
75.927	31.977
75.914	32.433
75.902	32.893
75.889	33.354
75.875	33.817
75.859	34.281
75.842	34.743
75.821	35.205
75.798	35.664
75.770	36.121
75.739	36.573
75.702	37.021
75.660	37.463
75.611	37.898
75.556	38.326
75.494	38.746
75.424	39.156
75.346	39.556
75.260	39.945
75.164	40.322
75.059	40.685
74.944	41.035
74.819	41.369
74.683	41.687
74.535	41.988
74.376	42.271
74.204	42.535
74.019	42.778
73.821	43.001
73.610	43.202
73.384	43.380
73.144	43.535
72.890	43.667
72.623	43.780
72.343	43.876
72.051	43.956
71.749	44.022
71.436	44.078
71.113	44.124
70.782	44.164
70.442	44.199
70.095	44.231
69.742	44.263
69.382	44.296
69.017	44.333
68.647	44.376
68.274	44.428
67.897	44.487
67.518	44.555
67.136	44.629
66.752	44.709
66.366	44.794
65.979	44.883
65.592	44.975
65.204	45.069
64.816	45.164
64.428	45.260
64.041	45.354
63.656	45.448
63.272	45.538
62.890	45.625
62.511	45.707
62.134	45.784
61.761	45.855
61.391	45.918
61.026	45.974
60.665	46.021
60.307	46.060
59.953	46.092
59.602	46.116
59.254	46.133
58.909	46.142
58.567	46.145
58.228	46.141
57.890	46.131
57.555	46.115
57.222	46.092
56.890	46.064
56.560	46.030
56.230	45.991
55.902	45.947
55.575	45.898
55.248	45.844
54.922	45.787
54.598	45.725
54.274	45.661
53.951	45.595
53.630	45.526
53.310	45.456
52.992	45.385
52.675	45.313
52.360	45.242
52.047	45.171
51.736	45.101
51.427	45.033
51.120	44.967
50.816	44.904
50.514	44.843
50.219	44.784
49.932	44.725
49.656	44.665
49.396	44.602
49.154	44.535
48.932	44.462
48.735	44.383
48.565	44.295
48.424	44.197
48.317	44.088
48.246	43.966
48.206	43.832
48.193	43.686
48.199	43.531
48.220	43.366
48.248	43.193
48.278	43.013
48.304	42.827
48.322	42.635
48.333	42.438
48.340	42.236
48.344	42.028
48.346	41.815
48.350	41.596
48.357	41.373
48.368	41.144
48.385	40.911
48.411	40.672
