X	Y
48.807	43.384
48.954	43.239
49.133	43.087
49.342	42.929
49.577	42.767
49.839	42.601
50.124	42.434
50.430	42.265
50.757	42.097
51.101	41.931
51.461	41.768
51.835	41.608
52.221	41.455
52.618	41.308
53.022	41.169
53.433	41.039
53.848	40.919
54.266	40.812
54.684	40.717
55.101	40.636
55.516	40.571
55.928	40.519
56.337	40.482
56.744	40.459
57.148	40.450
57.549	40.453
57.947	40.470
58.342	40.500
58.735	40.542
59.124	40.596
59.510	40.662
59.892	40.740
60.272	40.829
60.648	40.929
61.020	41.040
61.389	41.162
61.754	41.293
62.116	41.435
62.473	41.586
62.827	41.747
63.178	41.916
63.524	42.094
63.867	42.280
64.206	42.474
64.543	42.675
64.876	42.883
65.207	43.098
65.535	43.318
65.860	43.544
66.183	43.775
66.503	44.010
66.822	44.250
67.139	44.494
67.454	44.741
67.767	44.991
68.079	45.243
68.390	45.497
68.700	45.753
69.009	46.011
69.317	46.269
69.624	46.527
69.930	46.786
70.232	47.045
70.531	47.306
70.825	47.568
71.112	47.831
71.392	48.096
71.663	48.362
71.925	48.631
72.175	48.901
72.414	49.174
72.640	49.450
72.851	49.729
73.047	50.011
73.227	50.296
73.389	50.584
73.532	50.876
73.655	51.172
73.758	51.472
73.838	51.776
73.898	52.084
73.938	52.394
73.957	52.707
73.958	53.022
73.939	53.339
73.903	53.656
73.849	53.974
73.777	54.292
73.690	54.609
73.586	54.925
73.467	55.239
73.333	55.552
73.185	55.861
73.023	56.167
72.848	56.470
72.661	56.769
72.462	57.064
72.253	57.355
72.034	57.643
71.807	57.928
71.574	58.211
71.334	58.491
71.089	58.769
70.841	59.046
70.590	59.321
70.337	59.595
70.084	59.868
69.831	60.140
69.580	60.413
69.332	60.685
69.087	60.958
68.848	61.231
68.614	61.505
68.388	61.780
68.169	62.057
67.957	62.335
67.750	62.613
67.547	62.891
67.347	63.169
67.150	63.447
66.953	63.724
66.757	63.999
66.559	64.273
66.359	64.545
66.156	64.815
65.948	65.082
65.735	65.346
65.516	65.606
65.289	65.863
65.053	66.115
64.807	66.363
64.551	66.606
64.284	66.843
64.007	67.075
63.721	67.300
63.426	67.518
63.124	67.728
62.815	67.930
62.500	68.123
62.179	68.307
61.854	68.481
61.525	68.644
61.193	68.796
60.858	68.937
60.521	69.065
60.184	69.181
59.846	69.283
59.509	69.371
59.173	69.445
58.840	69.503
58.508	69.547
58.180	69.574
57.854	69.584
57.531	69.577
57.210	69.553
56.894	69.511
56.580	69.450
56.270	69.370
55.963	69.271
55.660	69.151
55.360	69.012
55.065	68.851
54.773	68.669
54.486	68.464
54.203	68.238
53.924	67.988
53.650	67.715
53.380	67.421
53.115	67.106
52.855	66.774
52.600	66.425
52.351	66.062
52.106	65.687
51.867	65.302
51.634	64.907
51.406	64.506
51.184	64.101
50.968	63.692
50.758	63.283
50.555	62.874
50.357	62.468
50.166	62.067
49.982	61.673
49.805	61.287
49.634	60.911
49.470	60.548
49.314	60.198
49.165	59.865
49.023	59.549
48.889	59.250
48.762	58.964
48.642	58.690
48.529	58.425
48.424	58.166
48.326	57.912
48.234	57.660
48.150	57.407
48.073	57.151
48.002	56.891
47.939	56.623
47.882	56.345
47.832	56.055
47.789	55.750
47.753	55.430
47.722	55.094
47.698	54.745
47.681	54.385
47.668	54.016
47.662	53.640
47.661	53.259
47.665	52.874
47.673	52.488
47.687	52.103
47.705	51.720
47.727	51.341
47.754	50.969
47.784	50.606
47.818	50.252
47.855	49.911
47.896	49.585
47.940	49.274
47.986	48.981
48.035	48.706
48.084	48.447
48.135	48.201
48.185	47.968
48.234	47.745
48.282	47.529
48.326	47.320
48.367	47.115
48.404	46.912
48.435	46.709
48.460	46.505
48.479	46.297
48.491	46.086
48.497	45.874
48.499	45.662
48.498	45.452
48.493	45.246
48.487	45.045
48.481	44.852
48.474	44.668
48.469	44.494
48.467	44.333
48.469	44.184
48.480	44.045
48.503	43.912
48.543	43.782
48.605	43.653
48.691	43.521
48.807	43.384
