X	Y
263.000	337.000
262.212	336.845
261.424	336.451
260.632	335.830
259.835	334.997
259.028	333.963
258.210	332.740
257.378	331.342
256.528	329.781
255.659	328.070
254.766	326.222
253.849	324.248
252.903	322.162
251.926	319.977
250.915	317.704
249.867	315.357
248.781	312.948
247.652	310.490
246.478	307.996
245.257	305.477
243.989	302.940
242.676	300.385
241.323	297.814
239.932	295.227
238.506	292.626
237.048	290.010
235.561	287.382
234.047	284.742
232.511	282.090
230.955	279.429
229.381	276.758
227.794	274.078
226.195	271.391
224.588	268.697
222.977	265.998
221.363	263.293
219.750	260.585
218.141	257.873
216.538	255.160
214.946	252.445
213.366	249.729
211.802	247.015
210.257	244.301
208.734	241.590
207.236	238.882
205.765	236.178
204.326	233.479
202.920	230.786
201.550	228.100
200.221	225.421
198.932	222.752
197.685	220.093
196.479	217.446
195.315	214.814
194.193	212.196
193.113	209.597
192.075	207.016
191.080	204.456
190.127	201.918
189.217	199.404
188.350	196.915
187.527	194.454
186.746	192.021
186.010	189.619
185.317	187.249
184.668	184.913
184.063	182.613
183.503	180.349
182.987	178.124
182.516	175.940
182.090	173.798
181.710	171.700
181.374	169.647
181.084	167.640
180.840	165.683
180.639	163.772
180.480	161.905
180.359	160.077
180.273	158.285
180.220	156.526
180.196	154.797
180.200	153.092
180.228	151.410
180.276	149.746
180.344	148.098
180.427	146.460
180.522	144.831
180.628	143.205
180.741	141.581
180.858	139.953
180.977	138.320
181.095	136.677
181.217	135.032
181.351	133.392
181.503	131.767
181.681	130.167
181.893	128.600
182.145	127.076
182.445	125.604
182.800	124.193
183.218	122.852
183.705	121.590
184.270	120.417
184.919	119.341
185.660	118.372
186.500	117.519
187.438	116.784
188.468	116.166
189.583	115.660
190.777	115.266
192.044	114.981
193.376	114.802
194.768	114.727
196.212	114.753
197.703	114.878
199.234	115.099
200.798	115.414
202.389	115.821
204.000	116.318
205.626	116.900
207.263	117.566
208.905	118.313
210.548	119.136
212.188	120.035
213.820	121.005
215.440	122.043
217.042	123.147
218.622	124.313
220.175	125.540
221.698	126.822
223.185	128.159
224.631	129.546
226.033	130.981
227.385	132.460
228.683	133.982
229.922	135.542
231.098	137.138
232.208	138.767
233.255	140.430
234.244	142.128
235.178	143.860
236.063	145.628
236.903	147.432
237.702	149.273
238.465	151.150
239.196	153.066
239.898	155.019
240.578	157.012
241.239	159.044
241.885	161.116
242.521	163.228
243.151	165.382
243.780	167.578
244.412	169.816
245.051	172.096
245.703	174.421
246.370	176.789
247.058	179.202
247.770	181.659
248.504	184.157
249.259	186.690
250.033	189.256
250.823	191.849
251.629	194.466
252.448	197.101
253.278	199.751
254.118	202.411
254.965	205.077
255.818	207.745
256.674	210.410
257.533	213.068
258.391	215.714
259.248	218.346
260.100	220.957
260.948	223.544
261.787	226.102
262.617	228.628
263.436	231.116
264.242	233.563
265.033	235.964
265.807	238.315
266.562	240.611
267.296	242.849
268.008	245.024
268.695	247.132
269.358	249.179
269.994	251.168
270.604	253.106
271.187	254.996
271.742	256.844
272.268	258.655
272.765	260.434
273.231	262.186
273.667	263.916
274.072	265.629
274.444	267.330
274.784	269.025
275.090	270.718
275.362	272.414
275.599	274.118
275.800	275.836
275.965	277.572
276.094	279.331
276.187	281.111
276.251	282.907
276.287	284.713
276.300	286.524
276.293	288.336
276.271	290.144
276.236	291.941
276.194	293.724
276.146	295.486
276.098	297.224
276.052	298.931
276.013	300.603
275.984	302.234
275.969	303.820
275.972	305.355
275.996	306.834
276.043	308.253
276.109	309.613
276.184	310.916
276.259	312.166
276.327	313.364
276.378	314.514
276.404	315.617
276.396	316.677
276.346	317.696
276.246	318.677
276.085	319.622
275.857	320.534
275.560	321.419
275.200	322.286
274.781	323.143
274.308	323.997
273.787	324.858
273.222	325.734
272.619	326.633
271.982	327.564
271.316	328.535
270.627	329.553
269.918	330.608
269.190	331.670
268.448	332.712
267.692	333.704
266.924	334.618
266.148	335.424
265.366	336.094
264.579	336.599
263.789	336.911
263.000	337.000
