X	Y
255.000	309.000
253.723	306.998
252.454	304.996
251.192	302.992
249.938	300.985
248.690	298.977
247.449	296.964
246.215	294.949
244.988	292.929
243.767	290.904
242.552	288.874
241.343	286.838
240.141	284.795
238.944	282.746
237.752	280.689
236.567	278.624
235.386	276.550
234.211	274.467
233.041	272.375
231.875	270.272
230.715	268.159
229.559	266.034
228.407	263.898
227.261	261.749
226.120	259.587
224.987	257.412
223.861	255.223
222.745	253.019
221.640	250.800
220.546	248.566
219.464	246.316
218.396	244.049
217.343	241.765
216.306	239.464
215.285	237.144
214.283	234.806
213.300	232.448
212.337	230.071
211.395	227.674
210.476	225.256
209.580	222.816
208.709	220.355
207.863	217.872
207.044	215.365
206.253	212.836
205.492	210.282
204.763	207.711
204.073	205.131
203.428	202.549
202.832	199.977
202.292	197.421
201.814	194.891
201.403	192.395
201.064	189.943
200.803	187.544
200.627	185.205
200.540	182.936
200.548	180.746
200.657	178.643
200.873	176.637
201.201	174.735
201.647	172.948
202.216	171.283
202.915	169.749
203.748	168.355
204.721	167.110
205.830	166.015
207.068	165.066
208.428	164.260
209.902	163.596
211.483	163.071
213.162	162.681
214.934	162.424
216.789	162.298
218.721	162.299
220.722	162.425
222.785	162.672
224.901	163.039
227.065	163.523
229.267	164.120
231.502	164.828
233.760	165.645
236.037	166.564
238.329	167.580
240.629	168.686
242.933	169.876
245.237	171.144
247.535	172.483
249.823	173.888
252.095	175.353
254.348	176.870
256.575	178.433
258.773	180.037
260.936	181.675
263.060	183.342
265.139	185.029
267.169	186.733
269.145	188.445
271.062	190.160
272.916	191.872
274.701	193.575
276.412	195.261
278.045	196.926
279.595	198.562
281.058	200.165
282.432	201.736
283.722	203.282
284.929	204.808
286.055	206.322
287.103	207.829
288.074	209.335
288.973	210.847
289.800	212.371
290.558	213.913
291.249	215.480
291.876	217.077
292.441	218.711
292.947	220.388
293.395	222.115
293.789	223.898
294.129	225.742
294.420	227.648
294.663	229.612
294.861	231.627
295.016	233.686
295.130	235.784
295.208	237.915
295.250	240.072
295.259	242.249
295.238	244.440
295.190	246.639
295.117	248.840
295.021	251.036
294.905	253.222
294.771	255.391
294.623	257.538
294.461	259.655
294.290	261.738
294.111	263.779
293.928	265.773
293.740	267.718
293.548	269.618
293.350	271.476
293.145	273.296
292.933	275.084
292.713	276.841
292.483	278.574
292.244	280.285
291.993	281.979
291.730	283.659
291.455	285.331
291.166	286.997
290.862	288.661
290.543	290.329
290.207	292.003
289.854	293.688
289.483	295.384
289.096	297.086
288.692	298.790
288.272	300.489
287.837	302.180
287.387	303.857
286.924	305.514
286.447	307.148
285.958	308.754
285.456	310.325
284.943	311.857
284.419	313.346
283.885	314.786
283.341	316.172
282.788	317.498
282.228	318.765
281.661	319.972
281.090	321.123
280.517	322.220
279.944	323.265
279.372	324.261
278.804	325.209
278.241	326.113
277.685	326.974
277.139	327.795
276.602	328.576
276.068	329.298
275.523	329.932
274.955	330.448
274.351	330.817
273.698	331.010
272.983	330.997
272.197	330.757
271.342	330.298
270.423	329.633
269.446	328.779
268.415	327.748
267.336	326.557
266.213	325.220
265.053	323.750
263.858	322.163
262.636	320.474
261.391	318.697
260.128	316.846
258.853	314.936
257.569	312.982
256.283	310.999
255.000	309.000
