X	Y
43.300	30.988
43.291	30.854
43.289	30.713
43.294	30.567
43.305	30.415
43.323	30.257
43.346	30.093
43.377	29.924
43.413	29.751
43.456	29.572
43.506	29.389
43.562	29.202
43.623	29.010
43.692	28.815
43.766	28.616
43.847	28.414
43.934	28.208
44.027	28.000
44.126	27.789
44.231	27.575
44.342	27.359
44.460	27.141
44.583	26.922
44.713	26.700
44.848	26.478
44.989	26.254
45.137	26.030
45.289	25.804
45.447	25.578
45.610	25.351
45.777	25.124
45.949	24.896
46.126	24.667
46.306	24.439
46.490	24.210
46.677	23.981
46.867	23.752
47.060	23.524
47.256	23.295
47.455	23.067
47.655	22.839
47.858	22.612
48.062	22.385
48.267	22.159
48.473	21.934
48.681	21.710
48.888	21.486
49.097	21.264
49.305	21.043
49.513	20.823
49.720	20.605
49.927	20.388
50.133	20.173
50.338	19.959
50.541	19.748
50.742	19.538
50.942	19.330
51.139	19.124
51.334	18.920
51.526	18.719
51.715	18.520
51.900	18.323
52.083	18.129
52.264	17.937
52.441	17.747
52.617	17.560
52.791	17.374
52.963	17.191
53.133	17.009
53.302	16.829
53.470	16.651
53.638	16.475
53.804	16.301
53.971	16.128
54.137	15.957
54.303	15.787
54.470	15.619
54.637	15.452
54.805	15.286
54.974	15.122
55.145	14.959
55.317	14.797
55.490	14.636
55.666	14.476
55.843	14.317
56.023	14.158
56.206	14.001
56.392	13.844
56.580	13.688
56.772	13.532
56.968	13.378
57.167	13.223
57.370	13.069
57.575	12.915
57.784	12.762
57.996	12.610
58.211	12.457
58.428	12.306
58.648	12.154
58.871	12.003
59.095	11.852
59.322	11.702
59.551	11.552
59.781	11.402
60.014	11.253
60.247	11.104
60.482	10.955
60.719	10.806
60.956	10.658
61.195	10.510
61.434	10.362
61.673	10.214
61.914	10.067
62.154	9.919
62.395	9.772
62.636	9.625
62.877	9.478
63.118	9.331
63.358	9.185
63.598	9.038
63.837	8.892
64.075	8.745
64.313	8.599
64.549	8.452
64.784	8.306
65.018	8.160
65.251	8.014
65.483	7.870
65.714	7.726
65.944	7.583
66.173	7.441
66.401	7.301
66.629	7.162
66.856	7.026
67.082	6.891
67.307	6.759
67.532	6.629
67.757	6.501
67.981	6.377
68.204	6.255
68.427	6.137
68.650	6.022
68.873	5.910
69.095	5.803
69.317	5.699
69.539	5.600
69.761	5.505
69.982	5.414
70.204	5.328
70.426	5.248
70.648	5.172
70.870	5.102
71.092	5.037
71.315	4.978
71.538	4.925
71.761	4.877
71.984	4.836
72.207	4.799
72.431	4.768
72.655	4.742
72.878	4.721
73.102	4.704
73.325	4.692
73.548	4.683
73.771	4.679
73.994	4.678
74.216	4.681
74.437	4.686
74.659	4.695
74.879	4.707
