X	Y
43.961	33.136
44.123	33.024
44.304	32.915
44.503	32.810
44.720	32.710
44.955	32.614
45.206	32.522
45.473	32.435
45.756	32.352
46.053	32.275
46.365	32.202
46.691	32.135
47.029	32.073
47.380	32.017
47.744	31.966
48.118	31.921
48.503	31.883
48.899	31.850
49.303	31.824
49.717	31.804
50.139	31.791
50.569	31.785
51.006	31.785
51.448	31.792
51.897	31.805
52.349	31.825
52.806	31.851
53.266	31.884
53.728	31.923
54.192	31.969
54.658	32.022
55.123	32.081
55.588	32.146
56.052	32.218
56.514	32.296
56.974	32.381
57.430	32.472
57.883	32.570
58.330	32.674
58.772	32.784
59.208	32.901
59.637	33.024
60.058	33.154
60.471	33.290
60.874	33.432
61.268	33.581
61.651	33.736
62.024	33.897
62.386	34.064
62.738	34.235
63.079	34.412
63.410	34.592
63.731	34.776
64.042	34.964
64.343	35.154
64.635	35.347
64.917	35.541
65.189	35.737
65.452	35.934
65.706	36.132
65.951	36.329
66.187	36.526
66.415	36.722
66.633	36.917
66.843	37.110
67.045	37.301
67.238	37.489
67.423	37.674
67.599	37.857
67.766	38.037
67.924	38.215
68.071	38.392
68.208	38.567
68.335	38.742
68.450	38.916
68.554	39.090
68.646	39.264
68.725	39.438
68.792	39.614
68.845	39.790
68.886	39.968
68.917	40.146
68.941	40.325
68.960	40.505
68.977	40.684
68.995	40.862
69.017	41.039
69.046	41.215
69.084	41.389
69.133	41.561
69.198	41.730
69.277	41.897
69.368	42.061
69.470	42.224
69.578	42.386
69.691	42.548
69.805	42.710
69.919	42.872
70.030	43.035
70.135	43.201
70.231	43.368
70.317	43.538
70.389	43.711
70.447	43.886
70.491	44.062
70.521	44.237
70.537	44.411
70.539	44.580
70.527	44.745
70.501	44.904
70.460	45.056
70.405	45.198
70.335	45.331
70.255	45.456
70.167	45.575
70.074	45.691
69.979	45.805
69.886	45.920
69.799	46.038
69.719	46.162
69.652	46.293
69.598	46.432
69.559	46.579
69.534	46.731
69.522	46.885
69.525	47.040
69.542	47.195
69.573	47.345
69.617	47.490
69.675	47.628
69.745	47.757
69.824	47.880
69.909	47.997
69.997	48.110
70.084	48.221
70.168	48.333
70.243	48.446
70.308	48.562
70.360	48.683
70.397	48.809
70.422	48.938
70.436	49.069
70.440	49.200
70.434	49.331
70.422	49.461
70.402	49.587
70.377	49.710
70.345	49.827
70.303	49.939
70.250	50.045
70.183	50.144
70.100	50.235
70.000	50.317
69.880	50.391
69.745	50.458
69.598	50.520
69.444	50.581
69.288	50.641
69.133	50.705
68.984	50.774
68.846	50.850
68.723	50.937
68.618	51.037
68.535	51.149
68.472	51.273
68.426	51.406
68.397	51.547
68.384	51.694
68.385	51.846
68.398	52.000
68.423	52.154
68.458	52.309
68.500	52.462
68.548	52.615
68.599	52.766
68.651	52.917
68.702	53.066
68.750	53.214
68.792	53.360
68.826	53.505
68.850	53.649
68.863	53.791
68.865	53.930
68.855	54.067
68.833	54.200
68.799	54.330
68.752	54.457
68.693	54.578
68.620	54.695
68.536	54.808
68.443	54.919
68.343	55.027
68.241	55.136
68.138	55.245
68.037	55.357
67.942	55.473
67.854	55.593
67.777	55.720
67.710	55.852
67.652	55.989
67.602	56.129
67.558	56.272
67.521	56.417
67.487	56.562
67.457	56.707
67.429	56.851
67.402	56.994
67.378	57.135
67.356	57.276
67.339	57.419
67.326	57.563
67.320	57.712
67.321	57.864
67.330	58.023
67.348	58.189
67.376	58.362
67.415	58.542
67.463	58.729
67.522	58.921
67.590	59.119
67.669	59.321
67.757	59.527
67.855	59.736
67.963	59.947
68.081	60.161
68.209	60.375
68.346	60.590
68.493	60.804
68.649	61.018
68.814	61.230
68.985	61.442
69.160	61.653
69.339	61.864
69.518	62.074
69.697	62.283
69.874	62.492
70.047	62.701
70.214	62.910
70.373	63.119
70.524	63.328
70.663	63.536
70.790	63.746
70.903	63.955
71.000	64.165
71.079	64.374
71.141	64.581
71.184	64.782
71.210	64.975
71.216	65.156
71.204	65.323
71.172	65.473
71.121	65.604
71.049	65.711
70.958	65.794
70.847	65.849
70.718	65.879
70.575	65.885
70.420	65.867
70.255	65.828
70.083	65.769
69.906	65.691
69.728	65.595
69.550	65.484
69.375	65.357
69.203	65.218
69.035	65.066
68.871	64.904
68.711	64.732
68.553	64.552
68.400	64.366
68.249	64.173
68.101	63.977
67.957	63.777
67.815	63.576
67.677	63.375
67.541	63.174
67.408	62.976
67.277	62.781
67.148	62.591
67.021	62.406
66.894	62.229
66.765	62.059
66.636	61.898
66.503	61.747
66.367	61.608
66.227	61.480
66.081	61.366
65.928	61.266
65.769	61.182
65.601	61.113
65.425	61.061
65.243	61.024
65.057	60.999
64.868	60.986
64.678	60.983
64.489	60.987
64.302	60.999
64.118	61.016
63.940	61.036
63.770	61.058
63.608	61.080
63.454	61.104
63.305	61.128
63.159	61.154
63.014	61.183
62.867	61.216
62.715	61.253
62.556	61.296
62.388	61.345
62.208	61.401
62.014	61.465
61.809	61.537
61.597	61.615
61.380	61.701
61.162	61.793
60.945	61.891
60.733	61.996
60.528	62.106
60.335	62.222
60.155	62.343
59.993	62.468
59.851	62.599
59.733	62.733
59.639	62.871
59.565	63.011
59.507	63.150
59.459	63.286
59.417	63.418
59.374	63.543
59.327	63.658
59.269	63.763
59.197	63.854
59.108	63.930
59.006	63.991
58.892	64.035
58.768	64.061
58.635	64.068
58.495	64.055
58.350	64.022
58.201	63.967
58.050	63.894
57.898	63.801
57.746	63.692
57.595	63.568
57.446	63.429
57.300	63.277
57.159	63.113
57.024	62.939
56.895	62.755
56.775	62.563
56.663	62.365
56.559	62.163
56.460	61.959
56.365	61.755
56.271	61.555
56.177	61.360
56.080	61.172
55.980	60.995
55.873	60.831
55.759	60.682
55.634	60.550
55.498	60.439
55.347	60.349
55.184	60.281
55.010	60.229
54.826	60.190
54.636	60.161
54.440	60.137
54.241	60.115
54.041	60.091
53.842	60.061
53.646	60.021
53.455	59.968
53.270	59.897
53.094	59.806
52.927	59.696
52.767	59.567
52.615	59.420
52.470	59.257
52.333	59.077
52.202	58.883
52.078	58.675
51.960	58.454
51.848	58.221
51.742	57.977
51.641	57.722
51.546	57.458
51.455	57.186
51.368	56.906
51.286	56.619
51.206	56.326
51.130	56.027
51.055	55.723
50.982	55.414
50.911	55.101
50.839	54.785
50.767	54.466
50.695	54.145
50.621	53.822
50.546	53.497
50.467	53.173
50.386	52.848
50.302	52.524
50.213	52.201
50.119	51.880
50.020	51.561
49.915	51.246
49.804	50.934
