X	Y
274.000	269.500
273.345	268.591
272.769	267.522
272.266	266.304
271.831	264.948
271.459	263.464
271.145	261.863
270.881	260.156
270.664	258.352
270.488	256.463
270.347	254.499
270.235	252.471
270.148	250.389
270.080	248.265
270.025	246.108
269.978	243.929
269.935	241.733
269.897	239.518
269.862	237.284
269.830	235.028
269.799	232.750
269.769	230.447
269.740	228.119
269.710	225.763
269.678	223.379
269.645	220.966
269.608	218.521
269.568	216.043
269.524	213.531
269.475	210.983
269.420	208.399
269.359	205.776
269.290	203.113
269.213	200.408
269.127	197.661
269.031	194.870
268.926	192.034
268.810	189.154
268.686	186.233
268.555	183.277
268.417	180.287
268.273	177.268
268.126	174.222
267.975	171.155
267.822	168.068
267.669	164.966
267.515	161.852
267.363	158.729
267.214	155.602
267.068	152.473
266.926	149.347
266.791	146.226
266.662	143.115
266.542	140.016
266.430	136.933
266.329	133.871
266.239	130.831
266.162	127.818
266.098	124.836
266.050	121.888
266.016	118.977
266.000	116.107
266.002	113.280
266.023	110.498
266.065	107.758
266.128	105.060
266.213	102.404
266.322	99.787
266.456	97.210
266.616	94.672
266.803	92.171
267.018	89.707
267.262	87.278
267.537	84.885
267.843	82.526
268.182	80.200
268.555	77.907
268.963	75.645
269.407	73.414
269.888	71.212
270.407	69.040
270.966	66.895
271.565	64.778
272.206	62.688
272.887	60.630
273.608	58.608
274.369	56.627
275.167	54.691
276.004	52.804
276.877	50.973
277.787	49.201
278.731	47.492
279.711	45.852
280.724	44.285
281.770	42.796
282.849	41.389
283.959	40.069
285.099	38.840
286.270	37.708
287.470	36.675
288.698	35.738
289.951	34.891
291.230	34.127
292.532	33.439
293.855	32.821
295.198	32.265
296.559	31.765
297.937	31.314
299.330	30.907
300.737	30.535
302.156	30.192
303.585	29.872
305.021	29.577
306.458	29.323
307.889	29.125
309.309	28.999
310.711	28.960
312.090	29.023
313.438	29.205
314.750	29.520
316.019	29.985
317.240	30.614
318.406	31.424
319.512	32.426
320.560	33.609
321.555	34.958
322.500	36.456
323.400	38.086
324.258	39.831
325.079	41.676
325.867	43.603
326.626	45.595
327.360	47.636
328.073	49.710
328.770	51.800
329.453	53.889
330.129	55.960
330.800	57.997
331.470	59.984
332.145	61.904
332.824	63.747
333.505	65.520
334.181	67.232
334.849	68.891
335.502	70.507
336.136	72.088
336.746	73.643
337.327	75.179
337.874	76.707
338.382	78.235
338.846	79.770
339.261	81.323
339.621	82.902
339.923	84.515
340.161	86.170
340.334	87.869
340.446	89.609
340.498	91.387
340.492	93.200
340.430	95.046
340.315	96.921
340.149	98.823
339.933	100.748
339.670	102.695
339.362	104.660
339.011	106.640
338.619	108.633
338.188	110.636
337.721	112.645
337.219	114.659
336.685	116.674
336.120	118.690
335.526	120.712
334.904	122.742
334.255	124.782
333.581	126.837
332.883	128.909
332.163	131.001
331.421	133.116
330.659	135.257
329.879	137.428
329.081	139.631
328.268	141.870
327.440	144.147
326.599	146.465
325.746	148.828
324.882	151.239
324.010	153.700
323.130	156.216
322.243	158.788
321.351	161.419
320.455	164.106
319.557	166.843
318.656	169.623
317.755	172.440
316.854	175.287
315.954	178.158
315.056	181.047
314.161	183.947
313.271	186.851
312.386	189.754
311.508	192.649
310.637	195.529
309.774	198.389
308.921	201.221
308.079	204.020
307.248	206.778
306.429	209.490
305.625	212.148
304.834	214.748
304.060	217.281
303.302	219.743
302.562	222.126
301.841	224.424
301.140	226.630
300.457	228.743
299.793	230.765
299.143	232.697
298.508	234.540
297.883	236.298
297.269	237.971
296.662	239.562
296.062	241.072
295.465	242.504
294.870	243.859
294.275	245.138
293.679	246.345
293.079	247.480
292.473	248.546
291.859	249.546
291.237	250.485
290.603	251.373
289.957	252.215
289.297	253.020
288.622	253.795
287.929	254.547
287.217	255.285
286.485	256.014
285.735	256.743
284.983	257.477
284.251	258.219
283.557	258.975
282.923	259.748
282.368	260.544
281.913	261.366
281.578	262.220
281.381	263.108
281.306	264.023
281.319	264.948
281.385	265.868
281.468	266.767
281.534	267.630
281.546	268.440
281.470	269.182
281.284	269.843
280.988	270.414
280.584	270.887
280.078	271.255
279.471	271.509
278.771	271.642
278.001	271.646
277.186	271.516
276.353	271.243
275.527	270.820
274.734	270.242
274.000	269.500
