X	Y
293.000	254.500
292.948	253.410
292.922	252.185
292.928	250.827
292.976	249.338
293.073	247.716
293.227	245.965
293.445	244.084
293.736	242.075
294.107	239.938
294.566	237.676
295.122	235.287
295.781	232.775
296.552	230.139
297.431	227.387
298.412	224.527
299.486	221.568
300.646	218.518
301.884	215.387
303.192	212.184
304.564	208.918
305.990	205.597
307.464	202.230
308.978	198.827
310.525	195.396
312.095	191.946
313.683	188.486
315.280	185.025
316.879	181.572
318.471	178.135
320.050	174.724
321.607	171.348
323.135	168.015
324.626	164.735
326.073	161.515
327.468	158.366
328.804	155.296
330.076	152.310
331.288	149.405
332.447	146.577
333.556	143.823
334.622	141.138
335.649	138.518
336.643	135.960
337.608	133.459
338.550	131.013
339.474	128.615
340.385	126.264
341.289	123.955
342.190	121.684
343.094	119.446
344.005	117.239
344.929	115.059
345.872	112.900
346.838	110.760
347.828	108.639
348.840	106.542
349.871	104.475
350.916	102.445
351.971	100.458
353.034	98.520
354.100	96.638
355.167	94.816
356.229	93.063
357.284	91.384
358.328	89.784
359.358	88.271
360.369	86.851
361.359	85.529
362.326	84.316
363.275	83.224
364.211	82.267
365.137	81.460
366.059	80.816
366.981	80.348
367.907	80.071
368.843	79.998
369.788	80.131
370.738	80.456
371.691	80.957
372.640	81.618
373.582	82.425
374.512	83.360
375.426	84.410
376.320	85.559
377.192	86.803
378.040	88.141
378.864	89.570
379.662	91.091
380.432	92.700
381.173	94.396
381.885	96.178
382.565	98.044
383.213	99.993
383.826	102.023
384.405	104.132
384.946	106.317
385.451	108.572
385.916	110.886
386.342	113.248
386.727	115.649
387.070	118.078
387.370	120.526
387.627	122.981
387.839	125.435
388.005	127.876
388.125	130.294
388.197	132.680
388.220	135.023
388.193	137.313
388.115	139.540
387.986	141.694
387.804	143.768
387.569	145.768
387.281	147.702
386.940	149.577
386.546	151.401
386.099	153.181
385.599	154.926
385.045	156.643
384.438	158.339
383.777	160.023
383.062	161.702
382.294	163.384
381.472	165.075
380.599	166.778
379.681	168.488
378.721	170.203
377.725	171.918
376.697	173.630
375.643	175.336
374.567	177.032
373.474	178.715
372.370	180.381
371.258	182.027
370.143	183.649
369.032	185.245
367.927	186.809
366.832	188.344
365.744	189.854
364.665	191.342
363.591	192.814
362.523	194.274
361.460	195.727
360.400	197.177
359.343	198.628
358.288	200.085
357.234	201.552
356.180	203.035
355.124	204.537
354.067	206.060
353.007	207.603
351.944	209.164
350.876	210.741
349.804	212.331
348.725	213.932
347.639	215.544
346.545	217.163
345.443	218.788
344.332	220.416
343.210	222.046
342.078	223.676
340.933	225.304
339.777	226.927
338.611	228.545
337.436	230.157
336.253	231.760
335.065	233.354
333.872	234.937
332.677	236.507
331.479	238.064
330.282	239.606
329.085	241.132
327.892	242.639
326.702	244.128
325.518	245.595
324.339	247.035
323.159	248.433
321.974	249.773
320.779	251.042
319.570	252.224
318.341	253.304
317.089	254.268
315.808	255.101
314.494	255.788
313.141	256.315
311.747	256.667
310.325	256.862
308.907	256.945
307.525	256.962
306.211	256.958
304.997	256.980
303.913	257.072
302.993	257.281
302.268	257.652
301.721	258.177
301.272	258.774
300.833	259.354
300.316	259.829
299.636	260.113
298.785	260.177
297.826	260.051
296.828	259.769
295.861	259.363
294.990	258.865
294.286	258.309
293.776	257.707
293.428	257.043
293.207	256.300
293.077	255.458
293.000	254.500
