X	Y
212.500	103.000
213.344	102.334
214.426	101.730
215.724	101.175
217.214	100.658
218.873	100.168
220.678	99.692
222.606	99.218
224.634	98.735
226.738	98.232
228.897	97.696
231.085	97.116
233.283	96.481
235.483	95.790
237.684	95.049
239.886	94.260
242.087	93.428
244.287	92.555
246.484	91.648
248.679	90.708
250.869	89.740
253.054	88.748
255.234	87.736
257.406	86.708
259.571	85.666
261.727	84.617
263.874	83.562
266.010	82.506
268.137	81.451
270.254	80.397
272.363	79.344
274.464	78.295
276.557	77.250
278.644	76.210
280.725	75.176
282.800	74.149
284.871	73.130
286.937	72.120
289.000	71.119
291.060	70.129
293.117	69.151
295.173	68.185
297.228	67.233
299.285	66.294
301.346	65.368
303.412	64.456
305.487	63.556
307.571	62.670
309.667	61.797
311.778	60.937
313.904	60.090
316.049	59.256
318.215	58.435
320.403	57.627
322.616	56.832
324.856	56.049
327.124	55.281
329.419	54.527
331.737	53.790
334.077	53.073
336.436	52.378
338.810	51.707
341.198	51.063
343.597	50.447
346.003	49.863
348.415	49.311
350.830	48.796
353.245	48.319
355.658	47.881
358.065	47.487
360.465	47.137
362.854	46.834
365.225	46.585
367.568	46.397
369.873	46.279
372.128	46.238
374.324	46.285
376.450	46.427
378.495	46.672
380.449	47.029
382.301	47.507
384.041	48.114
385.658	48.858
387.142	49.747
388.483	50.790
389.680	51.976
390.736	53.290
391.655	54.717
392.439	56.239
393.092	57.840
393.616	59.505
394.017	61.216
394.295	62.958
394.456	64.715
394.501	66.470
394.435	68.211
394.264	69.934
393.992	71.635
393.626	73.309
393.170	74.954
392.630	76.566
392.012	78.140
391.322	79.673
390.563	81.162
389.743	82.601
388.866	83.990
387.936	85.333
386.957	86.642
385.931	87.929
384.861	89.205
383.751	90.481
382.604	91.769
381.422	93.080
380.209	94.425
378.968	95.816
377.702	97.265
376.414	98.779
375.103	100.349
373.769	101.955
372.411	103.580
371.028	105.205
369.619	106.812
368.184	108.382
366.721	109.898
365.230	111.341
363.710	112.693
362.160	113.936
360.579	115.050
358.966	116.018
357.321	116.828
355.640	117.491
353.922	118.021
352.163	118.436
350.363	118.751
348.517	118.983
346.625	119.146
344.683	119.258
342.689	119.333
340.640	119.389
338.535	119.441
336.370	119.504
334.144	119.592
331.862	119.705
329.527	119.840
327.143	119.995
324.714	120.167
322.245	120.355
319.740	120.555
317.202	120.766
314.637	120.986
312.048	121.211
309.440	121.440
306.816	121.671
304.182	121.900
301.540	122.126
298.896	122.347
296.253	122.559
293.615	122.762
290.985	122.957
288.365	123.142
285.757	123.321
283.165	123.492
280.590	123.656
278.035	123.815
275.502	123.968
272.994	124.116
270.514	124.260
268.063	124.400
265.645	124.537
263.261	124.672
260.915	124.805
258.608	124.936
256.343	125.067
254.121	125.193
251.941	125.307
249.802	125.400
247.704	125.467
245.645	125.497
243.625	125.485
241.642	125.422
239.696	125.300
237.787	125.112
235.913	124.850
234.073	124.506
232.267	124.073
230.494	123.545
228.758	122.937
227.062	122.270
225.411	121.565
223.810	120.844
222.262	120.126
220.773	119.435
219.346	118.791
217.986	118.215
216.697	117.728
215.484	117.351
214.358	117.068
213.342	116.824
212.456	116.560
211.723	116.216
211.164	115.734
210.797	115.059
210.610	114.192
210.564	113.177
210.618	112.058
210.735	110.879
210.875	109.684
210.998	108.517
211.081	107.415
211.160	106.386
211.288	105.430
211.519	104.547
211.905	103.737
212.500	103.000
