X	Y
217.000	119.000
218.005	118.143
219.230	117.437
220.661	116.872
222.288	116.440
224.096	116.132
226.075	115.939
228.212	115.852
230.495	115.863
232.910	115.962
235.447	116.142
238.092	116.392
240.834	116.704
243.661	117.069
246.559	117.479
249.516	117.925
252.521	118.398
255.562	118.891
258.628	119.400
261.709	119.918
264.792	120.440
267.868	120.960
270.925	121.473
273.953	121.973
276.939	122.455
279.874	122.913
282.747	123.341
285.545	123.734
288.259	124.086
290.878	124.392
293.390	124.646
295.784	124.842
298.050	124.976
300.176	125.040
302.152	125.031
303.968	124.942
305.632	124.779
307.171	124.556
308.610	124.290
309.977	123.994
311.298	123.684
312.600	123.374
313.908	123.080
315.250	122.817
316.652	122.599
318.140	122.442
319.726	122.353
321.402	122.336
323.161	122.390
324.996	122.518
326.898	122.720
328.860	122.996
330.874	123.350
332.933	123.781
335.028	124.290
337.153	124.880
339.299	125.550
341.458	126.302
343.623	127.138
345.786	128.057
347.935	129.058
350.054	130.134
352.128	131.279
354.142	132.488
356.080	133.755
357.928	135.073
359.669	136.438
361.288	137.842
362.770	139.280
364.100	140.747
365.262	142.236
366.240	143.741
367.020	145.257
367.586	146.777
367.932	148.296
368.071	149.810
368.019	151.315
367.793	152.806
367.409	154.278
366.885	155.729
366.236	157.153
365.479	158.546
364.630	159.904
363.707	161.222
362.723	162.498
361.683	163.728
360.585	164.914
359.428	166.056
358.209	167.153
356.927	168.205
355.581	169.212
354.169	170.175
352.688	171.093
351.139	171.966
349.517	172.795
347.824	173.578
346.056	174.317
344.220	175.015
342.318	175.676
340.354	176.302
338.334	176.898
336.262	177.465
334.141	178.009
331.977	178.533
329.772	179.039
327.533	179.532
325.262	180.014
322.964	180.489
320.644	180.961
318.305	181.433
315.953	181.908
313.590	182.389
311.218	182.874
308.837	183.357
306.445	183.833
304.042	184.297
301.628	184.744
299.201	185.168
296.763	185.566
294.311	185.930
291.847	186.257
289.368	186.541
286.875	186.778
284.366	186.961
281.843	187.086
279.303	187.148
276.747	187.142
274.174	187.062
271.583	186.904
268.979	186.668
266.367	186.362
263.756	185.992
261.153	185.563
258.563	185.084
255.995	184.561
253.455	183.999
250.951	183.406
248.489	182.788
246.077	182.152
243.722	181.505
241.430	180.852
239.209	180.201
237.065	179.558
235.007	178.930
233.040	178.323
231.172	177.743
229.407	177.187
227.744	176.638
226.182	176.081
224.722	175.500
223.362	174.877
222.102	174.197
220.942	173.443
219.881	172.599
218.918	171.649
218.054	170.576
217.287	169.369
216.613	168.036
216.028	166.593
215.527	165.056
215.106	163.440
214.760	161.760
214.485	160.033
214.276	158.272
214.128	156.495
214.038	154.717
214.000	152.953
214.010	151.217
214.062	149.517
214.147	147.848
214.256	146.204
214.382	144.580
214.515	142.971
214.647	141.372
214.770	139.777
214.875	138.183
214.954	136.582
214.998	134.971
214.998	133.344
214.954	131.700
214.890	130.056
214.833	128.428
214.812	126.835
214.854	125.295
214.988	123.824
215.242	122.442
215.643	121.165
216.220	120.012
217.000	119.000
