X	Y
303.000	216.333
303.409	215.722
304.027	215.160
304.838	214.639
305.827	214.149
306.977	213.681
308.273	213.226
309.699	212.775
311.239	212.319
312.877	211.848
314.597	211.353
316.384	210.825
318.221	210.256
320.094	209.634
321.988	208.955
323.902	208.221
325.838	207.435
327.794	206.602
329.771	205.726
331.771	204.812
333.793	203.863
335.837	202.885
337.905	201.881
339.997	200.856
342.113	199.813
344.253	198.758
346.418	197.694
348.609	196.626
350.825	195.558
353.068	194.494
355.337	193.439
357.634	192.397
359.958	191.371
362.310	190.367
364.691	189.389
367.100	188.441
369.537	187.523
371.998	186.634
374.480	185.771
376.980	184.934
379.495	184.121
382.022	183.328
384.558	182.556
387.100	181.801
389.645	181.062
392.189	180.338
394.731	179.625
397.265	178.924
399.791	178.231
402.303	177.545
404.801	176.864
407.279	176.186
409.736	175.510
412.169	174.833
414.573	174.154
416.947	173.471
419.286	172.783
421.589	172.086
423.852	171.380
426.072	170.664
428.250	169.937
430.386	169.201
432.481	168.458
434.536	167.710
436.552	166.957
438.529	166.201
440.469	165.444
442.372	164.686
444.239	163.930
446.071	163.177
447.869	162.428
449.633	161.685
451.365	160.949
453.064	160.221
454.733	159.504
456.372	158.798
457.981	158.105
459.562	157.426
461.116	156.765
462.648	156.131
464.162	155.530
465.663	154.970
467.154	154.460
468.639	154.006
470.124	153.618
471.612	153.302
473.107	153.067
474.615	152.920
476.138	152.869
477.682	152.922
479.250	153.087
480.847	153.371
482.473	153.779
484.116	154.305
485.764	154.940
487.402	155.676
489.017	156.506
490.595	157.421
492.124	158.413
493.589	159.475
494.977	160.598
496.275	161.774
497.469	162.996
498.545	164.254
499.490	165.542
500.291	166.850
500.933	168.172
501.407	169.500
501.720	170.834
501.884	172.177
501.912	173.531
501.819	174.900
501.616	176.285
501.318	177.690
500.936	179.117
500.485	180.568
499.978	182.047
499.428	183.555
498.847	185.096
498.249	186.671
497.647	188.284
497.044	189.931
496.438	191.603
495.826	193.291
495.204	194.988
494.570	196.684
493.920	198.372
493.251	200.042
492.561	201.687
491.845	203.297
491.102	204.864
490.328	206.381
489.520	207.837
488.675	209.225
487.789	210.536
486.861	211.762
485.886	212.896
484.860	213.938
483.778	214.894
482.637	215.770
481.431	216.571
480.156	217.302
478.807	217.970
477.380	218.578
475.869	219.133
474.270	219.640
472.579	220.105
470.790	220.533
468.900	220.928
466.903	221.298
464.794	221.647
462.572	221.979
460.239	222.297
457.800	222.602
455.263	222.893
452.631	223.173
449.912	223.440
447.110	223.698
444.231	223.945
441.282	224.183
438.267	224.412
435.193	224.634
432.064	224.849
428.888	225.058
425.668	225.261
422.412	225.460
419.125	225.655
415.812	225.846
412.479	226.035
409.132	226.223
405.777	226.409
402.419	226.596
399.063	226.783
395.717	226.971
392.384	227.161
389.071	227.354
385.784	227.551
382.528	227.752
379.309	227.958
376.133	228.170
373.001	228.386
369.915	228.605
366.875	228.824
363.884	229.043
360.942	229.260
358.050	229.472
355.209	229.677
352.422	229.875
349.687	230.062
347.008	230.238
344.384	230.400
341.817	230.547
339.308	230.677
336.859	230.788
334.470	230.878
332.142	230.946
329.877	230.990
327.676	231.007
325.540	230.996
323.469	230.956
321.466	230.884
319.530	230.779
317.664	230.638
315.871	230.461
314.160	230.247
312.542	229.996
311.027	229.706
309.625	229.378
308.346	229.012
307.200	228.606
306.199	228.160
305.351	227.675
304.668	227.149
304.159	226.583
303.833	225.975
303.669	225.329
303.620	224.647
303.642	223.934
303.687	223.193
303.710	222.429
303.664	221.646
303.521	220.848
303.313	220.046
303.090	219.249
302.898	218.469
302.788	217.716
302.805	217.000
303.000	216.333
