X	Y
303.000	227.000
303.844	226.207
304.922	225.532
306.217	224.968
307.714	224.508
309.396	224.145
311.246	223.870
313.248	223.678
315.386	223.561
317.644	223.512
320.006	223.524
322.454	223.589
324.973	223.700
327.546	223.850
330.157	224.033
332.790	224.240
335.429	224.464
338.056	224.699
340.656	224.938
343.215	225.173
345.729	225.402
348.203	225.627
350.644	225.849
353.055	226.068
355.441	226.285
357.809	226.500
360.161	226.716
362.504	226.931
364.843	227.148
367.181	227.367
369.525	227.590
371.879	227.815
374.249	228.046
376.638	228.281
379.052	228.523
381.496	228.772
383.976	229.029
386.495	229.294
389.059	229.568
391.672	229.853
394.340	230.149
397.062	230.457
399.831	230.775
402.640	231.104
405.484	231.443
408.354	231.793
411.246	232.152
414.151	232.521
417.064	232.899
419.978	233.286
422.886	233.682
425.782	234.086
428.658	234.498
431.509	234.918
434.327	235.345
437.107	235.779
439.841	236.221
442.522	236.668
445.145	237.122
447.702	237.582
450.188	238.048
452.594	238.519
454.915	238.995
457.144	239.475
459.275	239.960
461.301	240.454
463.218	240.962
465.019	241.491
466.699	242.046
468.254	242.635
469.677	243.264
470.964	243.938
472.109	244.665
473.107	245.450
473.952	246.300
474.639	247.221
475.162	248.220
475.518	249.301
475.708	250.462
475.743	251.691
475.632	252.975
475.386	254.304
475.014	255.665
474.526	257.047
473.932	258.438
473.242	259.825
472.466	261.198
471.613	262.545
470.695	263.853
469.719	265.112
468.691	266.319
467.611	267.478
466.482	268.594
465.303	269.669
464.076	270.710
462.802	271.719
461.482	272.702
460.117	273.661
458.708	274.601
457.256	275.527
455.762	276.442
454.226	277.351
452.651	278.257
451.037	279.166
449.384	280.078
447.692	280.991
445.961	281.903
444.190	282.809
442.377	283.706
440.524	284.592
438.628	285.462
436.689	286.313
434.707	287.142
432.680	287.947
430.610	288.722
428.493	289.466
426.331	290.174
424.122	290.843
421.866	291.471
419.561	292.053
417.209	292.587
414.807	293.069
412.355	293.496
409.855	293.866
407.310	294.183
404.725	294.448
402.103	294.664
399.449	294.834
396.768	294.959
394.062	295.042
391.336	295.085
388.595	295.091
385.842	295.063
383.082	295.002
380.318	294.911
377.555	294.793
374.797	294.649
372.047	294.483
369.311	294.296
366.592	294.091
363.894	293.871
361.221	293.637
358.578	293.393
355.969	293.140
353.397	292.880
350.867	292.618
348.383	292.352
345.947	292.079
343.564	291.796
341.236	291.497
338.967	291.179
336.759	290.838
334.616	290.469
332.540	290.068
330.536	289.631
328.607	289.153
326.754	288.631
324.983	288.061
323.295	287.437
321.694	286.756
320.183	286.014
318.766	285.207
317.445	284.329
316.224	283.378
315.099	282.353
314.064	281.255
313.112	280.088
312.237	278.851
311.433	277.548
310.692	276.180
310.008	274.749
309.375	273.257
308.787	271.706
308.235	270.098
307.715	268.434
307.219	266.717
306.740	264.948
306.274	263.131
305.821	261.277
305.382	259.401
304.962	257.518
304.563	255.644
304.187	253.793
303.838	251.980
303.517	250.220
303.229	248.528
302.975	246.919
302.759	245.409
302.583	244.011
302.450	242.742
302.363	241.615
302.324	240.647
302.327	239.825
302.355	239.105
302.388	238.442
302.407	237.788
302.395	237.096
302.332	236.319
302.208	235.425
302.052	234.429
301.897	233.361
301.780	232.247
301.737	231.117
301.801	229.999
302.010	228.921
302.397	227.912
303.000	227.000
