X	Y
17.590	7.339
17.602	7.312
17.616	7.287
17.633	7.263
17.652	7.240
17.673	7.218
17.696	7.196
17.722	7.176
17.750	7.155
17.779	7.136
17.811	7.117
17.846	7.097
17.882	7.078
17.920	7.059
17.960	7.040
18.002	7.021
18.045	7.001
18.091	6.982
18.137	6.962
18.186	6.942
18.236	6.922
18.287	6.902
18.340	6.882
18.393	6.861
18.448	6.840
18.504	6.818
18.561	6.797
18.619	6.775
18.678	6.753
18.737	6.730
18.798	6.707
18.858	6.683
18.920	6.660
18.981	6.635
19.044	6.611
19.106	6.585
19.169	6.560
19.231	6.534
19.294	6.508
19.357	6.481
19.420	6.455
19.483	6.428
19.546	6.401
19.608	6.374
19.671	6.347
19.732	6.320
19.794	6.293
19.855	6.266
19.915	6.239
19.975	6.212
20.034	6.186
20.093	6.160
20.151	6.134
20.207	6.109
20.263	6.084
20.318	6.059
20.372	6.035
20.425	6.011
20.476	5.988
20.527	5.966
20.576	5.944
20.624	5.923
20.672	5.902
20.718	5.881
20.764	5.861
20.809	5.841
20.854	5.821
20.899	5.801
20.943	5.782
20.987	5.762
21.030	5.743
21.074	5.723
21.118	5.704
21.162	5.684
21.206	5.664
21.250	5.644
21.295	5.623
21.341	5.602
21.387	5.581
21.433	5.560
21.480	5.538
21.527	5.516
21.575	5.494
21.623	5.472
21.670	5.450
21.718	5.427
21.766	5.405
21.814	5.383
21.862	5.361
21.910	5.339
21.957	5.318
22.005	5.297
22.052	5.276
22.098	5.255
22.144	5.235
22.190	5.215
22.235	5.196
22.279	5.177
22.323	5.159
22.366	5.142
22.409	5.125
22.452	5.109
22.494	5.093
22.536	5.078
22.578	5.064
22.619	5.050
22.660	5.037
22.702	5.025
22.743	5.014
22.784	5.003
22.826	4.994
22.867	4.985
22.909	4.977
22.951	4.970
22.993	4.963
23.036	4.958
23.078	4.953
23.121	4.949
23.163	4.945
23.206	4.942
23.248	4.940
23.291	4.937
23.333	4.936
23.376	4.934
23.418	4.933
23.460	4.932
23.502	4.932
23.543	4.931
23.584	4.931
23.625	4.930
23.665	4.930
23.705	4.930
23.745	4.931
23.783	4.933
23.822	4.936
23.859	4.940
23.895	4.945
23.931	4.952
23.965	4.961
23.999	4.972
24.031	4.985
24.063	5.001
24.093	5.019
24.121	5.040
24.148	5.063
24.174	5.088
24.198	5.115
24.219	5.144
24.239	5.174
24.257	5.206
24.272	5.239
24.285	5.272
24.296	5.306
24.304	5.340
24.308	5.375
24.310	5.409
24.309	5.443
24.306	5.477
24.300	5.511
24.291	5.545
24.281	5.580
24.268	5.614
24.254	5.649
24.239	5.685
24.222	5.721
24.205	5.758
24.186	5.795
24.167	5.834
24.148	5.873
24.128	5.914
24.109	5.955
24.089	5.998
24.069	6.041
24.049	6.085
24.030	6.129
24.010	6.174
23.990	6.219
23.971	6.265
23.951	6.310
23.932	6.355
23.912	6.399
23.893	6.444
23.874	6.487
23.854	6.530
23.835	6.572
23.817	6.613
23.798	6.653
23.779	6.692
23.761	6.730
23.742	6.766
23.723	6.802
23.704	6.836
23.684	6.870
23.663	6.903
23.641	6.936
23.619	6.968
23.595	6.999
23.569	7.031
23.542	7.062
23.514	7.093
23.484	7.124
23.451	7.155
23.417	7.186
23.380	7.218
23.341	7.249
23.301	7.281
23.259	7.314
23.216	7.346
23.172	7.379
23.126	7.411
23.080	7.444
23.033	7.477
22.986	7.510
22.939	7.543
22.891	7.576
22.844	7.609
22.797	7.642
22.751	7.675
22.705	7.708
22.661	7.741
22.617	7.774
22.575	7.807
22.534	7.840
22.495	7.872
22.457	7.905
22.421	7.937
22.386	7.969
22.352	8.001
22.319	8.032
22.287	8.063
22.256	8.094
22.225	8.124
22.195	8.154
22.166	8.183
22.137	8.212
22.108	8.240
22.079	8.268
22.050	8.295
22.021	8.321
21.992	8.346
21.962	8.371
21.932	8.395
21.902	8.418
21.872	8.440
21.841	8.462
21.809	8.483
21.778	8.503
21.745	8.523
21.713	8.541
21.680	8.559
21.646	8.576
21.612	8.593
21.577	8.608
21.542	8.623
21.505	8.637
21.469	8.650
21.431	8.663
21.393	8.675
21.354	8.685
21.314	8.695
21.273	8.705
21.232	8.713
21.189	8.721
21.145	8.728
21.101	8.734
21.055	8.739
21.008	8.743
20.960	8.746
20.910	8.749
20.860	8.751
20.808	8.751
20.755	8.751
20.701	8.751
20.646	8.749
20.590	8.746
20.534	8.743
20.477	8.739
20.419	8.735
20.360	8.729
20.302	8.723
20.242	8.717
20.183	8.709
20.124	8.701
20.064	8.693
20.004	8.684
19.945	8.674
19.886	8.664
19.827	8.653
19.768	8.642
19.710	8.630
19.652	8.618
19.595	8.605
19.538	8.592
