X	Y
268.000	154.000
268.454	152.392
269.071	150.730
269.840	149.020
270.747	147.268
271.780	145.481
272.928	143.664
274.177	141.823
275.515	139.965
276.931	138.097
278.411	136.223
279.944	134.350
281.517	132.484
283.117	130.632
284.733	128.799
286.354	126.991
287.976	125.207
289.601	123.445
291.229	121.701
292.861	119.973
294.498	118.258
296.140	116.553
297.789	114.856
299.444	113.163
301.108	111.472
302.780	109.779
304.461	108.083
306.153	106.380
307.855	104.667
309.569	102.942
311.295	101.202
313.035	99.445
314.790	97.674
316.562	95.892
318.353	94.102
320.164	92.305
321.998	90.507
323.857	88.708
325.741	86.912
327.654	85.123
329.596	83.342
331.571	81.573
333.579	79.818
335.622	78.081
337.702	76.364
339.822	74.670
341.983	73.003
344.186	71.364
346.433	69.757
348.719	68.184
351.041	66.646
353.393	65.145
355.772	63.684
358.172	62.264
360.591	60.888
363.022	59.557
365.462	58.272
367.906	57.037
370.349	55.852
372.788	54.721
375.218	53.644
377.634	52.624
380.033	51.662
382.409	50.761
384.757	49.922
387.075	49.147
389.360	48.437
391.613	47.788
393.836	47.199
396.029	46.668
398.195	46.190
400.334	45.766
402.449	45.391
404.539	45.064
406.608	44.783
408.655	44.545
410.683	44.347
412.692	44.187
414.684	44.063
416.661	43.973
418.623	43.916
420.574	43.893
422.514	43.905
424.445	43.953
426.370	44.041
428.290	44.168
430.208	44.336
432.124	44.547
434.042	44.803
435.963	45.104
437.889	45.452
439.821	45.849
441.761	46.296
443.706	46.796
445.645	47.349
447.570	47.960
449.474	48.629
451.346	49.359
453.180	50.153
454.964	51.012
456.693	51.940
458.355	52.937
459.944	54.007
461.450	55.152
462.864	56.374
464.176	57.670
465.363	59.017
466.398	60.382
467.254	61.732
467.903	63.034
468.319	64.257
468.475	65.368
468.344	66.334
467.898	67.124
467.133	67.724
466.093	68.169
464.831	68.501
463.401	68.763
461.854	68.995
460.244	69.240
458.624	69.541
457.045	69.937
455.562	70.473
454.217	71.180
453.006	72.055
451.916	73.083
450.929	74.247
450.030	75.533
449.203	76.926
448.433	78.410
447.704	79.970
447.000	81.591
446.306	83.257
445.606	84.954
444.894	86.674
444.171	88.414
443.439	90.174
442.698	91.952
441.951	93.746
441.199	95.554
440.442	97.376
439.684	99.209
438.924	101.051
438.164	102.902
437.407	104.759
436.653	106.622
435.902	108.487
435.154	110.353
434.405	112.215
433.651	114.071
432.888	115.917
432.114	117.749
431.324	119.563
430.515	121.357
429.684	123.126
428.827	124.867
427.941	126.577
427.022	128.253
426.067	129.890
425.072	131.485
424.041	133.042
422.974	134.564
421.875	136.054
420.746	137.516
419.589	138.953
418.409	140.369
417.206	141.767
415.985	143.151
414.746	144.524
413.494	145.891
412.230	147.253
410.956	148.616
409.670	149.975
408.367	151.329
407.040	152.672
405.685	154.001
404.296	155.313
402.869	156.603
401.398	157.867
399.878	159.102
398.304	160.305
396.670	161.470
394.972	162.595
393.203	163.675
391.362	164.709
389.452	165.700
387.478	166.651
385.443	167.566
383.354	168.450
381.213	169.305
379.026	170.136
376.798	170.947
374.533	171.741
372.234	172.522
369.908	173.294
367.559	174.060
365.190	174.825
362.807	175.592
360.414	176.366
358.016	177.148
355.616	177.939
353.221	178.734
350.833	179.532
348.458	180.328
346.100	181.121
343.764	181.907
341.453	182.682
339.172	183.445
336.926	184.192
334.719	184.920
332.556	185.626
330.441	186.307
328.379	186.960
326.373	187.583
324.429	188.171
322.545	188.723
320.715	189.234
318.929	189.703
317.178	190.124
315.453	190.497
313.746	190.816
312.047	191.080
310.348	191.285
308.639	191.428
306.913	191.506
305.159	191.515
303.370	191.453
301.547	191.323
299.699	191.135
297.832	190.895
295.956	190.613
294.079	190.297
292.209	189.955
290.354	189.595
288.522	189.227
286.721	188.857
284.961	188.494
283.248	188.148
281.592	187.824
280.001	187.515
278.489	187.196
277.065	186.845
275.743	186.437
274.532	185.948
273.445	185.355
272.494	184.635
271.689	183.762
271.040	182.718
270.537	181.509
270.156	180.162
269.875	178.699
269.672	177.147
269.525	175.529
269.411	173.870
269.307	172.195
269.193	170.528
269.044	168.893
268.843	167.314
268.598	165.788
268.334	164.303
268.076	162.847
267.847	161.407
267.673	159.970
267.576	158.523
267.582	157.055
267.716	155.551
268.000	154.000
