X	Y
38.556	23.348
38.708	23.276
38.887	23.240
39.092	23.238
39.320	23.264
39.570	23.316
39.841	23.391
40.129	23.484
40.434	23.593
40.754	23.713
41.087	23.843
41.431	23.977
41.785	24.112
42.146	24.246
42.513	24.378
42.885	24.507
43.259	24.634
43.636	24.759
44.012	24.882
44.387	25.002
44.759	25.122
45.126	25.239
45.487	25.354
45.840	25.469
46.185	25.581
46.519	25.692
46.840	25.802
47.148	25.911
47.441	26.019
47.717	26.125
47.978	26.231
48.225	26.337
48.462	26.443
48.692	26.550
48.916	26.658
49.138	26.769
49.360	26.881
49.584	26.996
49.815	27.115
50.053	27.238
50.302	27.365
50.563	27.496
50.836	27.633
51.117	27.776
51.405	27.925
51.698	28.080
51.995	28.242
52.292	28.411
52.589	28.588
52.883	28.772
53.172	28.965
53.455	29.167
53.730	29.378
53.994	29.599
54.246	29.829
54.484	30.070
54.707	30.320
54.915	30.578
55.109	30.843
55.288	31.113
55.453	31.386
55.604	31.661
55.742	31.937
55.866	32.211
55.976	32.483
56.073	32.751
56.156	33.014
56.227	33.269
56.285	33.516
56.330	33.754
56.362	33.983
56.380	34.205
56.385	34.420
56.375	34.630
56.351	34.834
56.311	35.034
56.257	35.231
56.187	35.425
56.101	35.618
55.999	35.809
55.882	35.998
55.749	36.186
55.601	36.372
55.438	36.558
55.260	36.742
55.066	36.926
54.858	37.109
54.636	37.291
54.399	37.472
54.148	37.653
53.885	37.833
53.610	38.010
53.324	38.184
53.030	38.354
52.728	38.520
52.419	38.680
52.105	38.835
51.786	38.982
51.465	39.122
51.142	39.254
50.818	39.376
50.496	39.489
50.175	39.590
49.857	39.680
49.543	39.759
49.232	39.827
48.923	39.886
48.616	39.934
48.311	39.974
48.007	40.006
47.704	40.030
47.401	40.047
47.098	40.058
46.794	40.064
46.489	40.065
46.183	40.061
45.874	40.054
45.564	40.044
45.253	40.029
44.942	40.008
44.634	39.981
44.329	39.945
44.029	39.900
43.736	39.844
43.450	39.777
43.174	39.696
42.909	39.601
42.656	39.490
42.416	39.362
42.192	39.217
41.983	39.052
41.788	38.871
41.606	38.672
41.435	38.458
41.275	38.229
41.122	37.986
40.977	37.731
40.838	37.463
40.703	37.185
40.571	36.897
40.440	36.601
40.310	36.296
40.178	35.984
40.046	35.666
39.913	35.344
39.780	35.017
39.649	34.687
39.519	34.356
39.393	34.023
39.270	33.690
39.151	33.358
39.038	33.028
38.931	32.701
38.830	32.377
38.737	32.059
38.653	31.746
38.578	31.440
38.512	31.142
38.456	30.852
38.407	30.571
38.364	30.298
38.325	30.034
38.288	29.780
38.252	29.534
38.215	29.298
38.175	29.071
38.131	28.855
38.081	28.648
38.023	28.452
37.959	28.265
37.892	28.085
37.825	27.910
37.763	27.739
37.708	27.569
37.664	27.398
37.636	27.224
37.625	27.045
37.632	26.861
37.656	26.670
37.691	26.473
37.736	26.270
37.788	26.060
37.842	25.843
37.897	25.620
37.948	25.389
37.994	25.152
38.032	24.908
38.067	24.663
38.103	24.423
38.143	24.191
38.192	23.974
38.254	23.776
38.332	23.602
38.432	23.457
38.556	23.348
